question,time_label,time_h,radius_cm,C,point_type
Q3,24 h,24,0,0.23779952479653388,fixed_radius
Q3,24 h,24,0.10000000000000001,0.2375993711273065,fixed_radius
Q3,24 h,24,0.20000000000000001,0.23699782651192422,fixed_radius
Q3,24 h,24,0.29999999999999999,0.23599158787305113,fixed_radius
Q3,24 h,24,0.40000000000000002,0.23457497078498232,fixed_radius
Q3,24 h,24,0.5,0.23273962171939008,fixed_radius
Q3,24 h,24,0.59999999999999998,0.23047407406659401,fixed_radius
Q3,24 h,24,0.69999999999999996,0.22776309759456662,fixed_radius
Q3,24 h,24,0.80000000000000004,0.22458676033816696,fixed_radius
Q3,24 h,24,0.90000000000000002,0.22091907202322936,fixed_radius
Q3,24 h,24,1,0.21672599283546129,fixed_radius
Q3,24 h,24,1.1000000000000001,0.21196243815914681,fixed_radius
Q3,24 h,24,1.2,0.20656761960018061,fixed_radius
Q3,24 h,24,1.3,0.20045747696040703,fixed_radius
Q3,24 h,24,1.3999999999999999,0.19351168171378402,fixed_radius
Q3,24 h,24,1.5,0.1855496458410108,fixed_radius
Q3,24 h,24,1.6000000000000001,0.17628173111799919,fixed_radius
Q3,24 h,24,1.7,0.16519547799791029,fixed_radius
Q3,24 h,24,1.8,0.15122800902861969,fixed_radius
Q3,24 h,24,1.8999999999999999,0.13137647824510429,fixed_radius
Q3,24 h,24,2,0.066461631033183491,fixed_radius
Q3,24 h,24,2,0.066461631033183491,surface
Q3,event,57.474009775860864,0,0.1500000000000222,fixed_radius
Q3,event,57.474009775860864,0.10000000000000001,0.14990892746247064,fixed_radius
Q3,event,57.474009775860864,0.20000000000000001,0.14963500103805208,fixed_radius
Q3,event,57.474009775860864,0.29999999999999999,0.14917606275784692,fixed_radius
Q3,event,57.474009775860864,0.40000000000000002,0.14852840777556861,fixed_radius
Q3,event,57.474009775860864,0.5,0.14768661054813534,fixed_radius
Q3,event,57.474009775860864,0.59999999999999998,0.14664325639000611,fixed_radius
Q3,event,57.474009775860864,0.69999999999999996,0.1453885476350418,fixed_radius
Q3,event,57.474009775860864,0.80000000000000004,0.14390973481756542,fixed_radius
Q3,event,57.474009775860864,0.90000000000000002,0.14219029259379085,fixed_radius
Q3,event,57.474009775860864,1,0.14020870751669909,fixed_radius
Q3,event,57.474009775860864,1.1000000000000001,0.13793665003051545,fixed_radius
Q3,event,57.474009775860864,1.2,0.1353361229325428,fixed_radius
Q3,event,57.474009775860864,1.3,0.13235481392846529,fixed_radius
Q3,event,57.474009775860864,1.3999999999999999,0.12891808349862041,fixed_radius
Q3,event,57.474009775860864,1.5,0.12491410613658367,fixed_radius
Q3,event,57.474009775860864,1.6000000000000001,0.12016348123926106,fixed_radius
Q3,event,57.474009775860864,1.7,0.11434786440669681,fixed_radius
Q3,event,57.474009775860864,1.8,0.10680248514441909,fixed_radius
Q3,event,57.474009775860864,1.8999999999999999,0.095622833133458582,fixed_radius
Q3,event,57.474009775860864,2,0.052646946269276032,fixed_radius
Q3,event,57.474009775860864,2,0.052646946269276032,surface
Q4,24 h,24,0,0.2851207000761331,fixed_radius
Q4,24 h,24,0.10000000000000001,0.28417138866547559,fixed_radius
Q4,24 h,24,0.20000000000000001,0.28131795560857442,fixed_radius
Q4,24 h,24,0.29999999999999999,0.27654256639627744,fixed_radius
Q4,24 h,24,0.40000000000000002,0.26981066968622586,fixed_radius
Q4,24 h,24,0.5,0.26106227499067619,fixed_radius
Q4,24 h,24,0.59999999999999998,0.25019589189661545,fixed_radius
Q4,24 h,24,0.69999999999999996,0.23703830333690654,fixed_radius
Q4,24 h,24,0.80000000000000004,0.22128325438176738,fixed_radius
Q4,24 h,24,0.90000000000000013,0.20235051357864586,fixed_radius
Q4,24 h,24,1,0.17899006119752664,fixed_radius
Q4,24 h,24,1.1000000000000001,0.14768033233637728,fixed_radius
Q4,24 h,24,1.2,0.079101446766023195,fixed_radius
Q4,24 h,24,1.204,0.06732456066110766,surface
Q4,event,51.092010683701638,0,0.15000000000000011,fixed_radius
Q4,event,51.092010683701638,0.10000000000000001,0.14966227503920271,fixed_radius
Q4,event,51.092010683701638,0.20000000000000001,0.14864372912380572,fixed_radius
Q4,event,51.092010683701638,0.29999999999999999,0.14692752193787195,fixed_radius
Q4,event,51.092010683701638,0.40000000000000002,0.14448295352919518,fixed_radius
Q4,event,51.092010683701638,0.5,0.14126066927926054,fixed_radius
Q4,event,51.092010683701638,0.59999999999999998,0.13718374138917866,fixed_radius
Q4,event,51.092010683701638,0.69999999999999996,0.1321306929821788,fixed_radius
Q4,event,51.092010683701638,0.80000000000000004,0.12590063658378411,fixed_radius
Q4,event,51.092010683701638,0.90000000000000013,0.11813199154366925,fixed_radius
Q4,event,51.092010683701638,1,0.1080698780472984,fixed_radius
Q4,event,51.092010683701638,1.1000000000000001,0.09359356757907944,fixed_radius
Q4,event,51.092010683701638,1.2,0.052607501028881863,fixed_radius
Q4,event,51.092010683701638,1.2,0.052607501028881863,surface
