question,time_h,surface_radius_cm
Q3,0,2
Q3,0.33333333333333331,2
Q3,0.66666666666666663,2
Q3,1,2
Q3,1.3333333333333333,2
Q3,1.6666666666666667,2
Q3,2,2
Q3,2.3333333333333335,2
Q3,2.6666666666666665,2
Q3,3,2
Q3,3.3333333333333335,2
Q3,3.6666666666666665,2
Q3,4,2
Q3,4.333333333333333,2
Q3,4.666666666666667,2
Q3,5,2
Q3,5.333333333333333,2
Q3,5.666666666666667,2
Q3,6,2
Q3,6.333333333333333,2
Q3,6.666666666666667,2
Q3,7,2
Q3,7.333333333333333,2
Q3,7.666666666666667,2
Q3,8,2
Q3,8.3333333333333339,2
Q3,8.6666666666666661,2
Q3,9,2
Q3,9.3333333333333339,2
Q3,9.6666666666666661,2
Q3,10,2
Q3,10.333333333333334,2
Q3,10.666666666666666,2
Q3,11,2
Q3,11.333333333333334,2
Q3,11.666666666666666,2
Q3,12,2
Q3,12.333333333333334,2
Q3,12.666666666666666,2
Q3,13,2
Q3,13.333333333333334,2
Q3,13.666666666666666,2
Q3,14,2
Q3,14.333333333333334,2
Q3,14.666666666666666,2
Q3,15,2
Q3,15.333333333333334,2
Q3,15.666666666666666,2
Q3,16,2
Q3,16.333333333333332,2
Q3,16.666666666666668,2
Q3,17,2
Q3,17.333333333333332,2
Q3,17.666666666666668,2
Q3,18,2
Q3,18.333333333333332,2
Q3,18.666666666666668,2
Q3,19,2
Q3,19.333333333333332,2
Q3,19.666666666666668,2
Q3,20,2
Q3,20.333333333333332,2
Q3,20.666666666666668,2
Q3,21,2
Q3,21.333333333333332,2
Q3,21.666666666666668,2
Q3,22,2
Q3,22.333333333333332,2
Q3,22.666666666666668,2
Q3,23,2
Q3,23.333333333333332,2
Q3,23.666666666666668,2
Q3,24,2
Q3,24.333333333333332,2
Q3,24.666666666666668,2
Q3,25,2
Q3,25.333333333333332,2
Q3,25.666666666666668,2
Q3,26,2
Q3,26.333333333333332,2
Q3,26.666666666666668,2
Q3,27,2
Q3,27.333333333333332,2
Q3,27.666666666666668,2
Q3,28,2
Q3,28.333333333333332,2
Q3,28.666666666666668,2
Q3,29,2
Q3,29.333333333333332,2
Q3,29.666666666666668,2
Q3,30,2
Q3,30.333333333333332,2
Q3,30.666666666666668,2
Q3,31,2
Q3,31.333333333333332,2
Q3,31.666666666666668,2
Q3,32,2
Q3,32.333333333333336,2
Q3,32.666666666666664,2
Q3,33,2
Q3,33.333333333333336,2
Q3,33.666666666666664,2
Q3,34,2
Q3,34.333333333333336,2
Q3,34.666666666666664,2
Q3,35,2
Q3,35.333333333333336,2
Q3,35.666666666666664,2
Q3,36,2
Q3,36.333333333333336,2
Q3,36.666666666666664,2
Q3,37,2
Q3,37.333333333333336,2
Q3,37.666666666666664,2
Q3,38,2
Q3,38.333333333333336,2
Q3,38.666666666666664,2
Q3,39,2
Q3,39.333333333333336,2
Q3,39.666666666666664,2
Q3,40,2
Q3,40.333333333333336,2
Q3,40.666666666666664,2
Q3,41,2
Q3,41.333333333333336,2
Q3,41.666666666666664,2
Q3,42,2
Q3,42.333333333333336,2
Q3,42.666666666666664,2
Q3,43,2
Q3,43.333333333333336,2
Q3,43.666666666666664,2
Q3,44,2
Q3,44.333333333333336,2
Q3,44.666666666666664,2
Q3,45,2
Q3,45.333333333333336,2
Q3,45.666666666666664,2
Q3,46,2
Q3,46.333333333333336,2
Q3,46.666666666666664,2
Q3,47,2
Q3,47.333333333333336,2
Q3,47.666666666666664,2
Q3,48,2
Q3,48.333333333333336,2
Q3,48.666666666666664,2
Q3,49,2
Q3,49.333333333333336,2
Q3,49.666666666666664,2
Q3,50,2
Q3,50.333333333333336,2
Q3,50.666666666666664,2
Q3,51,2
Q3,51.333333333333336,2
Q3,51.666666666666664,2
Q3,52,2
Q3,52.333333333333336,2
Q3,52.666666666666664,2
Q3,53,2
Q3,53.333333333333336,2
Q3,53.666666666666664,2
Q3,54,2
Q3,54.333333333333336,2
Q3,54.666666666666664,2
Q3,55,2
Q3,55.333333333333336,2
Q3,55.666666666666664,2
Q3,56,2
Q3,56.333333333333336,2
Q3,56.666666666666664,2
Q3,57,2
Q3,57.333333333333336,2
Q4,0,2
Q4,0.33333333333333331,1.9153333333333336
Q4,0.66666666666666663,1.8466666666666667
Q4,1,1.794
Q4,1.3333333333333333,1.7333333333333332
Q4,1.6666666666666667,1.677
Q4,2,1.625
Q4,2.3333333333333335,1.601
Q4,2.6666666666666665,1.5766666666666669
Q4,3,1.552
Q4,3.3333333333333335,1.524
Q4,3.6666666666666665,1.4990000000000001
Q4,4,1.4770000000000001
Q4,4.333333333333333,1.4570000000000001
Q4,4.666666666666667,1.4393333333333334
Q4,5,1.4239999999999999
Q4,5.333333333333333,1.4059999999999999
Q4,5.666666666666667,1.3893333333333333
Q4,6,1.3740000000000001
Q4,6.333333333333333,1.3620000000000001
Q4,6.666666666666667,1.3496666666666668
Q4,7,1.337
Q4,7.333333333333333,1.3263333333333334
Q4,7.666666666666667,1.3176666666666665
Q4,8,1.3109999999999999
Q4,8.3333333333333339,1.3029999999999999
Q4,8.6666666666666661,1.2963333333333333
Q4,9,1.2909999999999999
Q4,9.3333333333333339,1.2843333333333333
Q4,9.6666666666666661,1.2783333333333333
Q4,10,1.2729999999999999
Q4,10.333333333333334,1.2683333333333335
Q4,10.666666666666666,1.264
Q4,11,1.26
Q4,11.333333333333334,1.2553333333333332
Q4,11.666666666666666,1.2513333333333332
Q4,12,1.248
Q4,12.333333333333334,1.2453333333333334
Q4,12.666666666666666,1.2426666666666666
Q4,13,1.24
Q4,13.333333333333334,1.2373333333333334
