time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
1.485340012466564728e-07,1.485340012466564728e-07,2.800000000000000000e+01,2.800000000000000355e+01,2.549999385003769881e+00,2.550000000000022471e+00,2.800000000000000355e+01,2.549999385003769881e+00,2.800000000000000000e+01,2.549999999969932318e+00
2.970680024933129456e-07,1.485340012466564728e-07,2.800000000000000000e+01,2.800000000000001066e+01,2.549998770927986769e+00,2.550000000000051337e+00,2.800000000000001066e+01,2.549998770927986769e+00,2.800000000000000000e+01,2.549999999939864370e+00
6.368557048807053989e-07,3.397877023873924533e-07,2.800000000000000000e+01,2.800000000000004263e+01,2.549997369288854454e+00,2.550000000000069100e+00,2.800000000000004263e+01,2.549997369288854454e+00,2.800000000000000000e+01,2.549999999871081613e+00
9.766434072680979052e-07,3.397877023873925063e-07,2.800000000000000000e+01,2.800000000000009592e+01,2.549995972346034812e+00,2.550000000000049560e+00,2.800000000000009592e+01,2.549995972346034812e+00,2.800000000000000000e+01,2.549999999802298856e+00
1.316431109655490306e-06,3.397877023873924004e-07,2.800000000000000000e+01,2.800000000000015987e+01,2.549994580225104279e+00,2.550000000000001599e+00,2.800000000000015987e+01,2.549994580225104279e+00,2.800000000000000000e+01,2.549999999733515654e+00
2.091636595006868475e-06,7.752054853513781695e-07,2.800000000000000000e+01,2.800000000000037303e+01,2.549991422281108200e+00,2.550000000000000711e+00,2.800000000000037303e+01,2.549991422281108200e+00,2.800000000000000000e+01,2.549999999576591403e+00
2.866842080358246645e-06,7.752054853513781695e-07,2.800000000000000000e+01,2.800000000000065370e+01,2.549988289298557032e+00,2.549999999999999822e+00,2.800000000000065370e+01,2.549988289298557032e+00,2.800000000000000000e+01,2.549999999419667596e+00
3.642047565709624814e-06,7.752054853513781695e-07,2.800000000000000000e+01,2.800000000000100187e+01,2.549985181002996981e+00,2.549999999999999822e+00,2.800000000000100187e+01,2.549985181002996981e+00,2.800000000000000000e+01,2.549999999262743788e+00
5.317075184130288136e-06,1.675027618420663322e-06,2.800000000000000000e+01,2.800000000000191136e+01,2.549978547699868869e+00,2.549999999999999822e+00,2.800000000000191136e+01,2.549978547699868869e+00,2.800000000000000000e+01,2.549999998923671019e+00
6.992102802550951882e-06,1.675027618420663746e-06,2.800000000000000000e+01,2.800000000000301270e+01,2.549972025427138966e+00,2.549999999999999822e+00,2.800000000000301270e+01,2.549972025427138966e+00,2.800000000000000000e+01,2.549999998584599137e+00
8.667130420971616475e-06,1.675027618420664593e-06,2.800000000000000000e+01,2.800000000000427036e+01,2.549965611319055636e+00,2.549999999999999822e+00,2.800000000000427036e+01,2.549965611319055636e+00,2.800000000000000000e+01,2.549999998245528143e+00
1.034215803939228107e-05,1.675027618420664593e-06,2.800000000000000000e+01,2.800000000000567724e+01,2.549959302611702672e+00,2.549999999999999822e+00,2.800000000000567724e+01,2.549959302611702672e+00,2.800000000000000000e+01,2.549999997906458038e+00
1.376376460816385406e-05,3.421606568771572995e-06,2.800000000000000000e+01,2.800000000000893863e+01,2.549946732323506104e+00,2.549999999999999822e+00,2.800000000000893863e+01,2.549946732323506104e+00,2.800000000000000000e+01,2.549999997213836522e+00
1.718537117693542536e-05,3.421606568771571301e-06,2.800000000000000000e+01,2.800000000001266187e+01,2.549934569118596617e+00,2.549999999999999822e+00,2.800000000001266187e+01,2.549934569118596617e+00,2.800000000000000000e+01,2.549999996521218115e+00
2.060697774570699497e-05,3.421606568771569607e-06,2.800000000000000000e+01,2.800000000001678657e+01,2.549922792444763164e+00,2.549999999999999822e+00,2.800000000001678657e+01,2.549922792444763164e+00,2.800000000000000000e+01,2.549999995828603705e+00
2.402858431447856458e-05,3.421606568771569607e-06,2.800000000000000000e+01,2.800000000002129141e+01,2.549911382962255058e+00,2.549999999999999822e+00,2.800000000002129141e+01,2.549911382962255058e+00,2.800000000000000711e+01,2.549999995135991959e+00
3.034700834795115112e-05,6.318424033472586548e-06,2.800000000000000000e+01,2.800000000003049294e+01,2.549891218087989575e+00,2.549999999999999822e+00,2.800000000003049294e+01,2.549891218087989575e+00,2.800000000000000711e+01,2.549999993857005265e+00
3.666543238142373767e-05,6.318424033472586548e-06,2.800000000000000000e+01,2.800000000004073542e+01,2.549872137781231451e+00,2.549999999999999822e+00,2.800000000004073542e+01,2.549872137781231451e+00,2.800000000000000711e+01,2.549999992578029229e+00
4.298385641489632083e-05,6.318424033472583160e-06,2.800000000000000000e+01,2.800000000005193002e+01,2.549854046875965619e+00,2.549999999999999822e+00,2.800000000005193002e+01,2.549854046875965619e+00,2.800000000000001066e+01,2.549999991299062518e+00
