time_s,heat_balance,moisture_balance,heat_quadrature_check,moisture_quadrature_check
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.213881684456660453e-18,4.037329171484970527e-15,5.773658565970981485e-20,4.760410645234768865e-21
2.000000000000000000e+00,4.169121901621246021e-17,7.569354081805767968e-15,1.165655765485054599e-19,8.393517649389244745e-21
3.000000000000000000e+00,9.517554726306620733e-17,1.099007856685150541e-14,1.650853251271485626e-19,1.981185394816045336e-20
4.000000000000000000e+00,1.661346835871910106e-16,1.417964444265742172e-14,2.399904718531748508e-19,2.759708324277718761e-20
5.000000000000000000e+00,2.591563065607407702e-16,1.735295388110685209e-14,3.230966483091729047e-19,3.071117496062387649e-20
6.000000000000000000e+00,3.682716040975683912e-16,2.051919243013699595e-14,4.074673007147260030e-19,3.693935839631726629e-20
7.000000000000000000e+00,4.948528931502400152e-16,2.349656554028566303e-14,4.579018271598382004e-19,4.420557240462620903e-20
8.000000000000000000e+00,6.127341527181518323e-16,2.588104126847331074e-14,5.356972046277048273e-19,5.043375584031959883e-20
9.000000000000000000e+00,6.845638286510133645e-16,2.719516937120145154e-14,5.790024952429444604e-19,5.562390870339742366e-20
1.000000000000000000e+01,7.357274845987511121e-16,2.797574269662762041e-14,6.400345344081377151e-19,6.185209213909080143e-20
1.100000000000000000e+01,7.706625342605007058e-16,2.846792946667283674e-14,7.147951695970719466e-19,6.652322971586085281e-20
1.200000000000000000e+01,7.941099877114957803e-16,2.879054705681257491e-14,7.467803898067706003e-19,7.378944372416980156e-20
1.300000000000000000e+01,8.117615103460665986e-16,2.901086804114806631e-14,8.045850046435754483e-19,8.313171887770986821e-20
1.400000000000000000e+01,8.262605372773122989e-16,2.916338778675284298e-14,8.611371861589163670e-19,9.247399403124995893e-20
1.500000000000000000e+01,8.357916235087657656e-16,2.927520035588771428e-14,9.442313199868232577e-19,9.974020803955890768e-20
1.600000000000000000e+01,8.440592581548399344e-16,2.935701120729963517e-14,1.018221226977933540e-18,1.059683914752522854e-19
1.700000000000000000e+01,8.489535997331538580e-16,2.941886496894871036e-14,1.058299093264784863e-18,1.106395290520223368e-19
1.800000000000000000e+01,8.547311307692085860e-16,2.946565178865762532e-14,1.118608574744518051e-18,1.168677124877157146e-19
1.900000000000000000e+01,8.567428400896183218e-16,2.950186531577695537e-14,1.211192299508133765e-18,1.230958959234091164e-19
2.000000000000000000e+01,8.607417256899449904e-16,2.952882721188040099e-14,1.276318832224267333e-18,1.293240793591024942e-19
2.100000000000000000e+01,8.616249151476858933e-16,2.955182412326275148e-14,1.330173465047224093e-18,1.334762016495647541e-19
2.200000000000000000e+01,8.671448492585662406e-16,2.956927005603556626e-14,1.402910938716870157e-18,1.376283239400269899e-19
2.300000000000000000e+01,8.675619109469438892e-16,2.958380833334624630e-14,1.443277828077905545e-18,1.428184768031048087e-19
2.400000000000000000e+01,8.718061269521985864e-16,2.959543895519479159e-14,1.489521519947349424e-18,1.454135532346437422e-19
2.500000000000000000e+01,8.742103649204930693e-16,2.960786257398755717e-14,1.531044501605120880e-18,1.495656755251060020e-19
2.600000000000000000e+01,8.739159684345795336e-16,2.961499954648552715e-14,1.582394267785149203e-18,1.516417366703371199e-19
2.700000000000000000e+01,8.739159684345795336e-16,2.962240085129823721e-14,1.630950144248065218e-18,1.557938589607993798e-19
2.800000000000000000e+01,8.748482239733059436e-16,2.962715883296354632e-14,1.683552343749557952e-18,1.589079506786460807e-19
2.900000000000000000e+01,8.721005234381122207e-16,2.963297414388782212e-14,1.735191133003770148e-18,1.651361341143394826e-19
3.000000000000000000e+01,8.734743737057090822e-16,2.963746779323839744e-14,1.788949424801998565e-18,1.729213634089561867e-19
3.100000000000000000e+01,8.744066292444354922e-16,2.963984678407105200e-14,1.875367323983022109e-18,1.770734856994184466e-19
3.200000000000000000e+01,8.770071315366724966e-16,2.964275443953318674e-14,1.912362277478577058e-18,1.801875774172651475e-19
3.300000000000000000e+01,8.776449905894853709e-16,2.964434043342162732e-14,1.980186358887094977e-18,1.879728067118818757e-19
3.400000000000000000e+01,8.784300478852549637e-16,2.964645509193954178e-14,2.081344434851503148e-18,1.952390207201908365e-19
3.500000000000000000e+01,8.776449905894853709e-16,2.964856975045746255e-14,2.153985567496421640e-18,1.993911430106530723e-19
3.600000000000000000e+01,8.614041177832506676e-16,2.961314922028234647e-14,2.225470607844603486e-18,2.019862194421920058e-19
3.700000000000000000e+01,8.327495264876584084e-16,2.952221890401191121e-14,2.290211776461825224e-18,2.061383417326542657e-19
3.800000000000000000e+01,8.012491024949011162e-16,2.944027588644262027e-14,2.350135893842646004e-18,2.113284945957320845e-19
3.900000000000000000e+01,7.735758328190208727e-16,2.936467684442707902e-14,2.413528288113675566e-18,2.185947086040410212e-19
4.000000000000000000e+01,7.485521315163632392e-16,2.929647910722425415e-14,2.477306046483616573e-18,2.232658461808110485e-19
4.100000000000000000e+01,7.237246945376479301e-16,2.923145335779830412e-14,2.537037481814981824e-18,2.263799378986577494e-19
4.200000000000000000e+01,7.045889229532626867e-16,2.917065692540818300e-14,2.586942132624090014e-18,2.326081213343511512e-19
4.300000000000000000e+01,6.822147900238275648e-16,2.911884779171921253e-14,2.638195557779390380e-18,2.388363047700445531e-19
4.400000000000000000e+01,6.614107716859318257e-16,2.906915331654816283e-14,2.674805147176033498e-18,2.461025187783534898e-19
4.500000000000000000e+01,6.427656609114025410e-16,2.902421682304242223e-14,2.748217008018776036e-18,2.512926716414313086e-19
4.600000000000000000e+01,6.289290260734624192e-16,2.898350964657251686e-14,2.798314340877339756e-18,2.538877480729702180e-19
4.700000000000000000e+01,6.104801796228756559e-16,2.894808911639740079e-14,2.865175012038577715e-18,2.590779009360480368e-19
4.800000000000000000e+01,5.931107869539721198e-16,2.891161125696333064e-14,2.953808754788344859e-18,2.616729773675869463e-19
4.900000000000000000e+01,5.780965661723774609e-16,2.887830538530613534e-14,3.000245128707245038e-18,2.658250996580491820e-19
5.000000000000000000e+01,5.604327770175602904e-16,2.884658550753738061e-14,3.065949707571746351e-18,2.699772219485114660e-19
5.100000000000000000e+01,5.452222919120233072e-16,2.881856628217497461e-14,3.130883558238424004e-18,2.730913136663581669e-19
5.200000000000000000e+01,5.332501681515361041e-16,2.879107572144205511e-14,3.175393111662763106e-18,2.793194971020515687e-19
5.300000000000000000e+01,5.212780443910489009e-16,2.876675714848600413e-14,3.215470977949614622e-18,2.881427569692838318e-19
5.400000000000000000e+01,5.089133919826769507e-16,2.874296724015943967e-14,3.260365895472866709e-18,2.948899556912850252e-19
5.500000000000000000e+01,4.983151184897866090e-16,2.871970599646234908e-14,3.318363192359127954e-18,2.969660168365161431e-19
5.600000000000000000e+01,4.879131093208386902e-16,2.869803074665369907e-14,3.372506848256267816e-18,3.016371544132861704e-19
5.700000000000000000e+01,4.782961574476604628e-16,2.867847015536296352e-14,3.453818673126707107e-18,3.042322308448250798e-19
5.800000000000000000e+01,4.688754698984246583e-16,2.866049555796066854e-14,3.515284246903175978e-18,3.073463225626717807e-19
5.900000000000000000e+01,4.596510466731312766e-16,2.864199229592889337e-14,3.564225487465003823e-18,3.135745059983651826e-19
6.000000000000000000e+01,4.486602445323560892e-16,2.862718968630347324e-14,3.638600758555026321e-18,3.218787505792897023e-19
6.100000000000000000e+01,7.653083944372706447e-13,8.649482002910640124e-14,3.707631972305119690e-18,3.262997572539181897e-19
6.200000000000000000e+01,7.463209986817858779e-13,8.648424673651681002e-14,3.740773284811554027e-18,3.304518795443804737e-19
6.300000000000000000e+01,7.233137170433125336e-13,8.643931024301106942e-14,3.816690012297224615e-18,3.304518795443804737e-19
6.400000000000000000e+01,7.141915475307931654e-13,8.639807440191169017e-14,3.952627198188444134e-18,3.368098168016507993e-19
6.500000000000000000e+01,7.197954827723208428e-13,8.640283238357699928e-14,3.969872241614756812e-18,3.410268160029015211e-19
6.600000000000000000e+01,7.363403690163423441e-13,8.642186431023826095e-14,4.007637923308136192e-18,3.472549994385949229e-19
6.700000000000000000e+01,7.447391082308099969e-13,8.643560959060472070e-14,4.063901081749292660e-18,3.472549994385949229e-19
6.800000000000000000e+01,7.613150042380144026e-13,8.647790276096306033e-14,4.125559337575218601e-18,3.514071217290571587e-19
6.900000000000000000e+01,7.694181693806247681e-13,8.651173729724972952e-14,4.176042034532694537e-18,3.560782593058272342e-19
7.000000000000000000e+01,7.813168902839575020e-13,8.657623438204621198e-14,4.196080967676120487e-18,3.560782593058272342e-19
7.100000000000000000e+01,7.955450724481627163e-13,8.667985264942415292e-14,4.219973541808666279e-18,3.581543204510583521e-19
7.200000000000000000e+01,8.035514792790695155e-13,8.676549631939979258e-14,4.309378012756257854e-18,3.581543204510583521e-19
7.300000000000000000e+01,8.142107909767059208e-13,8.689237583047482411e-14,4.392905681195441517e-18,3.664585650319828718e-19
7.400000000000000000e+01,8.313124791077519960e-13,8.714402019410696640e-14,4.550134233551550626e-18,3.706106873224451557e-19
7.500000000000000000e+01,8.412002757479707457e-13,8.733856877775533631e-14,4.621041227751364342e-18,3.706106873224451557e-19
7.600000000000000000e+01,8.491666446567933001e-13,8.752465872733204838e-14,4.744357739403214684e-18,3.747628096129073915e-19
7.700000000000000000e+01,8.629447927261985932e-13,8.787992135834213161e-14,4.827596384768213897e-18,3.768388707581385094e-19
7.800000000000000000e+01,8.800837710787938062e-13,8.838426741486537658e-14,4.966327460376545917e-18,3.768388707581385094e-19
7.900000000000000000e+01,8.910800686206392465e-13,8.878710986252858876e-14,5.037234454576359633e-18,3.809909930486007934e-19
8.000000000000000000e+01,8.996729132514860210e-13,8.915823243242305251e-14,5.104287807787052736e-18,3.815100083349085367e-19
8.100000000000000000e+01,9.111877411371874546e-13,8.968055308634858615e-14,5.165946063612978678e-18,3.815100083349085367e-19
8.200000000000000000e+01,9.277253656012229766e-13,9.049998326204148287e-14,5.298511313638717565e-18,3.898142529158330565e-19
8.300000000000000000e+01,9.431953121430117687e-13,9.136487859586960038e-14,5.307760052012606109e-18,3.898142529158330565e-19
8.400000000000000000e+01,9.541974976145755843e-13,9.208280516270247692e-14,5.344755005508161828e-18,3.898142529158330565e-19
8.500000000000000000e+01,9.628272399383235375e-13,9.271614538881866157e-14,5.376354861618948074e-18,3.908522834884486395e-19
8.600000000000000000e+01,9.724708837595580361e-13,9.345310388231279978e-14,5.402559620344966388e-18,3.908522834884486395e-19
8.700000000000000000e+01,9.865881765807357855e-13,9.457598755532679665e-14,5.504295742457743459e-18,4.084988032229132620e-19
8.800000000000000000e+01,1.002861629264744884e-12,9.597271950641107863e-14,5.693894879122463245e-18,4.084988032229132620e-19
8.900000000000000000e+01,1.017141036417499104e-12,9.732398629936013982e-14,5.735514201804962466e-18,4.251072923847622533e-19
9.000000000000000000e+01,1.028160885678217743e-12,9.849339245976833047e-14,5.864611174940493341e-18,4.334115369656867730e-19
9.100000000000000000e+01,1.037422206596412272e-12,9.955177904798587012e-14,5.913985950113597476e-18,4.417157815466112928e-19
9.200000000000000000e+01,1.046590105696410130e-12,1.006281402336056984e-13,6.000307508269892870e-18,4.417157815466112928e-19
9.300000000000000000e+01,1.060493470404490715e-12,1.023251536942342120e-13,6.053487753919753157e-18,4.417157815466112928e-19
9.400000000000000000e+01,1.075594832545915781e-12,1.042695822014590390e-13,6.088941251019660015e-18,4.417157815466112928e-19
9.500000000000000000e+01,1.089106453663407199e-12,1.061325963557440552e-13,6.144433681262992823e-18,4.500200261275358607e-19
9.600000000000000000e+01,1.100171051189984681e-12,1.077735713656477568e-13,6.236921065001881350e-18,4.541721484179980965e-19
9.700000000000000000e+01,1.109373885339644528e-12,1.092242271089389300e-13,6.280081844080028662e-18,4.541721484179980965e-19
