time_s,radius_cm,numerical,series,absolute_error
1.000000000000000000e+00,0.000000000000000000e+00,2.549999999999999822e+00,2.550000000000036682e+00,3.685940441755519714e-14
1.000000000000000000e+00,1.000000000000000056e-01,2.549999999999999822e+00,2.550000000000015365e+00,1.554312234475219157e-14
1.000000000000000000e+00,2.000000000000000111e-01,2.549999999999999822e+00,2.549999999999996270e+00,3.552713678800500929e-15
1.000000000000000000e+00,3.000000000000000444e-01,2.549999999999999822e+00,2.550000000000011813e+00,1.199040866595169064e-14
1.000000000000000000e+00,4.000000000000000222e-01,2.549999999999999822e+00,2.550000000000023359e+00,2.353672812205331866e-14
1.000000000000000000e+00,5.000000000000000000e-01,2.549999999999999822e+00,2.550000000000003375e+00,3.552713678800500929e-15
1.000000000000000000e+00,6.000000000000000888e-01,2.549999999999999822e+00,2.549999999999996714e+00,3.108624468950438313e-15
1.000000000000000000e+00,7.000000000000000666e-01,2.549999999999999822e+00,2.550000000000007816e+00,7.993605777301127091e-15
1.000000000000000000e+00,8.000000000000000444e-01,2.549999999999999822e+00,2.550000000000001155e+00,1.332267629550187849e-15
1.000000000000000000e+00,9.000000000000000222e-01,2.549999999999999822e+00,2.549999999999990052e+00,9.769962616701377556e-15
1.000000000000000000e+00,1.000000000000000000e+00,2.549999999999999822e+00,2.550000000000001599e+00,1.776356839400250465e-15
1.000000000000000000e+00,1.100000000000000089e+00,2.549999999999999822e+00,2.550000000000003375e+00,3.552713678800500929e-15
1.000000000000000000e+00,1.200000000000000178e+00,2.549999999999999822e+00,2.549999999999989608e+00,1.021405182655144017e-14
1.000000000000000000e+00,1.300000000000000044e+00,2.549999999999999822e+00,2.549999999999997158e+00,2.664535259100375697e-15
1.000000000000000000e+00,1.400000000000000133e+00,2.549999999999999822e+00,2.549999999999998490e+00,1.332267629550187849e-15
1.000000000000000000e+00,1.500000000000000000e+00,2.549999999999999822e+00,2.549999999999995826e+00,3.996802888650563546e-15
1.000000000000000000e+00,1.600000000000000089e+00,2.549999999999999822e+00,2.549999999999991829e+00,7.993605777301127091e-15
1.000000000000000000e+00,1.700000000000000178e+00,2.549999999999999822e+00,2.550000000000001155e+00,1.332267629550187849e-15
1.000000000000000000e+00,1.800000000000000044e+00,2.549999999999999822e+00,2.549999999999990496e+00,9.325873406851314940e-15
1.000000000000000000e+00,1.900000000000000133e+00,2.549999999999999822e+00,2.549999999999991829e+00,7.993605777301127091e-15
1.000000000000000000e+00,2.000000000000000000e+00,2.517774043048201627e+00,2.517773666213378725e+00,3.768348229016282858e-07
2.000000000000000000e+00,0.000000000000000000e+00,2.549999999999999822e+00,2.550000000000030909e+00,3.108624468950438313e-14
2.000000000000000000e+00,1.000000000000000056e-01,2.549999999999999822e+00,2.550000000000014477e+00,1.465494392505206633e-14
2.000000000000000000e+00,2.000000000000000111e-01,2.549999999999999822e+00,2.549999999999994049e+00,5.773159728050814010e-15
2.000000000000000000e+00,3.000000000000000444e-01,2.549999999999999822e+00,2.550000000000008260e+00,8.437694987151189707e-15
2.000000000000000000e+00,4.000000000000000222e-01,2.549999999999999822e+00,2.550000000000014921e+00,1.509903313490212895e-14
2.000000000000000000e+00,5.000000000000000000e-01,2.549999999999999822e+00,2.550000000000003819e+00,3.996802888650563546e-15
2.000000000000000000e+00,6.000000000000000888e-01,2.549999999999999822e+00,2.549999999999998934e+00,8.881784197001252323e-16
2.000000000000000000e+00,7.000000000000000666e-01,2.549999999999999822e+00,2.550000000000006484e+00,6.661338147750939243e-15
2.000000000000000000e+00,8.000000000000000444e-01,2.549999999999999822e+00,2.549999999999997158e+00,2.664535259100375697e-15
2.000000000000000000e+00,9.000000000000000222e-01,2.549999999999999822e+00,2.549999999999987388e+00,1.243449787580175325e-14
2.000000000000000000e+00,1.000000000000000000e+00,2.549999999999999822e+00,2.549999999999999378e+00,4.440892098500626162e-16
2.000000000000000000e+00,1.100000000000000089e+00,2.549999999999999822e+00,2.550000000000001599e+00,1.776356839400250465e-15
2.000000000000000000e+00,1.200000000000000178e+00,2.549999999999999822e+00,2.549999999999993161e+00,6.661338147750939243e-15
2.000000000000000000e+00,1.300000000000000044e+00,2.549999999999999822e+00,2.549999999999992273e+00,7.549516567451064475e-15
2.000000000000000000e+00,1.400000000000000133e+00,2.549999999999999822e+00,2.549999999999998934e+00,8.881784197001252323e-16
2.000000000000000000e+00,1.500000000000000000e+00,2.549999999999999822e+00,2.549999999999990496e+00,9.325873406851314940e-15
2.000000000000000000e+00,1.600000000000000089e+00,2.549999999999999822e+00,2.549999999999992273e+00,7.549516567451064475e-15
2.000000000000000000e+00,1.700000000000000178e+00,2.549999999999999822e+00,2.549999999999999822e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.800000000000000044e+00,2.549999999999999822e+00,2.549999999999996714e+00,3.108624468950438313e-15
2.000000000000000000e+00,1.900000000000000133e+00,2.549999999999990052e+00,2.549999999999987388e+00,2.664535259100375697e-15
2.000000000000000000e+00,2.000000000000000000e+00,2.504584945124889828e+00,2.504584683101258147e+00,2.620236316808188803e-07
5.000000000000000000e+00,0.000000000000000000e+00,2.549999999999999822e+00,2.550000000000035350e+00,3.552713678800500929e-14
5.000000000000000000e+00,1.000000000000000056e-01,2.549999999999999822e+00,2.550000000000020250e+00,2.042810365310288034e-14
5.000000000000000000e+00,2.000000000000000111e-01,2.549999999999999822e+00,2.549999999999998046e+00,1.776356839400250465e-15
5.000000000000000000e+00,3.000000000000000444e-01,2.549999999999999822e+00,2.550000000000008704e+00,8.881784197001252323e-15
5.000000000000000000e+00,4.000000000000000222e-01,2.549999999999999822e+00,2.550000000000012701e+00,1.287858708565181587e-14
5.000000000000000000e+00,5.000000000000000000e-01,2.549999999999999822e+00,2.550000000000003819e+00,3.996802888650563546e-15
5.000000000000000000e+00,6.000000000000000888e-01,2.549999999999999822e+00,2.550000000000000266e+00,4.440892098500626162e-16
5.000000000000000000e+00,7.000000000000000666e-01,2.549999999999999822e+00,2.550000000000007816e+00,7.993605777301127091e-15
5.000000000000000000e+00,8.000000000000000444e-01,2.549999999999999822e+00,2.550000000000001155e+00,1.332267629550187849e-15
5.000000000000000000e+00,9.000000000000000222e-01,2.549999999999999822e+00,2.549999999999989164e+00,1.065814103640150279e-14
5.000000000000000000e+00,1.000000000000000000e+00,2.549999999999999822e+00,2.549999999999998046e+00,1.776356839400250465e-15
5.000000000000000000e+00,1.100000000000000089e+00,2.549999999999999822e+00,2.549999999999998490e+00,1.332267629550187849e-15
5.000000000000000000e+00,1.200000000000000178e+00,2.549999999999999822e+00,2.549999999999991829e+00,7.993605777301127091e-15
5.000000000000000000e+00,1.300000000000000044e+00,2.549999999999999822e+00,2.549999999999994049e+00,5.773159728050814010e-15
5.000000000000000000e+00,1.400000000000000133e+00,2.549999999999999822e+00,2.549999999999999822e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.500000000000000000e+00,2.549999999999999822e+00,2.549999999999988720e+00,1.110223024625156540e-14
5.000000000000000000e+00,1.600000000000000089e+00,2.549999999999999822e+00,2.549999999999990052e+00,9.769962616701377556e-15
5.000000000000000000e+00,1.700000000000000178e+00,2.549999999999999822e+00,2.549999999999994493e+00,5.329070518200751394e-15
5.000000000000000000e+00,1.800000000000000044e+00,2.549999999999999822e+00,2.549999999999993605e+00,6.217248937900876626e-15
5.000000000000000000e+00,1.900000000000000133e+00,2.549999871157592857e+00,2.549999871198634693e+00,4.104183659592308686e-11
5.000000000000000000e+00,2.000000000000000000e+00,2.478688437119820343e+00,2.478688276852508920e+00,1.602673114220465322e-07
1.000000000000000000e+01,0.000000000000000000e+00,2.549999999999999822e+00,2.550000000000036682e+00,3.685940441755519714e-14
1.000000000000000000e+01,1.000000000000000056e-01,2.549999999999999822e+00,2.550000000000015365e+00,1.554312234475219157e-14
1.000000000000000000e+01,2.000000000000000111e-01,2.549999999999999822e+00,2.549999999999998490e+00,1.332267629550187849e-15
