time_s,radius_cm,numerical,series,absolute_error
1.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.800000000000018829e+01,1.882938249764265493e-13
1.000000000000000000e+00,1.000000000000000056e-01,2.800000000000000000e+01,2.800000000000014921e+01,1.492139745096210390e-13
1.000000000000000000e+00,2.000000000000000111e-01,2.800000000000000000e+01,2.800000000000004974e+01,4.973799150320701301e-14
1.000000000000000000e+00,3.000000000000000444e-01,2.800000000000000000e+01,2.800000000000000711e+01,7.105427357601001859e-15
1.000000000000000000e+00,4.000000000000000222e-01,2.800000000000000000e+01,2.800000000000002132e+01,2.131628207280300558e-14
1.000000000000000000e+00,5.000000000000000000e-01,2.800000000000000000e+01,2.800000000000004974e+01,4.973799150320701301e-14
1.000000000000000000e+00,6.000000000000000888e-01,2.800000000000000000e+01,2.799999999999999289e+01,7.105427357601001859e-15
1.000000000000000000e+00,7.000000000000000666e-01,2.800000000000000000e+01,2.799999999999996447e+01,3.552713678800500929e-14
1.000000000000000000e+00,8.000000000000000444e-01,2.800000000000000000e+01,2.799999999999994316e+01,5.684341886080801487e-14
1.000000000000000000e+00,9.000000000000000222e-01,2.800000000000000000e+01,2.799999999999996447e+01,3.552713678800500929e-14
1.000000000000000000e+00,1.000000000000000000e+00,2.800000000000000000e+01,2.799999999999997158e+01,2.842170943040400743e-14
1.000000000000000000e+00,1.100000000000000089e+00,2.800000000000000000e+01,2.799999999999995026e+01,4.973799150320701301e-14
1.000000000000000000e+00,1.200000000000000178e+00,2.800000000000000000e+01,2.799999999999994316e+01,5.684341886080801487e-14
1.000000000000000000e+00,1.300000000000000044e+00,2.800000000000000000e+01,2.799999999999996447e+01,3.552713678800500929e-14
1.000000000000000000e+00,1.400000000000000133e+00,2.800000000000000000e+01,2.800000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,1.500000000000000000e+00,2.800000000000000000e+01,2.800000000000002132e+01,2.131628207280300558e-14
1.000000000000000000e+00,1.600000000000000089e+00,2.800000000000037303e+01,2.800000000000039435e+01,2.131628207280300558e-14
1.000000000000000000e+00,1.700000000000000178e+00,2.800000001927216431e+01,2.800000001927012505e+01,2.039257651631487533e-12
1.000000000000000000e+00,1.800000000000000044e+00,2.800006229367689059e+01,2.800006229272744207e+01,9.494485198047186714e-10
1.000000000000000000e+00,1.900000000000000133e+00,2.801425961444351387e+01,2.801425961436164158e+01,8.187228672795754392e-11
1.000000000000000000e+00,2.000000000000000000e+00,2.831686606510600157e+01,2.831686616817427193e+01,1.030682703628826857e-07
2.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.800000000000014921e+01,1.492139745096210390e-13
2.000000000000000000e+00,1.000000000000000056e-01,2.800000000000000000e+01,2.800000000000012079e+01,1.207922650792170316e-13
2.000000000000000000e+00,2.000000000000000111e-01,2.800000000000000000e+01,2.800000000000004974e+01,4.973799150320701301e-14
2.000000000000000000e+00,3.000000000000000444e-01,2.800000000000000000e+01,2.800000000000002132e+01,2.131628207280300558e-14
2.000000000000000000e+00,4.000000000000000222e-01,2.800000000000000000e+01,2.800000000000002487e+01,2.486899575160350651e-14
2.000000000000000000e+00,5.000000000000000000e-01,2.800000000000000000e+01,2.800000000000003908e+01,3.907985046680551022e-14
2.000000000000000000e+00,6.000000000000000888e-01,2.800000000000000000e+01,2.800000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,7.000000000000000666e-01,2.800000000000000000e+01,2.799999999999996447e+01,3.552713678800500929e-14
2.000000000000000000e+00,8.000000000000000444e-01,2.800000000000000000e+01,2.799999999999994316e+01,5.684341886080801487e-14
2.000000000000000000e+00,9.000000000000000222e-01,2.800000000000000000e+01,2.799999999999995737e+01,4.263256414560601115e-14
2.000000000000000000e+00,1.000000000000000000e+00,2.800000000000000000e+01,2.799999999999996447e+01,3.552713678800500929e-14
2.000000000000000000e+00,1.100000000000000089e+00,2.800000000000000000e+01,2.799999999999995381e+01,4.618527782440651208e-14
2.000000000000000000e+00,1.200000000000000178e+00,2.800000000000000000e+01,2.799999999999995737e+01,4.263256414560601115e-14
2.000000000000000000e+00,1.300000000000000044e+00,2.800000000000000000e+01,2.799999999999997158e+01,2.842170943040400743e-14
2.000000000000000000e+00,1.400000000000000133e+00,2.800000000000002842e+01,2.800000000000003553e+01,7.105427357601001859e-15
2.000000000000000000e+00,1.500000000000000000e+00,2.800000000012038015e+01,2.800000000012033752e+01,4.263256414560601115e-14
2.000000000000000000e+00,1.600000000000000089e+00,2.800000013707756352e+01,2.800000013707291657e+01,4.646949491871055216e-12
2.000000000000000000e+00,1.700000000000000178e+00,2.800003908799440921e+01,2.800003908761823368e+01,3.761755351661122404e-10
2.000000000000000000e+00,1.800000000000000044e+00,2.800292502203494038e+01,2.800292501771432541e+01,4.320614976904835203e-09
2.000000000000000000e+00,1.900000000000000133e+00,2.806251324214876064e+01,2.806251325985352452e+01,1.770476387719099876e-08
2.000000000000000000e+00,2.000000000000000000e+00,2.844517825933552047e+01,2.844517832925189893e+01,6.991637846454068494e-08
5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.800000000000010658e+01,1.065814103640150279e-13
5.000000000000000000e+00,1.000000000000000056e-01,2.800000000000000000e+01,2.800000000000008527e+01,8.526512829121202230e-14
5.000000000000000000e+00,2.000000000000000111e-01,2.800000000000000000e+01,2.800000000000005684e+01,5.684341886080801487e-14
5.000000000000000000e+00,3.000000000000000444e-01,2.800000000000000000e+01,2.800000000000003197e+01,3.197442310920450836e-14
5.000000000000000000e+00,4.000000000000000222e-01,2.800000000000000000e+01,2.800000000000002132e+01,2.131628207280300558e-14
5.000000000000000000e+00,5.000000000000000000e-01,2.800000000000000000e+01,2.800000000000002132e+01,2.131628207280300558e-14
5.000000000000000000e+00,6.000000000000000888e-01,2.800000000000000000e+01,2.799999999999999289e+01,7.105427357601001859e-15
5.000000000000000000e+00,7.000000000000000666e-01,2.800000000000000000e+01,2.799999999999997158e+01,2.842170943040400743e-14
5.000000000000000000e+00,8.000000000000000444e-01,2.800000000000000000e+01,2.799999999999995737e+01,4.263256414560601115e-14
5.000000000000000000e+00,9.000000000000000222e-01,2.800000000000000000e+01,2.799999999999995381e+01,4.618527782440651208e-14
5.000000000000000000e+00,1.000000000000000000e+00,2.800000000000000355e+01,2.799999999999996092e+01,4.263256414560601115e-14
5.000000000000000000e+00,1.100000000000000089e+00,2.800000000000071765e+01,2.800000000000068212e+01,3.552713678800500929e-14
5.000000000000000000e+00,1.200000000000000178e+00,2.800000000013313439e+01,2.800000000013305979e+01,7.460698725481051952e-14
5.000000000000000000e+00,1.300000000000000044e+00,2.800000001388383453e+01,2.800000001388318083e+01,6.536993168992921710e-13
5.000000000000000000e+00,1.400000000000000133e+00,2.800000082913019028e+01,2.800000082912245958e+01,7.730704965069890022e-12
5.000000000000000000e+00,1.500000000000000000e+00,2.800002857727201544e+01,2.800002857714078175e+01,1.312336905812117038e-10
5.000000000000000000e+00,1.600000000000000089e+00,2.800057498596138927e+01,2.800057498484780893e+01,1.113580339051623014e-09
5.000000000000000000e+00,1.700000000000000178e+00,2.800686664830462291e+01,2.800686664527939485e+01,3.025228068054275354e-09
