time_s,temperature_C,equivalent_moisture
0.000000000000000000e+00,2.800000000000000000e+01,1.963000000000000161e-02
6.000000000000000000e+01,2.852799999999999869e+01,2.001999999999999960e-02
1.200000000000000000e+02,2.919200000000000017e+01,2.052999999999999964e-02
1.800000000000000000e+02,2.968400000000000105e+01,2.100000000000000130e-02
2.400000000000000000e+02,3.003699999999999903e+01,2.151000000000000134e-02
3.000000000000000000e+02,3.083399999999999963e+01,2.190999999999999892e-02
3.600000000000000000e+02,3.129299999999999926e+01,2.232999999999999916e-02
4.200000000000000000e+02,3.182000000000000028e+01,2.278000000000000164e-02
4.800000000000000000e+02,3.212100000000000222e+01,2.324999999999999983e-02
5.400000000000000000e+02,3.272999999999999687e+01,2.376999999999999946e-02
6.000000000000000000e+02,3.320199999999999818e+01,2.427999999999999950e-02
6.600000000000000000e+02,3.387899999999999778e+01,2.464999999999999830e-02
7.200000000000000000e+02,3.426800000000000068e+01,2.505999999999999894e-02
7.800000000000000000e+02,3.480599999999999739e+01,2.552000000000000102e-02
8.400000000000000000e+02,3.514200000000000301e+01,2.612000000000000086e-02
9.000000000000000000e+02,3.552400000000000091e+01,2.659999999999999865e-02
9.600000000000000000e+02,3.609100000000000108e+01,2.687000000000000152e-02
1.020000000000000000e+03,3.635399999999999920e+01,2.732000000000000053e-02
1.080000000000000000e+03,3.706700000000000017e+01,2.792999999999999997e-02
1.140000000000000000e+03,3.741899999999999693e+01,2.826000000000000040e-02
1.200000000000000000e+03,3.788199999999999790e+01,2.891000000000000167e-02
1.260000000000000000e+03,3.813400000000000034e+01,2.920999999999999985e-02
1.320000000000000000e+03,3.876700000000000301e+01,2.961000000000000090e-02
1.380000000000000000e+03,3.912500000000000000e+01,3.029000000000000095e-02
1.440000000000000000e+03,3.945799999999999841e+01,3.050999999999999893e-02
1.500000000000000000e+03,3.959499999999999886e+01,3.098000000000000059e-02
1.560000000000000000e+03,4.006099999999999994e+01,3.137000000000000205e-02
1.620000000000000000e+03,4.023799999999999955e+01,3.178999999999999881e-02
1.680000000000000000e+03,4.062100000000000222e+01,3.219000000000000333e-02
1.740000000000000000e+03,4.116599999999999682e+01,3.262000000000000316e-02
1.800000000000000000e+03,4.151299999999999812e+01,3.307000000000000217e-02
