time_s,radius_cm,temperature_C,moisture
1.000000000000000000e+02,0.000000000000000000e+00,2.800005330381934243e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.765625000000000542e-05,2.800005330382572666e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.953125000000000108e-04,2.800005330384487934e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.929687499999999892e-04,2.800005330387681113e+01,2.549999999999999822e+00
1.000000000000000000e+02,3.906250000000000217e-04,2.800005330392149006e+01,2.549999999999999822e+00
1.000000000000000000e+02,4.882812500000000000e-04,2.800005330397895165e+01,2.549999999999999822e+00
1.000000000000000000e+02,5.859374999999999783e-04,2.800005330404918524e+01,2.549999999999999822e+00
1.000000000000000000e+02,6.835937500000000651e-04,2.800005330413218019e+01,2.549999999999999822e+00
1.000000000000000000e+02,7.812500000000000434e-04,2.800005330422795069e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.789062500000001301e-04,2.800005330433647188e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.765625000000000000e-04,2.800005330445778284e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.074218749999999870e-03,2.800005330459185160e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.171874999999999957e-03,2.800005330473869236e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.269531250000000043e-03,2.800005330489831223e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.367187500000000130e-03,2.800005330507068635e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.464843750000000000e-03,2.800005330525583602e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.562500000000000087e-03,2.800005330545375770e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.660156250000000173e-03,2.800005330566444073e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.757812500000000260e-03,2.800005330588789931e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.855468749999999913e-03,2.800005330612412635e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.953125000000000000e-03,2.800005330637312184e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.050781250000000087e-03,2.800005330663488223e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.148437499999999740e-03,2.800005330690942174e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.246093749999999827e-03,2.800005330719672259e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.343749999999999913e-03,2.800005330749679544e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.441406250000000000e-03,2.800005330780963675e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.539062500000000087e-03,2.800005330813525362e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.636718750000000173e-03,2.800005330847364249e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.734375000000000260e-03,2.800005330882479626e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.832031250000000347e-03,2.800005330918872204e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.929687500000000000e-03,2.800005330956540561e+01,2.549999999999999822e+00
1.000000000000000000e+02,3.027343750000000087e-03,2.800005330995486830e+01,2.549999999999999822e+00
1.000000000000000000e+02,3.125000000000000173e-03,2.800005331035711365e+01,2.549999999999999822e+00
1.000000000000000000e+02,3.222656250000000260e-03,2.800005331077211679e+01,2.549999999999999822e+00
1.000000000000000000e+02,3.320312500000000347e-03,2.800005331119989194e+01,2.549999999999999822e+00
1.000000000000000000e+02,3.417968750000000434e-03,2.800005331164044264e+01,2.549999999999999822e+00
1.000000000000000000e+02,3.515625000000000520e-03,2.800005331209375825e+01,2.549999999999999822e+00
1.000000000000000000e+02,3.613281249999999740e-03,2.800005331255984231e+01,2.549999999999999822e+00
1.000000000000000000e+02,3.710937499999999827e-03,2.800005331303870193e+01,2.549999999999999822e+00
1.000000000000000000e+02,3.808593749999999913e-03,2.800005331353034066e+01,2.549999999999999822e+00
1.000000000000000000e+02,3.906250000000000000e-03,2.800005331403474429e+01,2.549999999999999822e+00
1.000000000000000000e+02,4.003906250000000520e-03,2.800005331455191993e+01,2.549999999999999822e+00
1.000000000000000000e+02,4.101562500000000173e-03,2.800005331508186401e+01,2.549999999999999822e+00
1.000000000000000000e+02,4.199218750000000694e-03,2.800005331562458011e+01,2.549999999999999822e+00
1.000000000000000000e+02,4.296874999999999480e-03,2.800005331618007531e+01,2.549999999999999822e+00
1.000000000000000000e+02,4.394531250000000000e-03,2.800005331674834252e+01,2.549999999999999822e+00
1.000000000000000000e+02,4.492187499999999653e-03,2.800005331732937108e+01,2.549999999999999822e+00
1.000000000000000000e+02,4.589843750000000173e-03,2.800005331792318586e+01,2.549999999999999822e+00
