time_s,center_temperature_C,surface_temperature_C,mean_temperature_C,center_moisture,surface_moisture,mean_moisture
0.000000000000000000e+00,2.800000000000000000e+01,2.800000000000000000e+01,2.800000000000000000e+01,2.549999999999999822e+00,2.549999999999999822e+00,2.549999999999999822e+00
1.000000000000000000e+00,2.800000000000000000e+01,2.800018663982078237e+01,2.800000507175720799e+01,2.549999999999999822e+00,2.517726148830848665e+00,2.549799294975600983e+00
2.000000000000000000e+00,2.800000000000000000e+01,2.800052529196311113e+01,2.800002014373903947e+01,2.549999999999999822e+00,2.504492535440185019e+00,2.549600008205847423e+00
3.000000000000000000e+00,2.800000000000000000e+01,2.800096138419359093e+01,2.800004507781922314e+01,2.549999999999999822e+00,2.494391141492553032e+00,2.549401638471170184e+00
4.000000000000000000e+00,2.800000000000000000e+01,2.800147545965178963e+01,2.800007977239359747e+01,2.549999999999999822e+00,2.485910892614670686e+00,2.549204006944552514e+00
5.000000000000000000e+00,2.800000000000000000e+01,2.800205628181307205e+01,2.800012414309788156e+01,2.549999999999999822e+00,2.478466518432098642e+00,2.549007010287062336e+00
6.000000000000000000e+00,2.800000000000000000e+01,2.800269627465064914e+01,2.800017811635967035e+01,2.549999999999999822e+00,2.471757870630080678e+00,2.548810578782151115e+00
7.000000000000000000e+00,2.800000000000000000e+01,2.800338988036326171e+01,2.800024162620443846e+01,2.549999999999999822e+00,2.465606655172612793e+00,2.548614661255195646e+00
8.000000000000000000e+00,2.800000000000000000e+01,2.800413279575569092e+01,2.800031461238674524e+01,2.549999999999999822e+00,2.459896708585306069e+00,2.548419218060476332e+00
9.000000000000000000e+00,2.800000000000000000e+01,2.800492156113813991e+01,2.800039701918252533e+01,2.549999999999999822e+00,2.454547346830794119e+00,2.548224217305159911e+00
1.000000000000000000e+01,2.800000000000000000e+01,2.800575331638627929e+01,2.800048879455447448e+01,2.549999999999999822e+00,2.449499826799020674e+00,2.548029632608375561e+00
1.100000000000000000e+01,2.800000000000000000e+01,2.800662564569802626e+01,2.800058988954635097e+01,2.549999999999999822e+00,2.444709804005377851e+00,2.547835441674911383e+00
1.200000000000000000e+01,2.800000000000000000e+01,2.800753647341989350e+01,2.800070025782692795e+01,2.549999999999999822e+00,2.440142828605570191e+00,2.547641625337979665e+00
1.300000000000000000e+01,2.800000000000000000e+01,2.800848399117028364e+01,2.800081985533613960e+01,2.549999999999999822e+00,2.435771505563970152e+00,2.547448166889487275e+00
1.400000000000000000e+01,2.800000000000000355e+01,2.800946660511363362e+01,2.800094864000429240e+01,2.549999999999999822e+00,2.431573623994137456e+00,2.547255051595418873e+00
1.500000000000000000e+01,2.800000000000000000e+01,2.801048289673954272e+01,2.800108657152454583e+01,2.549999999999999822e+00,2.427530879683565068e+00,2.547062266335302638e+00
1.600000000000000000e+01,2.800000000000000000e+01,2.801153159299953543e+01,2.800123361116555998e+01,2.549999999999999822e+00,2.423627975925869649e+00,2.546869799327666328e+00
1.700000000000000000e+01,2.800000000000000000e+01,2.801261154311241697e+01,2.800138972161507667e+01,2.549999999999999822e+00,2.419851974129342054e+00,2.546677639916760771e+00
1.800000000000000000e+01,2.800000000000000000e+01,2.801372170023730490e+01,2.800155486684774431e+01,2.549999999999999822e+00,2.416191814296846818e+00,2.546485778404028011e+00
1.900000000000000000e+01,2.799999999999999645e+01,2.801486110677495844e+01,2.800172901201209896e+01,2.549999999999999822e+00,2.412637954031723542e+00,2.546294205912915221e+00
2.000000000000000000e+01,2.800000000000000355e+01,2.801602888242261002e+01,2.800191212333323065e+01,2.549999999999999822e+00,2.409182092116007201e+00,2.546102914279000373e+00
2.100000000000000000e+01,2.799999999999999645e+01,2.801722421435306742e+01,2.800210416802802627e+01,2.549999999999999822e+00,2.405816953636457090e+00,2.545911895959642735e+00
2.200000000000000000e+01,2.799999999999999645e+01,2.801844634905541298e+01,2.800230511423100666e+01,2.549999999999999822e+00,2.402536120694445554e+00,2.545721143958910027e+00
2.300000000000000000e+01,2.800000000000000711e+01,2.801969458549260139e+01,2.800251493092885369e+01,2.549999999999999822e+00,2.399333897409963168e+00,2.545530651764617680e+00
2.400000000000000000e+01,2.800000000000001421e+01,2.802096826931487072e+01,2.800273358790245126e+01,2.549999999999999822e+00,2.396205201092847403e+00,2.545340413295070547e+00
2.500000000000000000e+01,2.800000000000002487e+01,2.802226678792798964e+01,2.800296105567502636e+01,2.549999999999999822e+00,2.393145473636770770e+00,2.545150422853673433e+00
2.600000000000000000e+01,2.800000000000006750e+01,2.802358956626088471e+01,2.800319730546571861e+01,2.549999999999999822e+00,2.390150608724476378e+00,2.544960675089967594e+00
2.700000000000000000e+01,2.800000000000017408e+01,2.802493606310991581e+01,2.800344230914786436e+01,2.549999999999999822e+00,2.387216891526874996e+00,2.544771164965974997e+00
2.800000000000000000e+01,2.800000000000041211e+01,2.802630576796263284e+01,2.800369603921112471e+01,2.549999999999999822e+00,2.384340948371030944e+00,2.544581887726947045e+00
2.900000000000000000e+01,2.800000000000094857e+01,2.802769819822314901e+01,2.800395846872716632e+01,2.549999999999999822e+00,2.381519704433949336e+00,2.544392838875822793e+00
3.000000000000000000e+01,2.800000000000206057e+01,2.802911289677595974e+01,2.800422957131836199e+01,2.549999999999999822e+00,2.378750347951300803e+00,2.544204014150779347e+00
3.100000000000000000e+01,2.800000000000425615e+01,2.803054942983715847e+01,2.800450932112926594e+01,2.549999999999999822e+00,2.376030299755342856e+00,2.544015409505445913e+00
3.200000000000000000e+01,2.800000000000845901e+01,2.803200738505066525e+01,2.800479769280033793e+01,2.549999999999999822e+00,2.373357187203170682e+00,2.543827021091364049e+00
3.300000000000000000e+01,2.800000000001615774e+01,2.803348636979488617e+01,2.800509466144382742e+01,2.549999999999999822e+00,2.370728821745874626e+00,2.543638845242383262e+00
3.400000000000000000e+01,2.800000000002978240e+01,2.803498600967065002e+01,2.800540020262157626e+01,2.549999999999999822e+00,2.368143179535816767e+00,2.543450878460729037e+00
3.500000000000000000e+01,2.800000000005311662e+01,2.803650594714634892e+01,2.800571429232441645e+01,2.549999999999999822e+00,2.365598384583742941e+00,2.543263117404515938e+00
3.600000000000000000e+01,2.800000000009193712e+01,2.803804584033983716e+01,2.800603690695315251e+01,2.549999999999999822e+00,2.363092694067480792e+00,2.543075558876517483e+00
3.700000000000000000e+01,2.800000000015478463e+01,2.803960536191979358e+01,2.800636802330081920e+01,2.549999999999999822e+00,2.360624485465913303e+00,2.542888199814043571e+00
3.800000000000000000e+01,2.800000000025402969e+01,2.804118419811205243e+01,2.800670761853627866e+01,2.549999999999999822e+00,2.358192245248227348e+00,2.542701037279773590e+00
3.900000000000000000e+01,2.800000000040715520e+01,2.804278204779814132e+01,2.800705567018880515e+01,2.549999999999999822e+00,2.355794558894122925e+00,2.542514068453447518e+00
4.000000000000000000e+01,2.800000000063843686e+01,2.804439862169547837e+01,2.800741215613375701e+01,2.549999999999999822e+00,2.353430102059477669e+00,2.542327290624302627e+00
4.100000000000000000e+01,2.800000000098092912e+01,2.804603364160989543e+01,2.800777705457910471e+01,2.549999999999999822e+00,2.351097632730109854e+00,2.542140701184184337e+00
4.200000000000000000e+01,2.800000000147883483e+01,2.804768683975255783e+01,2.800815034405293602e+01,2.549999999999999822e+00,2.348795984231978107e+00,2.541954297621237480e+00
4.300000000000000000e+01,2.800000000219043983e+01,2.804935795811420718e+01,2.800853200339147975e+01,2.549999999999999822e+00,2.346524058986263928e+00,2.541768077514142465e+00
4.400000000000000000e+01,2.800000000319136717e+01,2.805104674789077990e+01,2.800892201172812079e+01,2.549999999999999822e+00,2.344280822914567963e+00,2.541582038526806642e+00
4.500000000000000000e+01,2.800000000457846738e+01,2.805275296895508319e+01,2.800932034848280239e+01,2.549999999999999822e+00,2.342065300413358919e+00,2.541396178403495743e+00
4.600000000000000000e+01,2.800000000647418830e+01,2.805447638936986010e+01,2.800972699335224547e+01,2.549999999999999822e+00,2.339876569828471808e+00,2.541210494964334377e+00
4.700000000000000000e+01,2.800000000903150976e+01,2.805621678493825755e+01,2.801014192630053401e+01,2.549999999999999822e+00,2.337713759370124045e+00,2.541024986101160898e+00
4.800000000000000000e+01,2.800000001243942904e+01,2.805797393878794566e+01,2.801056512755030781e+01,2.549999999999999822e+00,2.335576043417187719e+00,2.540839649773686038e+00
4.900000000000000000e+01,2.800000001692911056e+01,2.805974764098585439e+01,2.801099657757442074e+01,2.549999999999999822e+00,2.333462639166292263e+00,2.540654484005936187e+00
5.000000000000000000e+01,2.800000002278048328e+01,2.806153768818058580e+01,2.801143625708802176e+01,2.549999999999999822e+00,2.331372803587246523e+00,2.540469486882954264e+00
5.100000000000000000e+01,2.800000003032952023e+01,2.806334388327011098e+01,2.801188414704097340e+01,2.549999999999999822e+00,2.329305830651238640e+00,2.540284656547723063e+00
5.200000000000000000e+01,2.800000003997602249e+01,2.806516603509234997e+01,2.801234022861079609e+01,2.549999999999999822e+00,2.327261048802525600e+00,2.540099991198315976e+00
5.300000000000000000e+01,2.800000005219197163e+01,2.806700395813684423e+01,2.801280448319576166e+01,2.549999999999999822e+00,2.325237818647959642e+00,2.539915489085228906e+00
5.400000000000000000e+01,2.800000006753033688e+01,2.806885747227544314e+01,2.801327689240857310e+01,2.549999999999999822e+00,2.323235530841861518e+00,2.539731148508895142e+00
5.500000000000000000e+01,2.800000008663447559e+01,2.807072640251079321e+01,2.801375743807006558e+01,2.549999999999999822e+00,2.321253604146412464e+00,2.539546967817354783e+00
5.600000000000000000e+01,2.800000011024786772e+01,2.807261057874074339e+01,2.801424610220340483e+01,2.549999999999999822e+00,2.319291483650098407e+00,2.539362945404087579e+00
5.700000000000000000e+01,2.800000013922434050e+01,2.807450983553765766e+01,2.801474286702844907e+01,2.549999999999999822e+00,2.317348639128727239e+00,2.539179079705965680e+00
5.800000000000000000e+01,2.800000017453861645e+01,2.807642401194144455e+01,2.801524771495640920e+01,2.549999999999999822e+00,2.315424563535339431e+00,2.538995369201341390e+00
5.900000000000000000e+01,2.800000021729720601e+01,2.807835295126502473e+01,2.801576062858472227e+01,2.549999999999999822e+00,2.313518771606822622e+00,2.538811812408253488e+00
6.000000000000000000e+01,2.800000026874956305e+01,2.808029650091151552e+01,2.801628159069212032e+01,2.549999999999999822e+00,2.311630798576398416e+00,2.538628407882731253e+00
