parameter,delta,metric,unit,baseline,minus_value,plus_value,global_resolution,central,plus,minus,response_resolved,status,minus_response_resolved,plus_response_resolved
h,0.1,center_rise_K,K,5.5753448259751295,5.297469758381709,5.823373820159958,0.001,0.4716336640992139,0.44486754080084734,0.49839978739758056,True,resolved,True,True
h,0.1,surface_rise_K,K,8.785560346667687,8.408797381552183,9.115621364818061,0.001,0.40226459973834905,0.37568579023598025,0.4288434092407178,True,resolved,True,True
h,0.1,center_moisture,kg/kg,2.5499924041350215,2.549992404135018,2.549992404135025,1e-05,1.3932252006082391e-14,1.3932252006082391e-14,1.3932252006082391e-14,False,response_below_global_budget,False,False
h,0.1,surface_moisture,kg/kg,1.5102346045601185,1.5102346045615143,1.5102346045590052,1e-05,-8.307000872833505e-12,-7.371911925024283e-12,-9.242089820642728e-12,False,response_below_global_budget,False,False
h,0.1,mean_loss,kg/kg,0.25644280176737544,0.25644280176713297,0.2564428017675673,1e-05,8.46815048502202e-12,7.481065459160558e-12,9.455235510883482e-12,False,response_below_global_budget,False,False
h,0.2,center_rise_K,K,5.5753448259751295,4.98456551070872,6.045817623000495,0.001,0.47586837470010757,0.42192260004571097,0.5298141493545041,True,resolved,True,True
h,0.2,surface_rise_K,K,8.785560346667687,7.975879187630952,9.406547414316748,0.001,0.40710784805787614,0.35341346661206297,0.4608022295036894,True,resolved,True,True
h,0.2,center_moisture,kg/kg,2.5499924041350215,2.549992404135013,2.549992404135028,1e-05,1.480301775646254e-14,1.306148625570224e-14,1.654454925722284e-14,False,response_below_global_budget,False,False
h,0.2,surface_moisture,kg/kg,1.5102346045601185,1.5102346045631179,1.5102346045579784,1e-05,-8.507692132858598e-12,-7.0852101249884356e-12,-9.93017414072876e-12,False,response_below_global_budget,False,False
h,0.2,mean_loss,kg/kg,0.25644280176737544,0.2564428017668563,0.25644280176774403,1e-05,8.65431125744326e-12,7.186671679517665e-12,1.0121950835368857e-11,False,response_below_global_budget,False,False
hm,0.1,center_rise_K,K,5.5753448259751295,5.575344825986036,5.575344825965338,0.001,-1.8562179146535223e-11,-1.7561745872932054e-11,-1.956261242013839e-11,False,response_below_global_budget,False,False
hm,0.1,surface_rise_K,K,8.785560346667687,8.785560346678686,8.78556034665732,0.001,-1.2159736670871667e-11,-1.1799837580845868e-11,-1.2519635760897465e-11,False,response_below_global_budget,False,False
hm,0.1,center_moisture,kg/kg,2.5499924041350215,2.549993058520854,2.5499917698027987,1e-05,-2.5269056748783816e-06,-2.4875847540567043e-06,-2.5662265957000593e-06,False,response_below_global_budget,False,False
hm,0.1,surface_moisture,kg/kg,1.5102346045601185,1.5843453441073583,1.4408920530081646,1e-05,-0.47493710800308697,-0.4591508586982159,-0.4907233573079581,True,resolved,True,True
hm,0.1,mean_loss,kg/kg,0.25644280176737544,0.23831693389525688,0.27333924661368325,1e-05,0.6828484261803502,0.658877719704331,0.7068191326563694,True,resolved,True,True
hm,0.2,center_rise_K,K,5.5753448259751295,5.575344825998307,5.575344825957103,0.001,-1.8476154629378263e-11,-1.6166237039052476e-11,-2.078607221970405e-11,False,response_below_global_budget,False,False
hm,0.2,surface_rise_K,K,8.785560346667687,8.78556034669036,8.785560346647884,0.001,-1.2086948090866449e-11,-1.1270098470807894e-11,-1.2903797710925004e-11,False,response_below_global_budget,False,False
hm,0.2,center_moisture,kg/kg,2.5499924041350215,2.549993733776639,2.549991154746828,1e-05,-2.528468130790279e-06,-2.4497880686258423e-06,-2.6071481929547157e-06,False,response_below_global_budget,False,False
hm,0.2,surface_moisture,kg/kg,1.5102346045601185,1.6636323817831558,1.3759475804381447,1e-05,-0.4762253501481714,-0.44458994555050324,-0.5078607547458395,True,resolved,True,True
hm,0.2,mean_loss,kg/kg,0.25644280176737544,0.21886294601294987,0.28909665704885557,1e-05,0.68469177680035,0.6366693675243243,0.7327141860763756,True,resolved,True,True
D_prefactor,0.1,center_rise_K,K,5.5753448259751295,5.575344825973289,5.575344825976835,0.001,3.1797210415794976e-12,3.058649498914146e-12,3.3007925842448488e-12,False,response_below_global_budget,False,False
D_prefactor,0.1,surface_rise_K,K,8.785560346667687,8.785560346666657,8.78556034666866,0.001,1.1403544200817459e-12,1.1080039400794268e-12,1.1727049000840649e-12,False,response_below_global_budget,False,False
D_prefactor,0.1,center_moisture,kg/kg,2.5499924041350215,2.549997814066592,2.549978970164989,1e-05,-3.694893673518239e-05,-5.2682392349916805e-05,-2.121548112044797e-05,False,response_below_global_budget,False,False
D_prefactor,0.1,surface_moisture,kg/kg,1.5102346045601185,1.475193447451507,1.5413164894071514,1e-05,0.218916457601976,0.20580832112561753,0.23202459407833448,True,resolved,True,True
D_prefactor,0.1,mean_loss,kg/kg,0.25644280176737544,0.2523330060862077,0.2600610593667705,1e-05,0.1506779138915563,0.14109413773591675,0.16026169004719582,True,resolved,True,True
D_prefactor,0.2,center_rise_K,K,5.5753448259751295,5.575344825971257,5.575344825978398,0.001,3.2020236941757464e-12,2.931205769792723e-12,3.4728416185587697e-12,False,response_below_global_budget,False,False
D_prefactor,0.2,surface_rise_K,K,8.785560346667687,8.785560346665541,8.785560346669548,0.001,1.1403544200817459e-12,1.0594782200759483e-12,1.2212306200875436e-12,False,response_below_global_budget,False,False
D_prefactor,0.2,center_moisture,kg/kg,2.5499924041350215,2.549999539745309,2.549950899005584,1e-05,-4.76871417793306e-05,-8.138284916073279e-05,-1.3991434397928405e-05,True,resolved,False,True
D_prefactor,0.2,surface_moisture,kg/kg,1.5102346045601185,1.4352254334725578,1.56915494504069,1e-05,0.2217031565223959,0.19507015765187405,0.24833615539291776,True,resolved,True,True
D_prefactor,0.2,mean_loss,kg/kg,0.25644280176737544,0.24760394140072206,0.2632809072548512,1e-05,0.1528310187114361,0.13332613433382215,0.17233590308905006,True,resolved,True,True
