case,parameter,relative_change,center_rise_K,surface_rise_K,center_moisture,surface_moisture,mean_loss,center_rise_K_difference,surface_rise_K_difference,center_moisture_difference,surface_moisture_difference,mean_loss_difference
baseline,baseline,0.0,5.5753448259751295,8.785560346667687,2.5499924041350215,1.5102346045601185,0.25644280176737544,0.0,0.0,0.0,0.0,0.0
h_minus20,h,-0.2,4.98456551070872,7.975879187630952,2.549992404135013,1.5102346045631179,0.2564428017668563,-0.5907793152664098,-0.8096811590367352,-8.43769498715119e-15,2.999378523327323e-12,-5.191402863147232e-13
h_minus10,h,-0.1,5.297469758381709,8.408797381552183,2.549992404135018,1.5102346045615143,0.25644280176713297,-0.2778750675934205,-0.37676296511550333,-3.552713678800501e-15,1.3957723865587468e-12,-2.424727085781342e-13
h_plus10,h,0.1,5.823373820159958,9.115621364818061,2.549992404135025,1.5102346045590052,0.2564428017675673,0.24802899418482838,0.33006101815037425,3.552713678800501e-15,-1.113331649094107e-12,1.9184653865522705e-13
h_plus20,h,0.2,6.045817623000495,9.406547414316748,2.549992404135028,1.5102346045579784,0.25644280176774403,0.4704727970253657,0.620987067649061,6.661338147750939e-15,-2.1400659022674517e-12,3.6859404417555197e-13
hm_minus20,hm,-0.2,5.575344825998307,8.78556034669036,2.549993733776639,1.6636323817831558,0.21886294601294987,2.3177904040494468e-11,2.2673418698104797e-11,1.3296416176977743e-06,0.15339777722303727,-0.03757985575442557
hm_minus10,hm,-0.1,5.575344825986036,8.785560346678686,2.549993058520854,1.5843453441073583,0.23831693389525688,1.0906830993917538e-11,1.0999201549566351e-11,6.543858326324425e-07,0.07411073954723979,-0.018125867872118562
hm_plus10,hm,0.1,5.575344825965338,8.78556034665732,2.5499917698027987,1.4408920530081646,0.27333924661368325,-9.79127889877418e-12,-1.0366818514739862e-11,-6.343322227486681e-07,-0.0693425515519539,0.016896444846307812
hm_plus20,hm,0.2,5.575344825957103,8.785560346647884,2.549991154746828,1.3759475804381447,0.28909665704885557,-1.8026469206233742e-11,-1.9802826045633992e-11,-1.2493881933473006e-06,-0.1342870241219738,0.032653855281480126
D_prefactor_minus20,D_prefactor,-0.2,5.575344825971257,8.785560346665541,2.549999539745309,1.4352254334725578,0.24760394140072206,-3.872457909892546e-12,-2.1458390619955026e-12,7.135610287534178e-06,-0.07500917108756067,-0.008838860366653378
D_prefactor_minus10,D_prefactor,-0.1,5.575344825973289,8.785560346666657,2.549997814066592,1.475193447451507,0.2523330060862077,-1.8403056856186595e-12,-1.0302869668521453e-12,5.409931570721227e-06,-0.035041157108611554,-0.0041097956811677605
D_prefactor_plus10,D_prefactor,0.1,5.575344825976835,8.78556034666866,2.549978970164989,1.5413164894071514,0.2600610593667705,1.7053025658242404e-12,9.734435479913373e-13,-1.3433970032394882e-05,0.031081884847032892,0.003618257599395047
D_prefactor_plus20,D_prefactor,0.2,5.575344825978398,8.785560346669548,2.549950899005584,1.56915494504069,0.2632809072548512,3.268496584496461e-12,1.8616219676914625e-12,-4.1505129437346966e-05,0.0589203404805716,0.006838105487475765
