case,field,max_abs,time_s,radius_cm,early_surface_max,mean_max_abs
baseline,T,0.0,1.0,0.0,0.0,0.0
baseline,C,0.0,1.0,0.0,0.0,0.0
h_minus20,T,0.8096811590367352,1800.0,2.0,0.01426059787469569,0.7021773576272494
h_minus20,C,3.54791751533412e-11,75.0,2.0,1.7763568394002505e-15,5.537792446830281e-13
h_minus10,T,0.37676296511550333,1800.0,2.0,0.00703064116078167,0.32829298776076143
h_minus10,C,1.6340262476433054e-11,104.0,2.0,1.7763568394002505e-15,2.6201263381153694e-13
h_plus10,T,0.33006101815037425,1800.0,2.0,0.006838763229321643,0.28998400282787173
h_plus10,C,1.59512403286044e-11,114.0,2.0,2.220446049250313e-15,2.0650148258027912e-13
h_plus20,T,0.620987067649061,1800.0,2.0,0.01349274668569933,0.5475524148166571
h_plus20,C,2.977840196649595e-11,112.0,2.0,2.6645352591003757e-15,3.9834802123550617e-13
hm_minus20,T,1.0820038198744442e-09,489.0,2.0,1.850963826655061e-12,4.1950443119276315e-11
hm_minus20,C,0.15339777722303727,1800.0,2.0,0.0451514484989084,0.03757985575442557
hm_minus10,T,1.0718181897573231e-09,489.0,2.0,8.562039965909207e-13,2.1387336346379016e-11
hm_minus10,C,0.07411073954723979,1800.0,2.0,0.022425792179524784,0.018125867872118562
hm_plus10,T,5.515943257705658e-11,63.0,1.9,1.0906830993917538e-12,1.70210512351332e-11
hm_plus10,C,0.0693425515519539,1800.0,2.0,0.022130802194133548,0.016896444846307812
hm_plus20,T,2.722799763432704e-10,841.0,2.0,1.4246381851990009e-12,3.2169822361538536e-11
hm_plus20,C,0.1342870241219738,1800.0,2.0,0.04397139519974402,0.032653855281480126
D_prefactor_minus20,T,3.05035996461811e-11,63.0,1.9,4.405364961712621e-13,7.688072400924284e-12
D_prefactor_minus20,C,0.07500917108756067,1800.0,2.0,0.025767598575563877,0.008838860366653378
D_prefactor_minus10,T,1.468691834816127e-11,68.0,1.8000000000000003,2.1671553440683056e-13,3.666400516522117e-12
D_prefactor_minus10,C,0.035041157108611554,1800.0,2.0,0.011858067867478006,0.0041097956811677605
D_prefactor_plus10,T,1.212541178574611e-11,63.0,1.9,2.1316282072803006e-13,3.3573144264664734e-12
D_prefactor_plus10,C,0.031081884847032892,1800.0,2.0,0.010269167176045535,0.003618257599395047
D_prefactor_plus20,T,2.2783552822147612e-11,63.0,1.9,6.643574579356937e-13,6.483702463810914e-12
D_prefactor_plus20,C,0.0589203404805716,1800.0,2.0,0.01927752441768682,0.006838105487475765
