case,kind,fine_N,field,max_abs,time_s,radius_cm,early_surface_max,mean_max_abs
h_minus20,space,10240,T,2.0692457525228747e-08,300.0,2.0,1.0824461327274548e-08,1.832398766055121e-08
h_minus20,space,10240,C,4.564132786377684e-06,1.0,2.0,4.564132786377684e-06,1.6152783555156702e-08
h_minus20,space,20480,T,5.174346284775311e-09,300.0,2.0,2.7061162199970568e-09,4.5802721615473274e-09
h_minus20,space,20480,C,1.1406939286473516e-06,1.0,2.0,1.1406939286473516e-06,4.038200884792786e-09
h_minus20,time,20480,T,2.478309113485011e-09,1088.0,2.0,6.970424237806583e-12,4.832720890135533e-10
h_minus20,time,20480,C,5.205480491099479e-10,1.0,2.0,5.205480491099479e-10,4.976907774789652e-12
h_plus20,space,10240,T,2.3608837551591932e-08,300.0,2.0,1.3971774848187124e-08,2.341081994927663e-08
h_plus20,space,10240,C,4.564132787709951e-06,1.0,2.0,4.564132787709951e-06,1.615279376920853e-08
h_plus20,space,20480,T,5.906251487886038e-09,300.0,2.0,3.49294637658204e-09,5.851674700352305e-09
h_plus20,space,20480,C,1.1406939286473516e-06,1.0,2.0,1.1406939286473516e-06,4.0382093224877735e-09
h_plus20,time,20480,T,2.634557461078657e-09,1328.0,2.0,1.0455636356709874e-11,4.1947956219701155e-10
h_plus20,time,20480,C,5.205480491099479e-10,1.0,2.0,5.205480491099479e-10,4.168665412862538e-12
hm_minus20,space,10240,T,2.2482687711544713e-08,300.0,2.0,1.254166548392277e-08,2.1283931062043848e-08
hm_minus20,space,10240,C,3.6744954567957677e-06,1.0,2.0,3.6744954567957677e-06,1.1839957458903427e-08
hm_minus20,space,20480,T,5.624869459097681e-09,300.0,2.0,3.135411930088594e-09,5.320138996012247e-09
hm_minus20,space,20480,C,9.183683045144164e-07,1.0,2.0,9.183683045144164e-07,2.9599935835733504e-09
hm_minus20,time,20480,T,2.492932082986954e-09,1569.0,2.0,1.0221157253909041e-11,4.834781464069238e-10
hm_minus20,time,20480,C,4.5541836968254756e-10,2.0,2.0,4.5541836968254756e-10,3.5007552412480436e-12
hm_plus20,space,10240,T,2.2482897321651762e-08,300.0,2.0,1.254166548392277e-08,2.1285153195549356e-08
hm_plus20,space,10240,C,5.442455845106053e-06,1.0,2.0,5.442455845106053e-06,2.0227629793367896e-08
hm_plus20,space,20480,T,5.625178545187737e-09,300.0,2.0,3.1354190355159517e-09,5.3201105743028165e-09
hm_plus20,space,20480,C,1.360252788185079e-06,1.0,2.0,1.360252788185079e-06,5.056917107282288e-09
hm_plus20,time,20480,T,2.468624415996601e-09,1569.0,2.0,7.66320340517268e-12,4.225277905334224e-10
hm_plus20,time,20480,C,5.303588679339555e-10,1.0,2.0,5.303588679339555e-10,5.4147797357018135e-12
hm_plus20,Radau,20480,T,3.4138025739594013e-10,1082.0,2.0,9.450218385609332e-13,4.193623226456111e-11
hm_plus20,Radau,20480,C,1.0361267399616736e-10,1.0,2.0,1.0361267399616736e-10,5.413447468072263e-13
D_prefactor_minus20,space,10240,T,2.248287955808337e-08,300.0,2.0,1.254166548392277e-08,2.128516740640407e-08
D_prefactor_minus20,space,10240,C,6.355528712642666e-06,1.0,2.0,6.355528712642666e-06,2.088851891457466e-08
D_prefactor_minus20,space,20480,T,5.6250755164910515e-09,300.0,2.0,3.135415482802273e-09,5.320124785157532e-09
D_prefactor_minus20,space,20480,C,1.5883049111486969e-06,1.0,2.0,1.5883049111486969e-06,5.222140053717794e-09
D_prefactor_minus20,time,20480,T,2.476276961260737e-09,1569.0,2.0,8.359535286217579e-12,4.4205705762578873e-10
D_prefactor_minus20,time,20480,C,5.33452393369771e-10,1.0,2.0,5.33452393369771e-10,4.5350390109888394e-12
D_prefactor_minus20,Radau,20480,T,3.4207658927698503e-10,1082.0,2.0,1.0764722446765518e-12,4.391509378365299e-11
D_prefactor_minus20,Radau,20480,C,1.077919975500663e-10,1.0,2.0,1.077919975500663e-10,4.53859172466764e-13
D_prefactor_plus20,space,10240,T,2.2482826267378186e-08,300.0,2.0,1.254166548392277e-08,2.1284655815634324e-08
D_prefactor_plus20,space,10240,C,3.4814182572340258e-06,1.0,2.0,3.4814182572340258e-06,1.3000932774787088e-08
D_prefactor_plus20,space,20480,T,5.625015120358512e-09,300.0,2.0,3.135415482802273e-09,5.3201105743028165e-09
D_prefactor_plus20,space,20480,C,8.701371450037243e-07,1.0,2.0,8.701371450037243e-07,3.2502414093471543e-09
D_prefactor_plus20,time,20480,T,2.4806539045130194e-09,1569.0,2.0,9.102052445086883e-12,4.525730901150382e-10
D_prefactor_plus20,time,20480,C,4.586575563791939e-10,1.0,2.0,4.586575563791939e-10,4.454658864005978e-12
