case,parameter,relative_change,center_rise_K_relative_pct,surface_rise_K_relative_pct,center_moisture_relative_pct,surface_moisture_relative_pct,mean_loss_relative_pct
h_minus20,h,-0.2,-10.596282987090083,-9.216044590073787,-3.3089098514445677e-13,1.986034828145752e-10,-2.0243901670737713e-10
h_minus10,h,-0.1,-4.983997873975805,-4.2884340924071775,-1.393225200608239e-13,9.24208982064273e-11,-9.455235510883484e-11
h_plus10,h,0.1,4.448675408008473,3.7568579023598025,1.393225200608239e-13,-7.371911925024283e-11,7.481065459160558e-11
h_plus20,h,0.2,8.43845200091422,7.068269332241259,2.6122972511404483e-13,-1.4170420249976872e-10,1.437334335903533e-10
hm_minus20,hm,-0.2,4.1572144439408096e-10,2.580759542185001e-10,5.214296385909431e-05,10.157215094916792,-14.654283721527515
hm_minus10,hm,-0.1,1.956261242013839e-10,1.2519635760897466e-10,2.566226595700059e-05,4.907233573079582,-7.068191326563696
hm_plus10,hm,0.1,-1.7561745872932052e-10,-1.1799837580845868e-10,-2.487584754056704e-05,-4.59150858698216,6.58877719704331
hm_plus20,hm,0.2,-3.2332474078104947e-10,-2.2540196941615786e-10,-4.8995761372516846e-05,-8.891798911010067,12.733387350486488
D_prefactor_minus20,D_prefactor,-0.2,-6.94568323711754e-11,-2.442461240175087e-11,0.0002798286879585681,-4.966723107858356,-3.4467180617810014
D_prefactor_minus10,D_prefactor,-0.1,-3.300792584244849e-11,-1.172704900084065e-11,0.00021215481120447966,-2.3202459407833453,-1.6026169004719584
D_prefactor_plus10,D_prefactor,0.1,3.058649498914146e-11,1.1080039400794268e-11,-0.000526823923499168,2.0580832112561755,1.4109413773591677
D_prefactor_plus20,D_prefactor,0.2,5.862411539585446e-11,2.1189564401518966e-11,-0.0016276569832146559,3.901403153037481,2.6665226866764433
