time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
1.148002754191807534e-06,1.148002754191807534e-06,2.800000000000000000e+01,2.800000000000009237e+01,2.549997625032355941e+00,2.550000000000061107e+00,2.800000000000009237e+01,2.549997625032355941e+00,2.800000000000000000e+01,2.549999999767610603e+00
2.296005508383615069e-06,1.148002754191807534e-06,2.800000000000000000e+01,2.800000000000029488e+01,2.549995255554116991e+00,2.550000000000066436e+00,2.800000000000029488e+01,2.549995255554116991e+00,2.800000000000000000e+01,2.549999999535220940e+00
4.619407726291762669e-06,2.323402217908147600e-06,2.800000000000000000e+01,2.800000000000103739e+01,2.549990475012980706e+00,2.549999999999999822e+00,2.800000000000103739e+01,2.549990475012980706e+00,2.800000000000000000e+01,2.549999999064897160e+00
6.942809944199910269e-06,2.323402217908147600e-06,2.800000000000000000e+01,2.800000000000215650e+01,2.549985716209616449e+00,2.549999999999999822e+00,2.800000000000215650e+01,2.549985716209616449e+00,2.800000000000000000e+01,2.549999998594574269e+00
9.266212162108057869e-06,2.323402217908147600e-06,2.800000000000000000e+01,2.800000000000362022e+01,2.549980979774947532e+00,2.549999999999999822e+00,2.800000000000362022e+01,2.549980979774947532e+00,2.800000000000000000e+01,2.549999998124251377e+00
1.521235599848497981e-05,5.946143836376921937e-06,2.800000000000000000e+01,2.800000000000859046e+01,2.549968959956811609e+00,2.549999999999999822e+00,2.800000000000859046e+01,2.549968959956811609e+00,2.800000000000000711e+01,2.549999996920587986e+00
2.115849983486190174e-05,5.946143836376921937e-06,2.800000000000000000e+01,2.800000000001508837e+01,2.549957084855650535e+00,2.549999999999999822e+00,2.800000000001508837e+01,2.549957084855650535e+00,2.800000000000000711e+01,2.549999995716930368e+00
2.710464367123882368e-05,5.946143836376921937e-06,2.800000000000000000e+01,2.800000000002281197e+01,2.549945352023881284e+00,2.549999999999999822e+00,2.800000000002281197e+01,2.549945352023881284e+00,2.800000000000000711e+01,2.549999994513277635e+00
3.973642479922273520e-05,1.263178112798391152e-05,2.800000000000000000e+01,2.800000000004261835e+01,2.549920888031422805e+00,2.549999999999999822e+00,2.800000000004261835e+01,2.549920888031422805e+00,2.800000000000001066e+01,2.549999991956299450e+00
5.236820592720664672e-05,1.263178112798391152e-05,2.800000000000000000e+01,2.800000000006611245e+01,2.549897030863617964e+00,2.549999999999999822e+00,2.800000000006611245e+01,2.549897030863617964e+00,2.800000000000001776e+01,2.549999989399344802e+00
6.499998705519055824e-05,1.263178112798391152e-05,2.800000000000000000e+01,2.800000000009278978e+01,2.549873757148637843e+00,2.549999999999999822e+00,2.800000000009278978e+01,2.549873757148637843e+00,2.800000000000002487e+01,2.549999986842414135e+00
7.763176818317447654e-05,1.263178112798391830e-05,2.800000000000000000e+01,2.800000000012236256e+01,2.549851044692583280e+00,2.549999999999999822e+00,2.800000000012236256e+01,2.549851044692583280e+00,2.800000000000002842e+01,2.549999984285507004e+00
1.004406578138587844e-04,2.280888963068430789e-05,2.800000000000000000e+01,2.800000000018233592e+01,2.549811388856772609e+00,2.549999999999999822e+00,2.800000000018233592e+01,2.549811388856772609e+00,2.800000000000005684e+01,2.549999979668620576e+00
1.232495474445430923e-04,2.280888963068430789e-05,2.800000000000000000e+01,2.800000000024979840e+01,2.549773378257081280e+00,2.549999999999999822e+00,2.800000000024979840e+01,2.549773378257081280e+00,2.800000000000007816e+01,2.549999975051805201e+00
1.460584370752274002e-04,2.280888963068430789e-05,2.800000000000000000e+01,2.800000000032394709e+01,2.549736904442842178e+00,2.549999999999999822e+00,2.800000000032394709e+01,2.549736904442842178e+00,2.800000000000011013e+01,2.549999970435057772e+00
1.688673267059117081e-04,2.280888963068430789e-05,2.800000000000000000e+01,2.800000000040425618e+01,2.549701867345948170e+00,2.549999999999999822e+00,2.800000000040425618e+01,2.549701867345948170e+00,2.800000000000014566e+01,2.549999965818376069e+00
2.074615926327657352e-04,3.859426592685402712e-05,2.800000000000000000e+01,2.800000000055295857e+01,2.549645596880212306e+00,2.549999999999999822e+00,2.800000000055295857e+01,2.549645596880212306e+00,2.800000000000022737e+01,2.549999958006762490e+00
2.460558585596197894e-04,3.859426592685405422e-05,2.800000000000000000e+01,2.800000000071650064e+01,2.549592771331897989e+00,2.549999999999999822e+00,2.800000000071650064e+01,2.549592771331897989e+00,2.800000000000031619e+01,2.549999950195317222e+00
2.846501244864738708e-04,3.859426592685408133e-05,2.800000000000000000e+01,2.800000000089361762e+01,2.549543034399101682e+00,2.549999999999999822e+00,2.800000000089361762e+01,2.549543034399101682e+00,2.800000000000042277e+01,2.549999942384030049e+00
3.232443904133279521e-04,3.859426592685408133e-05,2.800000000000000000e+01,2.800000000108331122e+01,2.549496071552300958e+00,2.549999999999999822e+00,2.800000000108331122e+01,2.549496071552300958e+00,2.800000000000054357e+01,2.549999934572892535e+00
3.618386563401820334e-04,3.859426592685408133e-05,2.800000000000000000e+01,2.800000000128478916e+01,2.549451604920005998e+00,2.549999999999999822e+00,2.800000000128478916e+01,2.549451604920005998e+00,2.800000000000068212e+01,2.549999926761896241e+00
4.060639108504693947e-04,4.422525451028736128e-05,2.800000000000000000e+01,2.800000000152932245e+01,2.549403404945882912e+00,2.549999999999999822e+00,2.800000000152932245e+01,2.549403404945882912e+00,2.800000000000085265e+01,2.549999917811421657e+00
4.502891653607567560e-04,4.422525451028736128e-05,2.800000000000000000e+01,2.800000000178766157e+01,2.549357838362198869e+00,2.549999999999999822e+00,2.800000000178766157e+01,2.549357838362198869e+00,2.800000000000104450e+01,2.549999908861113163e+00
4.945144198710441173e-04,4.422525451028736128e-05,2.800000000000000000e+01,2.800000000205909956e+01,2.549314623653672562e+00,2.549999999999999822e+00,2.800000000205909956e+01,2.549314623653672562e+00,2.800000000000126477e+01,2.549999899910961432e+00
5.387396743813314785e-04,4.422525451028736128e-05,2.800000000000000000e+01,2.800000000234302888e+01,2.549273515503908794e+00,2.549999999999999822e+00,2.800000000234302888e+01,2.549273515503908794e+00,2.800000000000149214e+01,2.549999890960959359e+00
5.829649288916188398e-04,4.422525451028736128e-05,2.800000000000000000e+01,2.800000000263892730e+01,2.549234299858909480e+00,2.549999999999999822e+00,2.800000000263892730e+01,2.549234299858909480e+00,2.800000000000175149e+01,2.549999882011098951e+00
6.271901834019062011e-04,4.422525451028736128e-05,2.800000000000000000e+01,2.800000000294631164e+01,2.549196789552629738e+00,2.549999999999999822e+00,2.800000000294631164e+01,2.549196789552629738e+00,2.800000000000202860e+01,2.549999873061374434e+00
6.902119532511304112e-04,6.302176984922421010e-05,2.800000000000000000e+01,2.800000000340341799e+01,2.549145964127022879e+00,2.549999999999999822e+00,2.800000000340341799e+01,2.549145964127022879e+00,2.800000000000245848e+01,2.549999860308081789e+00
7.532337231003546213e-04,6.302176984922421010e-05,2.800000000000000000e+01,2.800000000388197918e+01,2.549097865403197716e+00,2.549999999999999822e+00,2.800000000388197918e+01,2.549097865403197716e+00,2.800000000000292388e+01,2.549999847555038279e+00
8.162554929495788314e-04,6.302176984922421010e-05,2.800000000000000000e+01,2.800000000438107151e+01,2.549052153482554317e+00,2.549999999999999822e+00,2.800000000438107151e+01,2.549052153482554317e+00,2.800000000000343547e+01,2.549999834802230581e+00
8.792772627988030415e-04,6.302176984922421010e-05,2.800000000000000000e+01,2.800000000489987784e+01,2.549008543517250036e+00,2.549999999999999822e+00,2.800000000489987784e+01,2.549008543517250036e+00,2.800000000000398259e+01,2.549999822049648923e+00
9.422990326480272516e-04,6.302176984922421010e-05,2.800000000000000000e+01,2.800000000543768053e+01,2.548966795851305811e+00,2.549999999999999822e+00,2.800000000543768053e+01,2.548966795851305811e+00,2.800000000000457945e+01,2.549999809297282205e+00
