time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.454345873868889625e-17,2.607811752988138754e-14,7.177427277417188767e-20,5.002388376031446705e-21
2.000000000000000000e+00,2.566433948896382561e-16,4.904187172750028357e-14,1.667454485568286535e-19,8.116480093878140102e-21
3.000000000000000000e+00,5.838829137698593777e-16,7.181073040530770228e-14,2.246072658770658406e-19,1.226860238434039847e-20
4.000000000000000000e+00,1.013145573176321135e-15,9.301497307063183528e-14,3.378561404448393736e-19,1.745875524741822029e-20
5.000000000000000000e+00,1.560617238238528236e-15,1.139566346228014577e-13,4.221966862801649731e-19,1.966457021422629509e-20
6.000000000000000000e+00,2.188701407730019997e-15,1.336899670812175049e-13,5.068804470160841741e-19,2.381669250468855195e-20
7.000000000000000000e+00,2.939199316020468337e-15,1.536547224811880897e-13,5.511973183909679390e-19,3.004487594038193574e-20
8.000000000000000000e+00,3.815893651290857967e-15,1.738755498110627071e-13,6.297152535442945362e-19,3.212093708561306567e-20
9.000000000000000000e+00,4.834339894528654425e-15,1.944873907175159616e-13,7.062100271783329662e-19,4.457730395699983926e-20
1.000000000000000000e+01,5.939522702428752283e-15,2.144524104498012865e-13,7.771584179122098659e-19,5.080548739269322304e-20
1.100000000000000000e+01,6.961489436977266001e-15,2.311171090664048094e-13,8.322654840566304587e-19,6.533791540931112054e-20
1.200000000000000000e+01,7.829732139797885095e-15,2.440540612143924767e-13,9.259089600922544761e-19,6.741397655454225048e-20
1.300000000000000000e+01,8.463948036097546284e-15,2.527361882581734454e-13,9.736941083573464453e-19,6.741397655454225048e-20
1.400000000000000000e+01,8.940171151623565743e-15,2.587439331075760994e-13,1.047684015348456728e-18,7.156609884500451035e-20
1.500000000000000000e+01,9.307761963847458486e-15,2.630431660406590331e-13,1.110305681421661859e-18,7.779428228069790015e-20
1.600000000000000000e+01,9.594197478121163712e-15,2.661908352445786946e-13,1.225914911095271748e-18,8.817458800685354982e-20
1.700000000000000000e+01,9.822587818588900333e-15,2.685439215103910411e-13,1.251348941623465823e-18,9.647883258777805752e-20
1.800000000000000000e+01,1.000867093072680045e-14,2.703329226165489314e-13,1.378519094264436585e-18,9.959292430562474640e-20
1.900000000000000000e+01,1.016109471130857780e-14,2.717140589610635856e-13,1.430543247617560996e-18,1.006309548782403054e-19
2.000000000000000000e+01,1.028910811660001661e-14,2.727978214514961114e-13,1.509735569943983681e-18,1.068591383139337072e-19
2.100000000000000000e+01,1.039293194396555278e-14,2.736574301390294396e-13,1.581798656440533658e-18,1.120492911770115260e-19
2.200000000000000000e+01,1.048245300872378558e-14,2.743460158189262033e-13,1.635749630288218183e-18,1.224295969031671636e-19
2.300000000000000000e+01,1.055612572932366832e-14,2.749045499999710923e-13,1.677754317069630004e-18,1.317718720567072423e-19
2.400000000000000000e+01,1.062157988135846359e-14,2.753626379014148962e-13,1.735173567807522926e-18,1.400761166376317621e-19
2.500000000000000000e+01,1.067857013442324117e-14,2.757374611237156960e-13,1.789124541655207258e-18,1.442282389280940219e-19
2.600000000000000000e+01,1.072658129466765430e-14,2.760522809105706203e-13,1.826890223348586252e-18,1.514944529364029586e-19
2.700000000000000000e+01,1.076696267931880642e-14,2.763150272314218214e-13,1.889319207372335468e-18,1.577226363720963364e-19
2.800000000000000000e+01,1.080552861897349054e-14,2.765368020434883833e-13,1.923231248076594621e-18,1.629127892351741552e-19
