time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
1.659706542926616755e-07,1.659706542926616755e-07,2.800000000000000000e+01,2.800000000000000355e+01,2.549999312714198663e+00,2.550000000000014033e+00,2.800000000000000355e+01,2.549999312714198663e+00,2.800000000000000000e+01,2.549999999966403141e+00
3.319413085853233510e-07,1.659706542926616755e-07,2.800000000000000000e+01,2.800000000000001066e+01,2.549998626348257247e+00,2.550000000000033129e+00,2.800000000000001066e+01,2.549998626348257247e+00,2.800000000000000000e+01,2.549999999932805128e+00
7.116630914193208520e-07,3.797217828339975010e-07,2.800000000000000000e+01,2.800000000000005329e+01,2.549997059147260270e+00,2.550000000000043343e+00,2.800000000000005329e+01,2.549997059147260270e+00,2.800000000000000000e+01,2.549999999855938615e+00
1.091384874253318353e-06,3.797217828339975010e-07,2.800000000000000000e+01,2.800000000000011724e+01,2.549995496643577830e+00,2.550000000000026468e+00,2.800000000000011724e+01,2.549995496643577830e+00,2.800000000000000000e+01,2.549999999779071658e+00
1.471106657087315854e-06,3.797217828339975010e-07,2.800000000000000000e+01,2.800000000000019895e+01,2.549993938965356755e+00,2.550000000000000711e+00,2.800000000000019895e+01,2.549993938965356755e+00,2.800000000000000000e+01,2.549999999702205145e+00
2.331147019560092912e-06,8.600403624727770578e-07,2.800000000000000000e+01,2.800000000000045119e+01,2.549990428853010194e+00,2.549999999999999822e+00,2.800000000000045119e+01,2.549990428853010194e+00,2.800000000000000000e+01,2.549999999528107519e+00
3.191187382032870181e-06,8.600403624727772696e-07,2.800000000000000000e+01,2.800000000000078870e+01,2.549986943407359430e+00,2.549999999999999822e+00,2.800000000000078870e+01,2.549986943407359430e+00,2.800000000000000000e+01,2.549999999354010782e+00
4.051227744505647451e-06,8.600403624727772696e-07,2.800000000000000000e+01,2.800000000000119371e+01,2.549983482389038603e+00,2.549999999999999822e+00,2.800000000000119371e+01,2.549983482389038603e+00,2.800000000000000000e+01,2.549999999179914045e+00
5.933147612797435270e-06,1.881919868291787819e-06,2.800000000000000000e+01,2.800000000000229150e+01,2.549975993057816748e+00,2.549999999999999822e+00,2.800000000000229150e+01,2.549975993057816748e+00,2.800000000000000000e+01,2.549999998798960998e+00
7.815067481089223937e-06,1.881919868291788666e-06,2.800000000000000000e+01,2.800000000000361666e+01,2.549968616833684365e+00,2.549999999999999822e+00,2.800000000000361666e+01,2.549968616833684365e+00,2.800000000000000000e+01,2.549999998418009284e+00
9.696987349381012603e-06,1.881919868291788666e-06,2.800000000000000000e+01,2.800000000000512301e+01,2.549961351086817096e+00,2.549999999999999822e+00,2.800000000000512301e+01,2.549961351086817096e+00,2.800000000000000000e+01,2.549999998037057569e+00
1.157890721767280127e-05,1.881919868291788666e-06,2.800000000000000000e+01,2.800000000000679634e+01,2.549954193272716996e+00,2.549999999999999822e+00,2.800000000000679634e+01,2.549954193272716996e+00,2.800000000000000000e+01,2.549999997656108075e+00
1.559745026166111265e-05,4.018543043988311383e-06,2.800000000000000000e+01,2.800000000001087841e+01,2.549939259061241970e+00,2.549999999999999822e+00,2.800000000001087841e+01,2.549939259061241970e+00,2.800000000000000000e+01,2.549999996842652994e+00
1.961599330564942404e-05,4.018543043988311383e-06,2.800000000000000000e+01,2.800000000001555733e+01,2.549924782912744270e+00,2.549999999999999822e+00,2.800000000001555733e+01,2.549924782912744270e+00,2.800000000000000000e+01,2.549999996029202798e+00
2.363453634963773542e-05,4.018543043988311383e-06,2.800000000000000000e+01,2.800000000002075851e+01,2.549910743010067815e+00,2.549999999999999822e+00,2.800000000002075851e+01,2.549910743010067815e+00,2.800000000000000000e+01,2.549999995215757487e+00
2.765307939362604680e-05,4.018543043988311383e-06,2.800000000000000000e+01,2.800000000002643930e+01,2.549897118749872682e+00,2.549999999999999822e+00,2.800000000002643930e+01,2.549897118749872682e+00,2.800000000000000711e+01,2.549999994402315728e+00
3.528140286184405983e-05,7.628323468218013031e-06,2.800000000000000000e+01,2.800000000003840839e+01,2.549872330376638185e+00,2.549999999999999822e+00,2.800000000003840839e+01,2.549872330376638185e+00,2.800000000000001066e+01,2.549999992858188236e+00
4.290972633006207286e-05,7.628323468218013031e-06,2.800000000000000000e+01,2.800000000005179146e+01,2.549848846734359853e+00,2.549999999999999822e+00,2.800000000005179146e+01,2.549848846734359853e+00,2.800000000000001066e+01,2.549999991314074510e+00
5.053804979828008590e-05,7.628323468218013031e-06,2.800000000000000000e+01,2.800000000006644996e+01,2.549826556555011337e+00,2.549999999999999822e+00,2.800000000006644996e+01,2.549826556555011337e+00,2.800000000000001776e+01,2.549999989769974995e+00
5.816637326649809893e-05,7.628323468218013031e-06,2.800000000000000000e+01,2.800000000008228085e+01,2.549805359228557222e+00,2.549999999999999822e+00,2.800000000008228085e+01,2.549805359228557222e+00,2.800000000000001776e+01,2.549999988225888803e+00
6.579469673471610518e-05,7.628323468218006255e-06,2.800000000000000000e+01,2.800000000009919532e+01,2.549785163742188665e+00,2.549999999999999822e+00,2.800000000009919532e+01,2.549785163742188665e+00,2.800000000000002842e+01,2.549999986681815933e+00
7.418725206011385614e-05,8.392555325397750956e-06,2.800000000000000000e+01,2.800000000011897683e+01,2.549764004455625344e+00,2.549999999999999822e+00,2.800000000011897683e+01,2.549764004455625344e+00,2.800000000000002842e+01,2.549999984983065460e+00
8.257980738551160709e-05,8.392555325397750956e-06,2.800000000000000000e+01,2.800000000013993784e+01,2.549743859718756056e+00,2.549999999999999822e+00,2.800000000013993784e+01,2.549743859718756056e+00,2.800000000000003908e+01,2.549999983284329197e+00
9.097236271090935805e-05,8.392555325397750956e-06,2.800000000000000000e+01,2.800000000016199309e+01,2.549724641004911252e+00,2.549999999999999822e+00,2.800000000016199309e+01,2.549724641004911252e+00,2.800000000000003908e+01,2.549999981585606257e+00
9.936491803630710900e-05,8.392555325397750956e-06,2.800000000000000000e+01,2.800000000018509994e+01,2.549706268849049717e+00,2.549999999999999822e+00,2.800000000018509994e+01,2.549706268849049717e+00,2.800000000000005684e+01,2.549999979886895307e+00
1.077574733617048600e-04,8.392555325397750956e-06,2.800000000000000000e+01,2.800000000020920865e+01,2.549688671876260138e+00,2.549999999999999822e+00,2.800000000020920865e+01,2.549688671876260138e+00,2.800000000000006040e+01,2.549999978188197236e+00
1.161500286871026109e-04,8.392555325397750956e-06,2.800000000000000000e+01,2.800000000023429081e+01,2.549671785908560473e+00,2.549999999999999822e+00,2.800000000023429081e+01,2.549671785908560473e+00,2.800000000000007461e+01,2.549999976489510267e+00
1.280931415418557861e-04,1.194311285475317523e-05,2.800000000000000000e+01,2.800000000027156943e+01,2.549648869558830189e+00,2.549999999999999822e+00,2.800000000027156943e+01,2.549648869558830189e+00,2.800000000000008882e+01,2.549999974072195474e+00
1.400362543966089614e-04,1.194311285475317523e-05,2.800000000000000000e+01,2.800000000031063863e+01,2.549627130003065290e+00,2.549999999999999822e+00,2.800000000031063863e+01,2.549627130003065290e+00,2.800000000000010658e+01,2.549999971654901998e+00
1.519793672513621366e-04,1.194311285475317523e-05,2.800000000000000000e+01,2.800000000035142378e+01,2.549606440068658664e+00,2.549999999999999822e+00,2.800000000035142378e+01,2.549606440068658664e+00,2.800000000000012434e+01,2.549999969237628061e+00
1.639224801061153118e-04,1.194311285475317523e-05,2.800000000000000000e+01,2.800000000039384318e+01,2.549586689604964818e+00,2.549999999999999822e+00,2.800000000039384318e+01,2.549586689604964818e+00,2.800000000000013856e+01,2.549999966820374109e+00
1.758655929608684870e-04,1.194311285475317523e-05,2.800000000000000000e+01,2.800000000043785064e+01,2.549567783007011368e+00,2.549999999999999822e+00,2.800000000043785064e+01,2.549567783007011368e+00,2.800000000000015987e+01,2.549999964403138364e+00
1.878087058156216623e-04,1.194311285475317523e-05,2.800000000000000000e+01,2.800000000048338578e+01,2.549549637066165442e+00,2.549999999999999822e+00,2.800000000048338578e+01,2.549549637066165442e+00,2.800000000000018474e+01,2.549999961985921271e+00
2.012987307531533920e-04,1.349002493753172975e-05,2.800000000000000000e+01,2.800000000053659122e+01,2.549529964909089674e+00,2.549999999999999822e+00,2.800000000053659122e+01,2.549529964909089674e+00,2.800000000000021672e+01,2.549999959255637272e+00
2.147887556906851218e-04,1.349002493753172975e-05,2.800000000000000000e+01,2.800000000059161920e+01,2.549511079966564786e+00,2.549999999999999822e+00,2.800000000059161920e+01,2.549511079966564786e+00,2.800000000000023803e+01,2.549999956525374589e+00
2.282787806282168515e-04,1.349002493753172975e-05,2.800000000000000000e+01,2.800000000064840222e+01,2.549492903817709433e+00,2.549999999999999822e+00,2.800000000064840222e+01,2.549492903817709433e+00,2.800000000000027356e+01,2.549999953795131891e+00
2.417688055657485813e-04,1.349002493753172975e-05,2.800000000000000000e+01,2.800000000070689765e+01,2.549475368593573599e+00,2.549999999999999822e+00,2.800000000070689765e+01,2.549475368593573599e+00,2.800000000000029843e+01,2.549999951064907844e+00
2.552588305032803110e-04,1.349002493753172975e-05,2.800000000000000000e+01,2.800000000076705575e+01,2.549458415348082596e+00,2.549999999999999822e+00,2.800000000076705575e+01,2.549458415348082596e+00,2.800000000000034461e+01,2.549999948334703337e+00
2.687488554408120137e-04,1.349002493753170264e-05,2.800000000000000000e+01,2.800000000082882678e+01,2.549441992680415936e+00,2.549999999999999822e+00,2.800000000082882678e+01,2.549441992680415936e+00,2.800000000000037303e+01,2.549999945604516149e+00
2.847708434803727321e-04,1.602198803956071844e-05,2.800000000000000000e+01,2.800000000090423669e+01,2.549423115203646173e+00,2.549999999999999822e+00,2.800000000090423669e+01,2.549423115203646173e+00,2.800000000000042277e+01,2.549999942361918848e+00
3.007928315199334506e-04,1.602198803956071844e-05,2.800000000000000000e+01,2.800000000098179953e+01,2.549404857496017751e+00,2.549999999999999822e+00,2.800000000098179953e+01,2.549404857496017751e+00,2.800000000000046896e+01,2.549999939119345527e+00
3.168148195594941690e-04,1.602198803956071844e-05,2.800000000000000000e+01,2.800000000106146203e+01,2.549387163119162469e+00,2.549999999999999822e+00,2.800000000106146203e+01,2.549387163119162469e+00,2.800000000000051514e+01,2.549999935876795298e+00
3.328368075990548874e-04,1.602198803956071844e-05,2.800000000000000000e+01,2.800000000114316734e+01,2.549369983222003810e+00,2.549999999999999822e+00,2.800000000114316734e+01,2.549369983222003810e+00,2.800000000000057554e+01,2.549999932634267275e+00
3.488587956386156059e-04,1.602198803956071844e-05,2.799999999999999645e+01,2.800000000122687638e+01,2.549353275304576893e+00,2.549999999999999822e+00,2.800000000122687638e+01,2.549353275304576893e+00,2.800000000000063238e+01,2.549999929391760567e+00
3.648807836781763243e-04,1.602198803956071844e-05,2.800000000000000000e+01,2.800000000131252165e+01,2.549337002187147760e+00,2.549999999999999822e+00,2.800000000131252165e+01,2.549337002187147760e+00,2.800000000000069278e+01,2.549999926149275620e+00
3.847152889461217412e-04,1.983450526794541683e-05,2.800000000000000000e+01,2.800000000142119205e+01,2.549317410597741862e+00,2.549999999999999822e+00,2.800000000142119205e+01,2.549317410597741862e+00,2.800000000000076739e+01,2.549999922135252284e+00
4.045497942140671580e-04,1.983450526794541683e-05,2.800000000000000000e+01,2.800000000153269752e+01,2.549298381449105477e+00,2.549999999999999822e+00,2.800000000153269752e+01,2.549298381449105477e+00,2.800000000000085265e+01,2.549999918121259590e+00
4.243842994820125748e-04,1.983450526794541683e-05,2.800000000000000000e+01,2.800000000164698477e+01,2.549279868011416816e+00,2.549999999999999822e+00,2.800000000164698477e+01,2.549279868011416816e+00,2.800000000000093436e+01,2.549999914107296650e+00
4.442188047499579916e-04,1.983450526794541683e-05,2.800000000000000000e+01,2.800000000176396853e+01,2.549261829677594626e+00,2.549999999999999822e+00,2.800000000176396853e+01,2.549261829677594626e+00,2.800000000000102673e+01,2.549999910093362576e+00
4.640533100179034085e-04,1.983450526794541683e-05,2.800000000000000000e+01,2.800000000188360616e+01,2.549244230932455224e+00,2.549999999999999822e+00,2.800000000188360616e+01,2.549244230932455224e+00,2.800000000000111200e+01,2.549999906079457368e+00
4.838878152858488253e-04,1.983450526794541683e-05,2.800000000000000000e+01,2.800000000200582306e+01,2.549227040499987940e+00,2.549999999999999822e+00,2.800000000200582306e+01,2.549227040499987940e+00,2.800000000000121503e+01,2.549999902065579249e+00
5.091955084484987371e-04,2.530769316264991180e-05,2.800000000000000000e+01,2.800000000216543938e+01,2.549205655792520897e+00,2.549999999999999822e+00,2.800000000216543938e+01,2.549205655792520897e+00,2.800000000000134293e+01,2.549999896944139088e+00
5.345032016111486489e-04,2.530769316264991180e-05,2.800000000000000000e+01,2.800000000232908448e+01,2.549184840446954148e+00,2.549999999999999822e+00,2.800000000232908448e+01,2.549184840446954148e+00,2.800000000000147438e+01,2.549999891822742448e+00
5.598108947737985607e-04,2.530769316264991180e-05,2.800000000000000000e+01,2.800000000249665177e+01,2.549164550494300574e+00,2.549999999999999822e+00,2.800000000249665177e+01,2.549164550494300574e+00,2.800000000000162359e+01,2.549999886701387108e+00
5.851185879364484725e-04,2.530769316264991180e-05,2.800000000000000000e+01,2.800000000266805245e+01,2.549144747456086435e+00,2.549999999999999822e+00,2.800000000266805245e+01,2.549144747456086435e+00,2.800000000000177280e+01,2.549999881580073069e+00
6.104262810990983843e-04,2.530769316264991180e-05,2.800000000000000000e+01,2.800000000284320123e+01,2.549125397425781703e+00,2.549999999999999822e+00,2.800000000284320123e+01,2.549125397425781703e+00,2.800000000000192202e+01,2.549999876458798109e+00
6.357339742617482961e-04,2.530769316264991180e-05,2.800000000000000000e+01,2.800000000302203418e+01,2.549106470309958627e+00,2.549999999999999822e+00,2.800000000302203418e+01,2.549106470309958627e+00,2.800000000000208900e+01,2.549999871337561785e+00
6.685931065079966365e-04,3.285913224624834039e-05,2.800000000000000000e+01,2.800000000325957572e+01,2.549082482951642081e+00,2.549999999999999822e+00,2.800000000325957572e+01,2.549082482951642081e+00,2.800000000000230926e+01,2.549999864688281104e+00
7.014522387542449769e-04,3.285913224624834039e-05,2.800000000000000000e+01,2.800000000350303253e+01,2.549059111514047071e+00,2.549999999999999822e+00,2.800000000350303253e+01,2.549059111514047071e+00,2.800000000000254019e+01,2.549999858039063039e+00
7.343113710004933173e-04,3.285913224624834039e-05,2.800000000000000000e+01,2.800000000375226250e+01,2.549036310447102327e+00,2.549999999999999822e+00,2.800000000375226250e+01,2.549036310447102327e+00,2.800000000000278533e+01,2.549999851389905370e+00
7.671705032467416576e-04,3.285913224624834039e-05,2.800000000000000000e+01,2.800000000400713773e+01,2.549014039639490914e+00,2.549999999999999822e+00,2.800000000400713773e+01,2.549014039639490914e+00,2.800000000000303402e+01,2.549999844740807209e+00
8.000296354929899980e-04,3.285913224624834039e-05,2.800000000000000000e+01,2.800000000426753743e+01,2.548992263537462222e+00,2.549999999999999822e+00,2.800000000426753743e+01,2.548992263537462222e+00,2.800000000000330402e+01,2.549999838091766335e+00
8.328887677392383384e-04,3.285913224624834039e-05,2.800000000000000000e+01,2.800000000453334081e+01,2.548970950414655601e+00,2.549999999999999822e+00,2.800000000453334081e+01,2.548970950414655601e+00,2.800000000000358114e+01,2.549999831442783194e+00
8.755032998000310696e-04,4.261453206079273120e-05,2.800000000000000000e+01,2.800000000488593699e+01,2.548943953086222791e+00,2.549999999999999822e+00,2.800000000488593699e+01,2.548943953086222791e+00,2.800000000000395062e+01,2.549999822819894568e+00
9.181178318608238008e-04,4.261453206079273120e-05,2.800000000000000000e+01,2.800000000524721600e+01,2.548917631680210683e+00,2.549999999999999822e+00,2.800000000524721600e+01,2.548917631680210683e+00,2.800000000000434852e+01,2.549999814197097425e+00
