time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.708118408116248216e-18,4.332918782442577268e-15,5.733192726786324739e-20,4.602683011629919099e-21
2.000000000000000000e+00,4.421927217324412685e-17,8.078887660005774702e-15,1.217404182840708086e-19,1.147963555520803324e-20
3.000000000000000000e+00,1.016354034878270333e-16,1.172845784653735902e-14,1.788284967494611475e-19,1.718880370459363906e-20
4.000000000000000000e+00,1.684714556941303595e-16,1.512079964928792598e-14,2.278286332892968429e-19,2.237895656767145788e-20
5.000000000000000000e+00,2.612048154418897102e-16,1.851337274281388895e-14,3.034081671884192430e-19,3.068320114859597460e-20
6.000000000000000000e+00,3.727856835482439199e-16,2.193257731704987242e-14,3.745078434376892590e-19,4.054449158844383878e-20
7.000000000000000000e+00,4.945400968839567541e-16,2.508322025951037901e-14,4.281457089550077774e-19,4.677267502413722257e-20
8.000000000000000000e+00,6.131941472273918119e-16,2.776824182955700158e-14,4.866909454194091720e-19,4.884873616936834648e-20
9.000000000000000000e+00,6.884339157887528428e-16,2.924176231807314893e-14,5.472593434030988301e-19,5.092479731459948243e-20
1.000000000000000000e+01,7.372914659301672204e-16,3.011868477222191557e-14,6.049736385292212781e-19,5.922904189552399615e-20
1.100000000000000000e+01,7.745939539994721420e-16,3.066981764845407550e-14,6.652229068684992761e-19,6.960934762167963379e-20
1.200000000000000000e+01,8.008259075464002915e-16,3.103168858733264851e-14,7.338297591029320670e-19,7.596728487894997147e-20
1.300000000000000000e+01,8.182382330361662573e-16,3.127659247693893098e-14,7.835898983749482247e-19,8.024916099098916718e-20
1.400000000000000000e+01,8.306028854445382076e-16,3.145052314003761756e-14,8.394676927171930555e-19,8.855340557191369895e-20
1.500000000000000000e+01,8.432619343388238908e-16,3.157502366027998823e-14,8.851935515787238974e-19,9.283528168395289466e-20
1.600000000000000000e+01,8.518362319910580460e-16,3.166463231497672933e-14,9.413844542513346383e-19,9.698740397441514249e-20
1.700000000000000000e+01,8.599689349144217497e-16,3.173283005217955420e-14,9.917828528121739238e-19,1.073677097005708042e-19
1.800000000000000000e+01,8.651576729786493077e-16,3.178622517975696525e-14,1.055271588107931251e-18,1.147636775304566888e-19
1.900000000000000000e+01,8.691320255384831735e-16,3.182587502696791024e-14,1.109041922534250783e-18,1.200187073043229936e-19
2.000000000000000000e+01,8.770807306581509051e-16,3.185627324316297079e-14,1.188679822100040488e-18,1.252737370781892743e-19
2.100000000000000000e+01,8.800246955172871495e-16,3.188032748380427536e-14,1.255058788137638082e-18,1.285175826176129231e-19
2.200000000000000000e+01,8.798774972743303324e-16,3.190226706592766546e-14,1.304168625492740382e-18,1.337726123914792038e-19
2.300000000000000000e+01,8.820609378781895895e-16,3.192050599564470054e-14,1.375388728022920200e-18,1.379896115927299497e-19
2.400000000000000000e+01,8.829686603764232953e-16,3.193187228517850573e-14,1.455616716365169151e-18,1.432446413665962545e-19
2.500000000000000000e+01,8.872619424626635982e-16,3.194403157165653122e-14,1.534206907287041861e-18,1.464236099952313932e-19
2.600000000000000000e+01,8.875072728675916268e-16,3.195328320267241565e-14,1.598875820135717101e-18,1.506406091964821390e-19
2.700000000000000000e+01,8.889792552971596011e-16,3.196042017517038562e-14,1.650972229257387240e-18,1.558307620595599579e-19
2.800000000000000000e+01,8.882432640823757126e-16,3.196782147998309569e-14,1.706103380657990063e-18,1.610209149226377767e-19
2.900000000000000000e+01,8.900587090788429269e-16,3.197284379396315120e-14,1.757043697482924326e-18,1.641350066404844776e-19
3.000000000000000000e+01,8.904512377267277726e-16,3.197786610794320671e-14,1.791341102286094923e-18,1.703631900761778554e-19
