time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
1.003800438705033006e-05,1.003800438705033006e-05,2.800000000000000000e+01,2.800000000000542144e+01,2.549960045408447229e+00,2.549999999999999822e+00,2.800000000000542144e+01,2.549960045408447229e+00,2.800000000000000000e+01,2.549999997968027454e+00
2.007600877410066012e-05,1.003800438705033006e-05,2.800000000000000000e+01,2.800000000001612221e+01,2.549923153075872584e+00,2.549999999999999822e+00,2.800000000001612221e+01,2.549923153075872584e+00,2.800000000000000000e+01,2.549999995936085284e+00
3.011401316115099188e-05,1.003800438705033176e-05,2.800000000000000000e+01,2.800000000003013767e+01,2.549888971025926931e+00,2.549999999999999822e+00,2.800000000003013767e+01,2.549888971025926931e+00,2.800000000000001066e+01,2.549999993904171536e+00
4.015201754820132702e-05,1.003800438705033514e-05,2.800000000000000000e+01,2.800000000004680700e+01,2.549857192231647751e+00,2.549999999999999822e+00,2.800000000004680700e+01,2.549857192231647751e+00,2.800000000000001066e+01,2.549999991872283989e+00
5.019002193525166217e-05,1.003800438705033514e-05,2.800000000000000000e+01,2.800000000006576073e+01,2.549827548588193604e+00,2.549999999999999822e+00,2.800000000006576073e+01,2.549827548588193604e+00,2.800000000000001776e+01,2.549999989840421311e+00
6.022802632230199731e-05,1.003800438705033514e-05,2.800000000000000000e+01,2.800000000008674661e+01,2.549799805716876921e+00,2.549999999999999822e+00,2.800000000008674661e+01,2.549799805716876921e+00,2.800000000000001776e+01,2.549999987808582169e+00
7.026603070935233245e-05,1.003800438705033514e-05,2.800000000000000000e+01,2.800000000010958701e+01,2.549773758483715014e+00,2.549999999999999822e+00,2.800000000010958701e+01,2.549773758483715014e+00,2.800000000000002842e+01,2.549999985776764344e+00
8.030403509640266760e-05,1.003800438705033514e-05,2.800000000000000000e+01,2.800000000013414336e+01,2.549749227132334095e+00,2.549999999999999822e+00,2.800000000013414336e+01,2.549749227132334095e+00,2.800000000000003908e+01,2.549999983744966503e+00
9.267935955597941637e-05,1.237532445957674877e-05,2.800000000000000000e+01,2.800000000016660806e+01,2.549720837916453764e+00,2.549999999999999822e+00,2.800000000016660806e+01,2.549720837916453764e+00,2.800000000000004619e+01,2.549999981240096858e+00
1.050546840155561651e-04,1.237532445957674877e-05,2.800000000000000000e+01,2.800000000020133939e+01,2.549694258173285988e+00,2.549999999999999822e+00,2.800000000020133939e+01,2.549694258173285988e+00,2.800000000000006040e+01,2.549999978735254746e+00
1.174300084751329139e-04,1.237532445957674877e-05,2.800000000000000000e+01,2.800000000023819524e+01,2.549669269158583607e+00,2.549999999999999822e+00,2.800000000023819524e+01,2.549669269158583607e+00,2.800000000000007461e+01,2.549999976230438392e+00
1.298053329347096762e-04,1.237532445957676233e-05,2.800000000000000000e+01,2.800000000027706193e+01,2.549645683610649360e+00,2.549999999999999822e+00,2.800000000027706193e+01,2.549645683610649360e+00,2.800000000000008882e+01,2.549999973725645575e+00
1.421806573942864386e-04,1.237532445957676233e-05,2.800000000000000000e+01,2.800000000031783287e+01,2.549623340854433984e+00,2.549999999999999822e+00,2.800000000031783287e+01,2.549623340854433984e+00,2.800000000000010658e+01,2.549999971220875405e+00
1.576014901805083501e-04,1.542083278622191156e-05,2.800000000000000000e+01,2.800000000037118753e+01,2.549597031412436987e+00,2.549999999999999822e+00,2.800000000037118753e+01,2.549597031412436987e+00,2.800000000000012790e+01,2.549999968099723180e+00
1.730223229667302617e-04,1.542083278622191156e-05,2.800000000000000000e+01,2.800000000042723158e+01,2.549572211726652604e+00,2.549999999999999822e+00,2.800000000042723158e+01,2.549572211726652604e+00,2.800000000000015632e+01,2.549999964978602929e+00
1.884431557529521733e-04,1.542083278622191156e-05,2.800000000000000000e+01,2.800000000048584425e+01,2.549548692542046968e+00,2.549999999999999822e+00,2.800000000048584425e+01,2.549548692542046968e+00,2.800000000000018474e+01,2.549999961857511988e+00
2.038639885391740848e-04,1.542083278622191156e-05,2.800000000000000000e+01,2.800000000054691185e+01,2.549526315262625520e+00,2.549999999999999822e+00,2.800000000054691185e+01,2.549526315262625520e+00,2.800000000000021672e+01,2.549999958736449912e+00
2.228490420347432877e-04,1.898505349556920286e-05,2.800000000000000000e+01,2.800000000062533800e+01,2.549500138593927989e+00,2.549999999999999822e+00,2.800000000062533800e+01,2.549500138593927989e+00,2.800000000000025935e+01,2.549999954894052845e+00
