time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.739085907933475095e-17,6.030080929998134963e-18,5.742918537229869947e-20,5.262759249565702782e-21
2.000000000000000000e+00,2.349632786760190796e-17,7.913448672518100045e-17,1.182564998599448157e-19,1.408601911679799974e-20
3.000000000000000000e+00,2.987434340259377977e-17,4.886843668749173545e-17,1.721322072820606417e-19,1.720011083464469163e-20
4.000000000000000000e+00,2.911995240744012886e-17,1.291924188290011343e-16,2.176006549681463547e-19,2.342829427033807842e-20
5.000000000000000000e+00,3.343546756162701285e-17,6.548833097674686289e-17,2.709976679236448349e-19,2.809943184710811776e-20
6.000000000000000000e+00,4.614818248199065913e-17,3.191812700481204263e-17,3.541640575200978863e-19,3.225155413757037763e-20
7.000000000000000000e+00,6.500335741573950672e-17,1.600532165748546170e-16,4.509386168593820159e-19,4.055579871849489135e-20
8.000000000000000000e+00,7.774827195174995060e-17,2.397494094688573478e-16,5.303477064914427498e-19,4.678398215418827513e-20
9.000000000000000000e+00,5.625426184999413116e-17,1.625643735648812400e-17,5.863700123707795169e-19,5.093610444465052898e-20
1.000000000000000000e+01,1.194759071999439104e-17,3.259217440739813876e-16,6.419527623247947251e-19,5.417994998407417176e-20
1.100000000000000000e+01,2.328798868779194216e-17,2.583848376580022686e-16,6.711922633297451448e-19,6.144616399238312653e-20
1.200000000000000000e+01,3.405186020400865384e-17,2.106728548474964812e-16,7.496620279707078596e-19,6.404124042392203594e-20
1.300000000000000000e+01,3.746195283250808473e-17,1.756488231444936102e-16,8.161373350330335070e-19,7.052893150276930946e-20
1.400000000000000000e+01,4.732423511061433452e-17,1.474974316247215021e-16,8.827089831200870156e-19,7.675711493846269927e-20
1.500000000000000000e+01,5.342069567307553663e-17,1.268795110750292382e-16,9.639726374781620393e-19,7.883317608369382920e-20
1.600000000000000000e+01,5.629106141073333545e-17,1.104909075611713004e-16,1.044369222613684675e-18,8.298529837415607703e-20
1.700000000000000000e+01,6.367550659906661365e-17,9.700995950944945171e-17,1.102607372061765717e-18,8.298529837415607703e-20
1.800000000000000000e+01,6.668080405943481587e-17,8.696533154934295977e-17,1.185123459741304574e-18,8.609939009200276591e-20
1.900000000000000000e+01,7.222527121080799065e-17,7.903536210715363700e-17,1.243120756627565433e-18,8.973249709615725834e-20
2.000000000000000000e+01,7.676388370197628522e-17,7.269138655340217878e-17,1.336475209589005385e-18,9.206806588454227200e-20
2.100000000000000000e+01,8.169502484102941319e-17,6.714040794386964052e-17,1.403865756386247014e-18,9.751772639077398657e-20
2.200000000000000000e+01,8.346140375651113270e-17,6.211809396381640688e-17,1.459069163555395757e-18,9.985329517915901226e-20
2.300000000000000000e+01,8.279901166320548018e-17,5.868177387220102546e-17,1.510900634859064061e-18,1.040054174696212601e-19
2.400000000000000000e+01,8.441819233573039486e-17,5.550978609532529635e-17,1.554254095986667673e-18,1.084170474032374037e-19
2.500000000000000000e+01,8.699416158747455939e-17,5.233779831844956725e-17,1.644043931033171463e-18,1.149047384820846892e-19
