time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.159460643789202676e-17,2.219261423167500014e-14,6.951008456731627541e-20,6.608083998501374461e-21
2.000000000000000000e+00,2.659845417216513129e-16,4.252875653385478881e-14,1.303072924847349290e-19,1.283626743419476050e-20
3.000000000000000000e+00,6.126670701855542736e-16,6.248455767666357496e-14,1.818437194001737785e-19,1.595035915204145390e-20
4.000000000000000000e+00,1.064531559803525001e-15,8.091826726812280315e-14,2.314563364780752211e-19,1.906445086988814880e-20
5.000000000000000000e+00,1.688369979974731073e-15,1.005093228581302272e-13,2.862984648044938345e-19,2.529263430558153258e-20
6.000000000000000000e+00,2.390924193882122015e-15,1.184611215982797351e-13,3.539479281056920781e-19,2.736869545081266553e-20
7.000000000000000000e+00,3.213254844735493574e-15,1.362409060846124473e-13,4.240902154217274504e-19,3.152081774127491938e-20
8.000000000000000000e+00,4.185318308291587846e-15,1.544086643259042476e-13,4.908658355220724148e-19,3.671502541127701857e-20
9.000000000000000000e+00,5.209848745571599413e-15,1.712492760979669889e-13,5.585213201373160716e-19,4.112665534489316817e-20
1.000000000000000000e+01,6.290762243164192955e-15,1.872353014964764385e-13,6.325112271284263540e-19,4.943089992581768189e-20
1.100000000000000000e+01,7.507202389699145562e-15,2.035505527929941351e-13,7.352107594884830010e-19,5.565908336151106568e-20
1.200000000000000000e+01,8.371593405162394312e-15,2.140660887718093051e-13,7.716276668356701081e-19,5.565908336151106568e-20
1.300000000000000000e+01,9.003306931331790201e-15,2.210933633591627425e-13,8.625735941789097742e-19,5.981120565197332554e-20
1.400000000000000000e+01,9.479076185608692265e-15,2.259968599637405007e-13,9.022660963668491705e-19,6.396332794243558541e-20
1.500000000000000000e+01,9.846519799589628782e-15,2.295101007589451345e-13,9.959095724024729953e-19,6.811545023289784528e-20
1.600000000000000000e+01,1.013708913118637124e-14,2.320816576828897286e-13,1.045236177063213248e-18,6.811545023289784528e-20
1.700000000000000000e+01,1.036530774037065735e-14,2.340044109403059055e-13,1.105545658542946436e-18,7.226757252336010515e-20
1.800000000000000000e+01,1.055305909926206925e-14,2.354661686408161628e-13,1.172599011753639925e-18,7.434363366859122305e-20
1.900000000000000000e+01,1.070540928072236691e-14,2.365943389601249742e-13,1.238881636766509561e-18,8.057181710428461285e-20
2.000000000000000000e+01,1.083217150094867307e-14,2.374764158944111348e-13,1.311522769411427668e-18,8.057181710428461285e-20
2.100000000000000000e+01,1.093565186574730980e-14,2.381779538577301885e-13,1.372024932940616771e-18,8.057181710428461285e-20
2.200000000000000000e+01,1.102296495686119133e-14,2.387404530234961537e-13,1.451409937316495563e-18,8.264787824951575482e-20
2.300000000000000000e+01,1.109820779205261346e-14,2.391966905987367516e-13,1.500351177878323601e-18,8.472393939474686068e-20
2.400000000000000000e+01,1.116125770611911424e-14,2.395704564917785911e-13,1.578965454056378540e-18,1.013324285565959002e-19
2.500000000000000000e+01,1.121930287992508284e-14,2.398773463091913630e-13,1.608253125573692650e-18,1.054845508470581721e-19
2.600000000000000000e+01,1.126728950712900326e-14,2.401348059837477622e-13,1.691877135037604078e-18,1.117127342827515378e-19
2.700000000000000000e+01,1.130855408123789431e-14,2.403483864940574064e-13,1.768949954820010156e-18,1.189789482910604986e-19
2.800000000000000000e+01,1.134481391508625635e-14,2.405315687881719647e-13,1.826369205557902885e-18,1.272831928719850183e-19
2.900000000000000000e+01,1.137636340515999865e-14,2.406838242014620076e-13,1.872227533328434934e-18,1.314353151624472782e-19
3.000000000000000000e+01,1.140462546780770597e-14,2.408154616942023230e-13,1.943519891627160865e-18,1.428536514612184748e-19
3.100000000000000000e+01,1.143058142464908962e-14,2.409278029279666871e-13,1.998626957771581843e-18,1.428536514612184748e-19
3.200000000000000000e+01,1.145133637690600103e-14,2.410256058844203712e-13,2.039475552256257403e-18,1.511578960421429945e-19
3.300000000000000000e+01,1.147218946132488169e-14,2.411086062312486099e-13,2.096894802994150132e-18,1.563480489052208133e-19
3.400000000000000000e+01,1.148906819318392848e-14,2.411820906147462052e-13,2.134275120588617296e-18,1.605001711956830973e-19
3.500000000000000000e+01,1.150418054612749425e-14,2.412476450288016480e-13,2.237167334998129858e-18,1.667283546313764750e-19
3.600000000000000000e+01,1.151620173596896824e-14,2.413020974856380068e-13,2.299596319021879460e-18,1.760706297849165537e-19
3.700000000000000000e+01,1.152984210648296545e-14,2.413528492900680548e-13,2.430620112651970256e-18,1.791847215027632306e-19
3.800000000000000000e+01,1.154279555186316535e-14,2.413967284543148097e-13,2.489195455686599246e-18,1.802227520753787895e-19
3.900000000000000000e+01,1.155300129670816977e-14,2.414353209722668133e-13,2.574746285645070209e-18,1.822988132206099315e-19
4.000000000000000000e+01,1.156144066263769474e-14,2.414712701670714158e-13,2.605575413558033180e-18,1.843748743658410494e-19
4.100000000000000000e+01,1.157066508586298782e-14,2.414992893924338155e-13,2.674170223164374759e-18,1.864509355110721913e-19
4.200000000000000000e+01,1.158126335935587708e-14,2.415257226239077746e-13,2.710394448462106048e-18,1.937171495193811281e-19
4.300000000000000000e+01,1.158832887501780430e-14,2.415505698614932932e-13,2.802881832200993805e-18,1.989073023824589469e-19
4.400000000000000000e+01,1.159559065500367316e-14,2.415733024405608910e-13,2.841418242092197229e-18,2.030594246729212067e-19
4.500000000000000000e+01,1.159990847013040646e-14,2.415923343672221779e-13,2.904617954313770106e-18,2.040974552455367657e-19
4.600000000000000000e+01,1.160442254958108298e-14,2.416103089646244539e-13,2.943925092402797576e-18,2.061735163907679077e-19
4.700000000000000000e+01,1.160942728984161358e-14,2.416277548973972498e-13,2.991710240667889930e-18,2.124016998264613095e-19
4.800000000000000000e+01,1.161472642658805978e-14,2.416446721655406159e-13,3.052597768295990671e-18,2.175918526895391283e-19
4.900000000000000000e+01,1.161884797739084988e-14,2.416568314520186099e-13,3.101924372956731116e-18,2.186298832621546632e-19
5.000000000000000000e+01,1.162306766035561236e-14,2.416684620738671741e-13,3.193641028497794827e-18,2.186298832621546632e-19
5.100000000000000000e+01,1.162924998655979750e-14,2.416811500249746482e-13,3.242196904960711227e-18,2.248580666978480650e-19
