time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
1.356696818951669221e-07,1.356696818951669221e-07,2.800000000000000000e+01,2.800000000000000355e+01,2.549999438337299473e+00,2.550000000000031797e+00,2.800000000000000355e+01,2.549999438337299473e+00,2.800000000000000000e+01,2.549999999972536457e+00
2.713393637903338441e-07,1.356696818951669221e-07,2.800000000000000000e+01,2.800000000000001066e+01,2.549998877595661906e+00,2.550000000000072653e+00,2.800000000000001066e+01,2.549998877595661906e+00,2.800000000000000000e+01,2.549999999945073093e+00
5.816180515635668204e-07,3.102786877732329763e-07,2.800000000000000000e+01,2.800000000000003908e+01,2.549997598297076173e+00,2.550000000000099742e+00,2.800000000000003908e+01,2.549997598297076173e+00,2.800000000000000000e+01,2.549999999882263335e+00
8.918967393367997968e-07,3.102786877732329763e-07,2.800000000000000000e+01,2.800000000000007816e+01,2.549996323693024536e+00,2.550000000000077982e+00,2.800000000000007816e+01,2.549996323693024536e+00,2.800000000000000000e+01,2.549999999819454022e+00
1.202175427110032773e-06,3.102786877732329763e-07,2.800000000000000000e+01,2.800000000000013856e+01,2.549995053906723541e+00,2.550000000000003375e+00,2.800000000000013856e+01,2.549995053906723541e+00,2.800000000000000000e+01,2.549999999756644264e+00
1.914880949397023725e-06,7.127055222869909515e-07,2.800000000000000000e+01,2.800000000000031619e+01,2.549992155500154123e+00,2.550000000000001599e+00,2.800000000000031619e+01,2.549992155500154123e+00,2.800000000000000000e+01,2.549999999612372115e+00
2.627586471684014464e-06,7.127055222869907397e-07,2.800000000000000000e+01,2.800000000000056133e+01,2.549989282330439977e+00,2.549999999999999822e+00,2.800000000000056133e+01,2.549989282330439977e+00,2.800000000000000000e+01,2.549999999468099965e+00
3.340291993971005204e-06,7.127055222869907397e-07,2.800000000000000000e+01,2.800000000000085976e+01,2.549986434090256715e+00,2.549999999999999822e+00,2.800000000000085976e+01,2.549986434090256715e+00,2.800000000000000000e+01,2.549999999323827815e+00
4.863160572805083637e-06,1.522868578834078433e-06,2.800000000000000000e+01,2.800000000000164491e+01,2.549980430219210614e+00,2.549999999999999822e+00,2.800000000000164491e+01,2.549980430219210614e+00,2.800000000000000000e+01,2.549999999015556185e+00
6.386029151639162493e-06,1.522868578834078856e-06,2.800000000000000000e+01,2.800000000000259348e+01,2.549974535607461235e+00,2.549999999999999822e+00,2.800000000000259348e+01,2.549974535607461235e+00,2.800000000000000000e+01,2.549999998707285442e+00
7.908897730473241349e-06,1.522868578834078856e-06,2.800000000000000000e+01,2.800000000000368416e+01,2.549968747184429230e+00,2.549999999999999822e+00,2.800000000000368416e+01,2.549968747184429230e+00,2.800000000000000000e+01,2.549999998399015144e+00
9.431766309307320205e-06,1.522868578834078856e-06,2.800000000000000000e+01,2.800000000000489209e+01,2.549963061997176705e+00,2.549999999999999822e+00,2.800000000000489209e+01,2.549963061997176705e+00,2.800000000000000000e+01,2.549999998090745734e+00
1.243214214736871730e-05,3.000375838061397098e-06,2.800000000000000000e+01,2.800000000000760636e+01,2.549952152253436299e+00,2.549999999999999822e+00,2.800000000000760636e+01,2.549952152253436299e+00,2.800000000000000000e+01,2.549999997483391123e+00
1.543251798543011271e-05,3.000375838061395404e-06,2.800000000000000000e+01,2.800000000001070433e+01,2.549941611627728477e+00,2.549999999999999822e+00,2.800000000001070433e+01,2.549941611627728477e+00,2.800000000000000000e+01,2.549999996876038733e+00
1.843289382349150811e-05,3.000375838061395404e-06,2.800000000000000000e+01,2.800000000001411848e+01,2.549931420581442065e+00,2.549999999999999822e+00,2.800000000001411848e+01,2.549931420581442065e+00,2.800000000000000000e+01,2.549999996268689006e+00
2.143326966155290351e-05,3.000375838061395404e-06,2.800000000000000000e+01,2.800000000001783818e+01,2.549921560784855767e+00,2.549999999999999822e+00,2.800000000001783818e+01,2.549921560784855767e+00,2.800000000000000000e+01,2.549999995661341945e+00
2.685881706373845093e-05,5.425547402185547418e-06,2.800000000000000000e+01,2.800000000002527045e+01,2.549904517413074334e+00,2.549999999999999822e+00,2.800000000002527045e+01,2.549904517413074334e+00,2.800000000000000711e+01,2.549999994563088457e+00
3.228436446592399835e-05,5.425547402185547418e-06,2.800000000000000000e+01,2.800000000003352341e+01,2.549888407613694064e+00,2.549999999999999822e+00,2.800000000003352341e+01,2.549888407613694064e+00,2.800000000000001066e+01,2.549999993464841630e+00
3.770991186810954577e-05,5.425547402185547418e-06,2.800000000000000000e+01,2.800000000004252598e+01,2.549873147448153077e+00,2.549999999999999822e+00,2.800000000004252598e+01,2.549873147448153077e+00,2.800000000000001066e+01,2.549999992366602353e+00
4.313545927029509318e-05,5.425547402185547418e-06,2.800000000000000000e+01,2.800000000005221779e+01,2.549858661478880517e+00,2.549999999999999822e+00,2.800000000005221779e+01,2.549858661478880517e+00,2.800000000000001066e+01,2.549999991268368849e+00
4.856100667248064060e-05,5.425547402185547418e-06,2.800000000000000000e+01,2.800000000006253842e+01,2.549844881873056579e+00,2.549999999999999822e+00,2.800000000006253842e+01,2.549844881873056579e+00,2.800000000000001776e+01,2.549999990170142006e+00
5.466136803910929734e-05,6.100361366628656741e-06,2.800000000000000000e+01,2.800000000007486278e+01,2.549830156465024089e+00,2.549999999999999822e+00,2.800000000007486278e+01,2.549830156465024089e+00,2.800000000000001776e+01,2.549999988935327533e+00
6.076172940573795409e-05,6.100361366628656741e-06,2.800000000000000000e+01,2.800000000008791901e+01,2.549816169742750827e+00,2.549999999999999822e+00,2.800000000008791901e+01,2.549816169742750827e+00,2.800000000000001776e+01,2.549999987700520165e+00
6.686209077236661760e-05,6.100361366628663518e-06,2.800000000000000000e+01,2.800000000010164669e+01,2.549802852836506872e+00,2.549999999999999822e+00,2.800000000010164669e+01,2.549802852836506872e+00,2.800000000000002842e+01,2.549999986465719459e+00
7.296245213899528112e-05,6.100361366628663518e-06,2.800000000000000000e+01,2.800000000011602097e+01,2.549790144461568264e+00,2.549999999999999822e+00,2.800000000011602097e+01,2.549790144461568264e+00,2.800000000000002842e+01,2.549999985230924970e+00
7.906281350562394464e-05,6.100361366628663518e-06,2.799999999999999645e+01,2.800000000013102053e+01,2.549777990038999409e+00,2.549999999999999822e+00,2.800000000013102053e+01,2.549777990038999409e+00,2.800000000000003553e+01,2.549999983996136699e+00
8.516317487225260816e-05,6.100361366628663518e-06,2.800000000000000000e+01,2.800000000014660984e+01,2.549766340897392958e+00,2.549999999999999822e+00,2.800000000014660984e+01,2.549766340897392958e+00,2.800000000000003908e+01,2.549999982761354644e+00
9.380783105958331099e-05,8.644656187330702836e-06,2.800000000000000000e+01,2.800000000016968471e+01,2.549750614736894239e+00,2.549999999999999822e+00,2.800000000016968471e+01,2.549750614736894239e+00,2.800000000000004619e+01,2.549999981011587202e+00
1.024524872469140138e-04,8.644656187330702836e-06,2.800000000000000000e+01,2.800000000019385382e+01,2.549735708441893678e+00,2.549999999999999822e+00,2.800000000019385382e+01,2.549735708441893678e+00,2.800000000000005684e+01,2.549999979261830418e+00
1.110971434342447167e-04,8.644656187330702836e-06,2.800000000000000000e+01,2.800000000021907454e+01,2.549721529276984366e+00,2.549999999999999822e+00,2.800000000021907454e+01,2.549721529276984366e+00,2.800000000000006750e+01,2.549999977512083849e+00
1.197417996215754195e-04,8.644656187330702836e-06,2.800000000000000000e+01,2.800000000024530422e+01,2.549707997673926307e+00,2.549999999999999822e+00,2.800000000024530422e+01,2.549707997673926307e+00,2.800000000000007816e+01,2.549999975762347049e+00
1.283864558089061088e-04,8.644656187330689284e-06,2.800000000000000000e+01,2.800000000027250024e+01,2.549695045189526610e+00,2.549999999999999822e+00,2.800000000027250024e+01,2.549695045189526610e+00,2.800000000000008882e+01,2.549999974012619131e+00
