time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.402042724587725423e-19,3.807079204577069258e-15,6.981703444893404119e-20,3.982438124134887111e-21
2.000000000000000000e+00,3.233435570513369080e-17,7.181347285307313709e-15,1.370841443082429566e-19,8.653575700904926453e-21
3.000000000000000000e+00,8.763240396904510755e-17,1.037481206275564012e-14,1.945056530389028660e-19,1.183254432954009228e-20
4.000000000000000000e+00,1.641030411713808786e-16,1.339622954484780155e-14,2.496368044395055445e-19,1.806072776523347908e-20
5.000000000000000000e+00,2.582179177618910855e-16,1.641734965308588196e-14,2.897937004732041117e-19,2.428891120092686587e-20
6.000000000000000000e+00,3.746409947355120252e-16,1.940959145593865420e-14,3.619952771928007076e-19,2.857078731296607061e-20
7.000000000000000000e+00,5.086772614679336862e-16,2.224937959626533795e-14,4.291449714282223947e-19,2.857078731296607061e-20
8.000000000000000000e+00,6.249301404731358492e-16,2.441888706949096858e-14,4.891172593214075389e-19,3.427995546235166890e-20
9.000000000000000000e+00,7.001545758841887427e-16,2.561670895373366592e-14,5.549181792106370984e-19,3.947010832542949373e-20
1.000000000000000000e+01,7.513979642135281736e-16,2.632895237579963671e-14,6.066051389772133695e-19,4.569829176112287752e-20
1.100000000000000000e+01,7.875228663391785580e-16,2.677659915081122574e-14,6.698048511987867277e-19,5.504056691466296824e-20
1.200000000000000000e+01,8.134604234001930733e-16,2.707132968174592796e-14,7.512130170939535914e-19,6.023071977774078706e-20
1.300000000000000000e+01,8.328721916901224227e-16,2.727182574247595002e-14,8.283821779010882055e-19,6.645890321343417686e-20
1.400000000000000000e+01,8.468314917305264601e-16,2.741152537081585097e-14,9.237597923818162288e-19,7.580117836697424351e-20
1.500000000000000000e+01,8.530383509752052874e-16,2.751408630893483153e-14,9.540108741464106840e-19,7.995330065743650338e-20
