time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
2.423560391118579497e-06,2.423560391118579497e-06,2.800000000000000000e+01,2.800000000000024514e+01,2.549997491985835474e+00,2.550000000000001599e+00,2.800000000000024514e+01,2.549997491985835474e+00,2.800000000000000000e+01,2.549999999509400261e+00
4.847120782237158995e-06,2.423560391118579497e-06,2.800000000000000000e+01,2.800000000000076739e+01,2.549994988564804110e+00,2.549999999999999822e+00,2.800000000000076739e+01,2.549994988564804110e+00,2.800000000000000000e+01,2.549999999018801145e+00
9.901318463226556034e-06,5.054197680989397040e-06,2.800000000000000000e+01,2.800000000000261835e+01,2.549989781037466319e+00,2.549999999999999822e+00,2.800000000000261835e+01,2.549989781037466319e+00,2.800000000000000000e+01,2.549999997995684886e+00
1.495551614421595307e-05,5.054197680989397040e-06,2.800000000000000000e+01,2.800000000000551381e+01,2.549984592884786849e+00,2.549999999999999822e+00,2.800000000000551381e+01,2.549984592884786849e+00,2.800000000000000000e+01,2.549999996972570404e+00
2.000971382520535011e-05,5.054197680989397040e-06,2.800000000000000000e+01,2.800000000000939693e+01,2.549979424673100681e+00,2.549999999999999822e+00,2.800000000000939693e+01,2.549979424673100681e+00,2.800000000000000711e+01,2.549999995949458587e+00
3.194497310665748687e-05,1.193525928145213675e-05,2.800000000000000000e+01,2.800000000002196998e+01,2.549967299521076480e+00,2.549999999999999822e+00,2.800000000002196998e+01,2.549967299521076480e+00,2.800000000000000711e+01,2.549999993533434317e+00
4.388023238810962362e-05,1.193525928145213675e-05,2.800000000000000000e+01,2.800000000003881340e+01,2.549955284819503287e+00,2.549999999999999822e+00,2.800000000003881340e+01,2.549955284819503287e+00,2.800000000000001066e+01,2.549999991117421594e+00
5.581549166956176037e-05,1.193525928145213675e-05,2.800000000000000000e+01,2.800000000005928769e+01,2.549943379167955104e+00,2.549999999999999822e+00,2.800000000005928769e+01,2.549943379167955104e+00,2.800000000000001776e+01,2.549999988701419973e+00
8.161632911295398400e-05,2.580083744339222362e-05,2.800000000000000000e+01,2.800000000011402435e+01,2.549918008156110361e+00,2.549999999999999822e+00,2.800000000011402435e+01,2.549918008156110361e+00,2.800000000000003553e+01,2.549999983478710153e+00
1.074171665563462076e-04,2.580083744339222362e-05,2.800000000000000000e+01,2.800000000018030732e+01,2.549893125234230951e+00,2.549999999999999822e+00,2.800000000018030732e+01,2.549893125234230951e+00,2.800000000000006040e+01,2.549999978256051847e+00
1.332180039997384177e-04,2.580083744339221007e-05,2.800000000000000000e+01,2.800000000025625724e+01,2.549868715894609394e+00,2.549999999999999822e+00,2.800000000025625724e+01,2.549868715894609394e+00,2.800000000000009592e+01,2.549999973033444611e+00
1.590188414431306413e-04,2.580083744339222362e-05,2.800000000000000000e+01,2.800000000034081893e+01,2.549844766210326519e+00,2.549999999999999822e+00,2.800000000034081893e+01,2.549844766210326519e+00,2.800000000000013500e+01,2.549999967810887114e+00
2.100088056982552637e-04,5.098996425512462242e-05,2.800000000000000000e+01,2.800000000053065108e+01,2.549798735501374924e+00,2.549999999999999822e+00,2.800000000053065108e+01,2.549798735501374924e+00,2.800000000000022737e+01,2.549999957489736513e+00
2.609987699533798861e-04,5.098996425512462242e-05,2.800000000000000000e+01,2.800000000074676265e+01,2.549754350341011389e+00,2.549999999999999822e+00,2.800000000074676265e+01,2.549754350341011389e+00,2.800000000000035882e+01,2.549999947168770653e+00
3.119887342085045086e-04,5.098996425512462242e-05,2.800000000000000000e+01,2.800000000098614095e+01,2.549711518491433626e+00,2.549999999999999822e+00,2.800000000098614095e+01,2.549711518491433626e+00,2.800000000000050449e+01,2.549999936847982873e+00
3.629786984636291310e-04,5.098996425512462242e-05,2.800000000000000000e+01,2.800000000124677868e+01,2.549670153765019709e+00,2.549999999999999822e+00,2.800000000124677868e+01,2.549670153765019709e+00,2.800000000000068212e+01,2.549999926527366512e+00
4.541137975642207426e-04,9.113509910059161166e-05,2.800000000000000000e+01,2.800000000176057924e+01,2.549599624748382976e+00,2.549999999999999822e+00,2.800000000176057924e+01,2.549599624748382976e+00,2.800000000000106581e+01,2.549999908081589606e+00
5.452488966648124085e-04,9.113509910059166587e-05,2.800000000000000000e+01,2.800000000233069031e+01,2.549533104774918790e+00,2.549999999999999822e+00,2.800000000233069031e+01,2.549533104774918790e+00,2.800000000000154188e+01,2.549999889636311412e+00
6.363839957654040744e-04,9.113509910059166587e-05,2.800000000000000000e+01,2.800000000295202440e+01,2.549470217860207111e+00,2.549999999999999822e+00,2.800000000295202440e+01,2.549470217860207111e+00,2.800000000000209255e+01,2.549999871191505285e+00
7.275190948659957402e-04,9.113509910059166587e-05,2.800000000000000000e+01,2.800000000362043195e+01,2.549410627776563132e+00,2.549999999999999822e+00,2.800000000362043195e+01,2.549410627776563132e+00,2.800000000000272848e+01,2.549999852747145468e+00
8.186541939665874061e-04,9.113509910059166587e-05,2.800000000000000000e+01,2.800000000433272973e+01,2.549354033676791698e+00,2.549999999999999822e+00,2.800000000433272973e+01,2.549354033676791698e+00,2.800000000000346390e+01,2.549999834303207980e+00
