time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
5.223711520826635682e-07,5.223711520826635682e-07,2.800000000000000000e+01,2.800000000000004263e+01,2.549997844168770733e+00,2.549999999999999822e+00,2.800000000000004263e+01,2.549997844168770733e+00,2.800000000000000000e+01,2.549999999894256852e+00
1.044742304165327136e-06,5.223711520826635682e-07,2.800000000000000000e+01,2.800000000000013145e+01,2.549995699613250899e+00,2.549999999999999822e+00,2.800000000000013145e+01,2.549995699613250899e+00,2.800000000000000000e+01,2.549999999788512994e+00
2.073040028436217980e-06,1.028297724270890843e-06,2.800000000000000000e+01,2.800000000000039080e+01,2.549991507112681077e+00,2.549999999999999822e+00,2.800000000000039080e+01,2.549991507112681077e+00,2.800000000000000000e+01,2.549999999580356391e+00
3.101337752707109034e-06,1.028297724270891055e-06,2.800000000000000000e+01,2.800000000000077449e+01,2.549987356332690247e+00,2.549999999999999822e+00,2.800000000000077449e+01,2.549987356332690247e+00,2.800000000000000000e+01,2.549999999372198900e+00
4.129635476978000089e-06,1.028297724270891055e-06,2.800000000000000000e+01,2.800000000000126121e+01,2.549983248188180340e+00,2.549999999999999822e+00,2.800000000000126121e+01,2.549983248188180340e+00,2.800000000000000000e+01,2.549999999164042297e+00
6.758985427001763281e-06,2.629349950023763192e-06,2.800000000000000000e+01,2.800000000000284217e+01,2.549972934352643161e+00,2.549999999999999822e+00,2.800000000000284217e+01,2.549972934352643161e+00,2.800000000000000000e+01,2.549999998631788500e+00
9.388335377025527320e-06,2.629349950023764039e-06,2.800000000000000000e+01,2.800000000000484945e+01,2.549962887729232186e+00,2.549999999999999822e+00,2.800000000000484945e+01,2.549962887729232186e+00,2.800000000000000000e+01,2.549999998099537368e+00
1.201768532704929136e-05,2.629349950023764039e-06,2.800000000000000000e+01,2.800000000000720135e+01,2.549953098282188524e+00,2.549999999999999822e+00,2.800000000000720135e+01,2.549953098282188524e+00,2.800000000000000000e+01,2.549999997567287569e+00
1.684583317335037908e-05,4.828147846301087721e-06,2.800000000000000000e+01,2.800000000001227463e+01,2.549935760341486723e+00,2.549999999999999822e+00,2.800000000001227463e+01,2.549935760341486723e+00,2.800000000000000000e+01,2.549999996589949358e+00
2.167398101965146680e-05,4.828147846301087721e-06,2.800000000000000000e+01,2.800000000001816858e+01,2.549919197939281013e+00,2.549999999999999822e+00,2.800000000001816858e+01,2.549919197939281013e+00,2.800000000000000000e+01,2.549999995612617365e+00
2.650212886595255452e-05,4.828147846301087721e-06,2.800000000000000000e+01,2.800000000002477307e+01,2.549903355644607572e+00,2.549999999999999822e+00,2.800000000002477307e+01,2.549903355644607572e+00,2.800000000000000000e+01,2.549999994635291589e+00
3.133027671225364224e-05,4.828147846301087721e-06,2.800000000000000000e+01,2.800000000003203127e+01,2.549888183090245342e+00,2.549999999999999822e+00,2.800000000003203127e+01,2.549888183090245342e+00,2.800000000000001066e+01,2.549999993657971586e+00
3.939514554091816888e-05,8.064868828664526639e-06,2.800000000000000000e+01,2.800000000004546408e+01,2.549864208518143549e+00,2.549999999999999822e+00,2.800000000004546408e+01,2.549864208518143549e+00,2.800000000000001066e+01,2.549999992025483664e+00
4.746001436958269552e-05,8.064868828664526639e-06,2.800000000000000000e+01,2.800000000006039613e+01,2.549841783933328720e+00,2.549999999999999822e+00,2.800000000006039613e+01,2.549841783933328720e+00,2.800000000000001776e+01,2.549999990393010396e+00
5.552488319824722216e-05,8.064868828664526639e-06,2.800000000000000000e+01,2.800000000007667467e+01,2.549820741992950168e+00,2.549999999999999822e+00,2.800000000007667467e+01,2.549820741992950168e+00,2.800000000000001776e+01,2.549999988760550451e+00
6.358975202691174880e-05,8.064868828664526639e-06,2.800000000000000000e+01,2.800000000009420376e+01,2.549800935332944718e+00,2.549999999999999822e+00,2.800000000009420376e+01,2.549800935332944718e+00,2.800000000000002842e+01,2.549999987128104717e+00
7.165462085557627544e-05,8.064868828664526639e-06,2.800000000000000000e+01,2.800000000011288748e+01,2.549782234377508949e+00,2.549999999999999822e+00,2.800000000011288748e+01,2.549782234377508949e+00,2.800000000000002842e+01,2.549999985495671417e+00
8.299836737982394376e-05,1.134374652424766832e-05,2.800000000000000000e+01,2.800000000014101431e+01,2.549757585531401194e+00,2.549999999999999822e+00,2.800000000014101431e+01,2.549757585531401194e+00,2.800000000000003908e+01,2.549999983199570330e+00
9.434211390407161208e-05,1.134374652424766832e-05,2.800000000000000000e+01,2.800000000017115198e+01,2.549734630602743746e+00,2.549999999999999822e+00,2.800000000017115198e+01,2.549734630602743746e+00,2.800000000000004619e+01,2.549999980903490560e+00
1.056858604283192804e-04,1.134374652424766832e-05,2.800000000000000000e+01,2.800000000020317259e+01,2.549713143609448007e+00,2.549999999999999822e+00,2.800000000020317259e+01,2.549713143609448007e+00,2.800000000000006040e+01,2.549999978607431217e+00
1.170296069525669487e-04,1.134374652424766832e-05,2.800000000000000000e+01,2.800000000023697666e+01,2.549692934372445041e+00,2.549999999999999822e+00,2.800000000023697666e+01,2.549692934372445041e+00,2.800000000000007461e+01,2.549999976311390526e+00
1.283733534768146170e-04,1.134374652424766832e-05,2.800000000000000000e+01,2.800000000027246472e+01,2.549673842410212110e+00,2.549999999999999822e+00,2.800000000027246472e+01,2.549673842410212110e+00,2.800000000000008882e+01,2.549999974015368487e+00
1.416197182252233819e-04,1.324636474840876492e-05,2.800000000000000000e+01,2.800000000031595704e+01,2.549652782874655799e+00,2.549999999999999822e+00,2.800000000031595704e+01,2.549652782874655799e+00,2.800000000000010658e+01,2.549999971334268700e+00
1.548660829736321469e-04,1.324636474840876492e-05,2.800000000000000000e+01,2.800000000036152770e+01,2.549632882939423251e+00,2.549999999999999822e+00,2.800000000036152770e+01,2.549632882939423251e+00,2.800000000000012790e+01,2.549999968653191118e+00
1.681124477220409118e-04,1.324636474840876492e-05,2.800000000000000000e+01,2.800000000040911274e+01,2.549613993039648197e+00,2.549999999999999822e+00,2.800000000040911274e+01,2.549613993039648197e+00,2.800000000000014921e+01,2.549999965972133964e+00
1.813588124704496767e-04,1.324636474840876492e-05,2.800000000000000000e+01,2.800000000045861270e+01,2.549595988772213495e+00,2.549999999999999822e+00,2.800000000045861270e+01,2.549595988772213495e+00,2.800000000000017408e+01,2.549999963291095906e+00
1.946051772188584416e-04,1.324636474840876492e-05,2.800000000000000000e+01,2.800000000050996718e+01,2.549578766271750840e+00,2.549999999999999822e+00,2.800000000050996718e+01,2.549578766271750840e+00,2.800000000000019895e+01,2.549999960610077387e+00
2.078515419672672066e-04,1.324636474840876492e-05,2.800000000000000000e+01,2.800000000056310512e+01,2.549562238271220416e+00,2.549999999999999822e+00,2.800000000056310512e+01,2.549562238271220416e+00,2.800000000000022737e+01,2.549999957929075745e+00
2.273525566239458840e-04,1.950101465667867747e-05,2.800000000000000000e+01,2.800000000064445516e+01,2.549539017553684950e+00,2.549999999999999822e+00,2.800000000064445516e+01,2.549539017553684950e+00,2.800000000000027356e+01,2.549999953982194700e+00
