time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.697826717541003820e-17,2.450481159255102433e-14,5.257179184515848097e-20,6.144252100178708619e-21
2.000000000000000000e+00,2.658628348410815818e-16,4.578067179439992114e-14,1.218805034980199392e-19,1.347534301927613357e-20
3.000000000000000000e+00,6.098361873099396056e-16,6.720797789182496457e-14,1.917157037977348386e-19,1.658943473712282546e-20
4.000000000000000000e+00,1.050401295137186494e-15,8.689581215056643274e-14,2.391245199349830491e-19,1.970352645496951735e-20
5.000000000000000000e+00,1.620637321804167421e-15,1.065264515047061168e-13,3.272765575611105024e-19,2.385564874543177722e-20
6.000000000000000000e+00,2.276229162948212686e-15,1.249642252055044708e-13,3.669449744928678613e-19,3.215989332635629094e-20
7.000000000000000000e+00,3.061103994229199724e-15,1.436851648984676667e-13,4.008088446847627459e-19,4.254019905251193459e-20
8.000000000000000000e+00,3.973493903416615639e-15,1.626019087535742544e-13,4.690182901921924473e-19,4.461626019774306452e-20
9.000000000000000000e+00,5.055315123507442394e-15,1.822049253808236362e-13,5.374204177490783044e-19,4.461626019774306452e-20
1.000000000000000000e+01,6.176266543184287834e-15,2.002860487059595278e-13,6.042570036541338407e-19,5.292050477866757824e-20
1.100000000000000000e+01,7.256480849122835361e-15,2.160723710406832009e-13,6.990565719864939262e-19,5.707262706912983811e-20
1.200000000000000000e+01,8.124097959410888130e-15,2.276875294488152772e-13,7.678440636422917097e-19,6.537687165005435785e-20
1.300000000000000000e+01,8.762343407611492953e-15,2.354774027641925790e-13,8.813337907718852809e-19,7.160505508574773561e-20
1.400000000000000000e+01,9.240590498978167613e-15,2.408703106495108298e-13,9.294079621111613152e-19,8.821354424759676305e-20
1.500000000000000000e+01,9.609211698902758666e-15,2.447282407831359430e-13,1.043090371290210898e-18,9.651778882852128278e-20
1.600000000000000000e+01,9.897793854219584192e-15,2.475527637322863799e-13,1.082975555527606305e-18,9.651778882852128278e-20
1.700000000000000000e+01,1.013019534680789295e-14,2.496631929331677222e-13,1.154653277925244452e-18,1.006699111189835427e-19
1.800000000000000000e+01,1.031714938188328801e-14,2.512684830805815739e-13,1.224404179828322292e-18,1.141643085629858692e-19
1.900000000000000000e+01,1.046812571307598950e-14,2.525079373043957385e-13,1.319011066111226270e-18,1.266206754343726488e-19
2.000000000000000000e+01,1.059535406107165861e-14,2.534777725671755101e-13,1.407259444762081777e-18,1.349249200152971685e-19
2.100000000000000000e+01,1.070121413079809713e-14,2.542477726000121224e-13,1.462751875005414393e-18,1.463432563140683651e-19
2.200000000000000000e+01,1.079274690487674114e-14,2.548649885549291612e-13,1.541944197331837078e-18,1.546475008949929089e-19
2.300000000000000000e+01,1.086536470473543287e-14,2.553672199529344854e-13,1.574507463689903862e-18,1.629517454759174046e-19
2.400000000000000000e+01,1.092765409454665666e-14,2.557764063761514473e-13,1.635009627219092965e-18,1.671038677663796644e-19
2.500000000000000000e+01,1.098371209207270833e-14,2.561147517390182149e-13,1.702062980429786646e-18,1.691799289116108064e-19
2.600000000000000000e+01,1.103118352542628039e-14,2.563962656542159375e-13,1.785301625794785666e-18,1.754081123473041842e-19
2.700000000000000000e+01,1.107377288372178378e-14,2.566320500789636993e-13,1.843106240631590225e-18,1.774841734925353021e-19
2.800000000000000000e+01,1.111008178365112964e-14,2.568318853089068585e-13,1.961027654898672250e-18,1.837123569282286798e-19
2.900000000000000000e+01,1.114408457777415342e-14,2.570010579903402171e-13,1.999949428888787889e-18,1.920166015091531996e-19
3.000000000000000000e+01,1.117200317785496130e-14,2.571445904372438620e-13,2.109585515029260945e-18,1.972067543722310184e-19
3.100000000000000000e+01,1.120011804225971239e-14,2.572677692959125448e-13,2.150626791563392806e-18,2.013588766626932783e-19
3.200000000000000000e+01,1.122376789329477237e-14,2.573750882156968219e-13,2.284733497984779783e-18,2.065490295257711211e-19
3.300000000000000000e+01,1.124422844906576818e-14,2.574681331904851842e-13,2.327508912964015265e-18,2.107011518162333810e-19
3.400000000000000000e+01,1.126414927794592449e-14,2.575484902141660219e-13,2.400342727658389672e-18,2.179673658245422937e-19
3.500000000000000000e+01,1.128235279399158205e-14,2.576177452806278261e-13,2.488205742210332771e-18,2.241955492602356955e-19
3.600000000000000000e+01,1.129628756099149328e-14,2.576801277069063878e-13,2.596878418103526251e-18,2.262716104054668615e-19
3.700000000000000000e+01,1.130904474204775155e-14,2.577335228344837863e-13,2.657380581632715162e-18,2.356138855590069162e-19
3.800000000000000000e+01,1.132307764120963361e-14,2.577821599803958630e-13,2.706321822194543777e-18,2.439181301399314359e-19
3.900000000000000000e+01,1.133475536848420658e-14,2.578244531507542278e-13,2.812682313494264351e-18,2.532604052934714905e-19
4.000000000000000000e+01,1.134417605603344288e-14,2.578619883394472710e-13,2.863550374550652886e-18,2.553364664387026084e-19
4.100000000000000000e+01,1.135222289331508143e-14,2.578952942111044726e-13,2.999583901466600170e-18,2.626026804470115933e-19
4.200000000000000000e+01,1.136144731654037452e-14,2.579254280949847931e-13,3.061627521391437557e-18,2.709069250279361130e-19
4.300000000000000000e+01,1.136870909652624495e-14,2.579539759849766729e-13,3.166831920394422255e-18,2.729829861731672309e-19
4.400000000000000000e+01,1.137459702624451606e-14,2.579772372286737509e-13,3.227719448022523381e-18,2.802492001814762158e-19
4.500000000000000000e+01,1.137920923785716339e-14,2.579989124784823883e-13,3.322519016354883659e-18,2.854393530445539864e-19
4.600000000000000000e+01,1.138391958163178154e-14,2.580190017344025851e-13,3.388030913169928672e-18,2.875154141897851043e-19
4.700000000000000000e+01,1.138637288568106143e-14,2.580364476671754315e-13,3.468957373941455748e-18,2.999717810611719080e-19
4.800000000000000000e+01,1.139049443648385152e-14,2.580544222645777075e-13,3.524449804184788941e-18,3.061999644968652617e-19
4.900000000000000000e+01,1.139451785512467237e-14,2.580671102156852321e-13,3.609229905945436244e-18,3.103520867873275456e-19
5.000000000000000000e+01,1.139962072754717379e-14,2.580813841606811468e-13,3.659712602902912179e-18,3.124281479325586635e-19
5.100000000000000000e+01,1.140442920348376433e-14,2.580909001240117903e-13,3.714819669047333157e-18,3.207323925134832314e-19
5.200000000000000000e+01,1.140707877185698586e-14,2.581020020812308743e-13,3.768770642895017104e-18,3.248845148039454672e-19
5.300000000000000000e+01,1.141296670157525855e-14,2.581109893799319871e-13,3.867423852216497224e-18,3.311126982396388691e-19
5.400000000000000000e+01,1.141492934481468277e-14,2.581215626725215909e-13,3.954901502669528879e-18,3.352648205301011048e-19
5.500000000000000000e+01,1.141708825237804864e-14,2.581300213065932740e-13,4.042379153122560533e-18,3.352648205301011048e-19
5.600000000000000000e+01,1.142179859615266679e-14,2.581390086052943868e-13,4.179568772335243692e-18,3.383789122479477576e-19
5.700000000000000000e+01,1.142415376803997586e-14,2.581437665869597085e-13,4.226583192402511616e-18,3.425310345384100416e-19
5.800000000000000000e+01,1.142552761830757361e-14,2.581506392271429510e-13,4.305968196778390216e-18,3.466831568288722774e-19
5.900000000000000000e+01,1.143023796208219018e-14,2.581585691965851539e-13,4.341807057977209674e-18,3.487592179741033952e-19
6.000000000000000000e+01,1.143102301937795987e-14,2.581638558428799558e-13,4.433138349419361170e-18,3.549874014097967971e-19
6.100000000000000000e+01,7.965687282825492304e-12,8.489999744135622702e-13,4.494598090047848486e-18,3.566744545157298761e-19
6.200000000000000000e+01,7.873777877509203905e-12,8.489370633226542788e-13,4.552210022835197515e-18,3.618646073788076468e-19
6.300000000000000000e+01,7.757757203732265030e-12,8.487573173486313164e-13,4.627741386221956273e-18,3.649786990966543959e-19
6.400000000000000000e+01,7.619660718798285132e-12,8.482434553287773775e-13,4.673985078091399767e-18,3.701688519597322147e-19
6.500000000000000000e+01,7.525716444971361793e-12,8.475519619934184979e-13,4.709438575191307395e-18,3.805491576858878523e-19
6.600000000000000000e+01,7.339588584567602141e-12,8.457851648016987252e-13,4.732560421126028756e-18,3.847012799763501362e-19
6.700000000000000000e+01,7.261499916679015467e-12,8.444222673869011124e-13,4.785740666775889813e-18,3.847012799763501362e-19
6.800000000000000000e+01,7.064742969283507203e-12,8.406476019324190033e-13,4.850481835393111166e-18,3.847012799763501362e-19
6.900000000000000000e+01,6.917077813500037728e-12,8.367598022472283350e-13,4.938344849945053880e-18,3.888534022668123720e-19
7.000000000000000000e+01,6.780879204578581232e-12,8.317025964016294002e-13,4.986900726407970665e-18,3.930055245572746078e-19
7.100000000000000000e+01,6.587523714181318011e-12,8.242547691015251769e-13,5.043163884849127133e-18,4.137661360095859313e-19
7.200000000000000000e+01,6.414316523015660040e-12,8.157982496883745645e-13,5.154148745335792750e-18,4.220703805905104028e-19
7.300000000000000000e+01,6.340366873454694326e-12,8.107600757694369167e-13,5.221972826744310284e-18,4.303746251714349226e-19
7.400000000000000000e+01,6.333494089358878646e-12,8.085132510941499374e-13,5.274382344196346911e-18,4.345267474618972547e-19
7.500000000000000000e+01,6.393516822492890879e-12,8.097989634730435431e-13,5.379201379100419393e-18,4.428309920428217263e-19
7.600000000000000000e+01,6.442896926396802086e-12,8.111047651078573961e-13,5.391533030265604120e-18,4.428309920428217263e-19
7.700000000000000000e+01,6.463894068829457364e-12,8.114949196044130711e-13,5.584215079721620857e-18,4.428309920428217263e-19
7.800000000000000000e+01,6.489218447076394348e-12,8.121557503912622005e-13,5.629109997244873330e-18,4.513947442669001417e-19
7.900000000000000000e+01,6.573688256929322114e-12,8.149090357815903960e-13,5.703099904235982457e-18,4.513947442669001417e-19
8.000000000000000000e+01,6.722599102376853343e-12,8.202157713323034765e-13,5.808689667337880141e-18,4.513947442669001417e-19
8.100000000000000000e+01,6.856518493704367427e-12,8.255151055782038343e-13,5.891928312702878583e-18,4.513947442669001417e-19
8.200000000000000000e+01,6.951363228249538063e-12,8.298913913810333924e-13,5.938172004572322846e-18,4.596989888478246133e-19
8.300000000000000000e+01,7.013678721215845930e-12,8.334313297400267001e-13,6.095400556928431956e-18,4.596989888478246133e-19
8.400000000000000000e+01,7.060545071658702289e-12,8.365631390050620064e-13,6.174785561304310556e-18,4.607370194204401964e-19
8.500000000000000000e+01,7.113470886838957572e-12,8.400893320836888292e-13,6.335097026451716617e-18,4.690412640013647642e-19
8.600000000000000000e+01,7.216110847802472849e-12,8.468816152432387251e-13,6.446081886938381463e-18,4.773455085822892358e-19
8.700000000000000000e+01,7.319939778040431871e-12,8.540756835211929611e-13,6.486159753225233364e-18,4.773455085822892358e-19
8.800000000000000000e+01,7.434505151855337055e-12,8.625110563491644668e-13,6.560149660216343261e-18,4.856497531632137074e-19
8.900000000000000000e+01,7.552873735739597334e-12,8.727301436369991113e-13,6.572866675480440588e-18,4.939539977441382753e-19
9.000000000000000000e+01,7.623314179188474010e-12,8.798015617209140438e-13,6.653022408054142848e-18,5.022582423250627469e-19
9.100000000000000000e+01,7.676939872947906800e-12,8.858896635939975355e-13,6.802350996382555974e-18,5.105624869059873148e-19
9.200000000000000000e+01,7.736763594057442292e-12,8.932529045533851301e-13,6.876340903373665871e-18,5.105624869059873148e-19
9.300000000000000000e+01,7.782885710183908137e-12,8.988271444066146829e-13,7.005823240608110117e-18,5.105624869059873148e-19
9.400000000000000000e+01,7.829476505515950795e-12,9.043612057480039431e-13,7.072876593818802450e-18,5.199047620595273694e-19
9.500000000000000000e+01,7.926707814240261394e-12,9.163280583008970734e-13,7.085208244983987176e-18,5.365132512213764089e-19
9.600000000000000000e+01,8.003622232678700917e-12,9.262521507254822756e-13,7.149949413601208529e-18,5.365132512213764089e-19
9.700000000000000000e+01,8.113272362764791472e-12,9.413106340315704196e-13,7.186944367096764248e-18,5.365132512213764089e-19
9.800000000000000000e+01,8.193193943174677510e-12,9.533324677059293890e-13,7.257851361296577964e-18,5.406653735118386447e-19
9.900000000000000000e+01,8.267134564576742691e-12,9.651174596262816361e-13,7.282514663626948957e-18,5.489696180927631162e-19
1.000000000000000000e+02,8.333605758338205989e-12,9.768654450225703708e-13,7.314885247935559633e-18,5.489696180927631162e-19
