time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.384773764053339316e-17,2.450529069487148917e-14,4.639075846003783672e-20,4.160596203370420286e-21
2.000000000000000000e+00,1.572650311271489625e-16,4.578053962824255109e-14,8.784016718681587691e-20,8.020772395284550439e-21
3.000000000000000000e+00,3.801528789424806792e-16,6.720744922719548438e-14,1.385878019622941770e-19,1.009683354051567887e-20
4.000000000000000000e+00,6.649450628319260341e-16,8.689442440591405354e-14,2.108104532810500557e-19,1.697378608409379301e-20
5.000000000000000000e+00,1.030767962825306669e-15,1.065242046800308386e-13,2.529355663433715833e-19,2.320196951978717981e-20
6.000000000000000000e+00,1.447984516021045042e-15,1.249615818823570698e-13,3.179416727785951080e-19,3.358227524594282647e-20
7.000000000000000000e+00,1.948107412932145191e-15,1.436815964122186881e-13,3.606448319892846696e-19,4.603864211732959404e-20
8.000000000000000000e+00,2.532119508493349335e-15,1.625986045996400158e-13,3.949422367924555557e-19,5.849500898871636762e-20
9.000000000000000000e+00,3.225352700328506675e-15,1.822013568945746575e-13,4.225921108893939541e-19,6.264713127917862749e-20
1.000000000000000000e+01,3.943796657900078814e-15,2.002824802197105491e-13,4.560465317261947304e-19,7.095137586010313519e-20
1.100000000000000000e+01,4.633015630984601447e-15,2.160688025544342223e-13,5.042170440901988185e-19,7.095137586010313519e-20
1.200000000000000000e+01,5.189694852806763196e-15,2.276836966302515332e-13,5.208840413681442332e-19,7.925562044102765493e-20
1.300000000000000000e+01,5.598212909832772704e-15,2.354723804502125424e-13,6.015214790654870515e-19,8.859789559456773361e-20
1.400000000000000000e+01,5.906304965601498199e-15,2.408659491663176056e-13,6.295567172613374245e-19,9.690214017549225335e-20
1.500000000000000000e+01,6.144631187468820274e-15,2.447233506353132386e-13,7.326416137203060941e-19,1.072824459016478910e-19
1.600000000000000000e+01,6.330530301803024318e-15,2.475482700829358235e-13,7.888084311367348938e-19,1.083204764742634620e-19
1.700000000000000000e+01,6.478182406008950973e-15,2.496589636161318806e-13,8.850531148400150162e-19,1.103965376194945799e-19
1.800000000000000000e+01,6.597817777972098145e-15,2.512624034373425769e-13,9.366919040942272123e-19,1.166247210551879817e-19
1.900000000000000000e+01,6.694330759270779265e-15,2.525031793227304673e-13,1.059623051647165725e-18,1.166247210551879817e-19
2.000000000000000000e+01,6.775216193775546245e-15,2.534746005793986289e-13,1.101627738428577161e-18,1.311571490718058551e-19
2.100000000000000000e+01,6.841455403106111201e-15,2.542448649445499561e-13,1.154037255880613787e-18,1.353092713622681391e-19
2.200000000000000000e+01,6.898004061442018535e-15,2.548634025610407207e-13,1.279087905977568328e-18,1.394613936527303989e-19
2.300000000000000000e+01,6.946481349455794617e-15,2.553661626236755251e-13,1.341324207951861437e-18,1.404994242253459579e-19
2.400000000000000000e+01,6.988580046941442349e-15,2.557764063761514473e-13,1.416277525190251873e-18,1.467276076610393357e-19
2.500000000000000000e+01,7.024373753020439846e-15,2.561129014128150090e-13,1.464062673455343842e-18,1.508797299515015955e-19
2.600000000000000000e+01,7.054328595462150853e-15,2.563946796603274970e-13,1.582754815920250104e-18,1.571079133871949733e-19
2.700000000000000000e+01,7.080358151425013404e-15,2.566307284173899736e-13,1.623796092454381388e-18,1.612600356776572332e-19
2.800000000000000000e+01,7.106044244820976518e-15,2.568281846565004972e-13,1.680829979093362286e-18,1.664501885407350520e-19
2.900000000000000000e+01,7.127191725725771201e-15,2.569965643409896607e-13,1.721678573578037847e-18,1.726783719764284297e-19
3.000000000000000000e+01,7.146474695553114050e-15,2.571393037909490601e-13,1.766766173150745657e-18,1.799445859847374146e-19
3.100000000000000000e+01,7.164089418626945122e-15,2.572627469819325082e-13,1.793163613926219501e-18,1.830586777025840915e-19
3.200000000000000000e+01,7.177533524817000694e-15,2.573692729047725398e-13,1.859253556889633029e-18,1.882488305656619103e-19
3.300000000000000000e+01,7.189849111144387137e-15,2.574623178795609021e-13,1.902414335967781111e-18,1.924009528561241701e-19
3.400000000000000000e+01,7.204225472873168626e-15,2.575421462386123101e-13,1.971972555821402651e-18,1.955150445739708711e-19
3.500000000000000000e+01,7.216393860957598843e-15,2.576129872989625044e-13,2.039796637229920571e-18,2.038192891548953667e-19
3.600000000000000000e+01,7.227679059584286975e-15,2.576764270545000265e-13,2.090472016236852806e-18,2.121235337358198865e-19
