time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
1.485340012466581404e-07,1.485340012466581404e-07,2.800000000000000000e+01,2.800000000000000355e+01,2.549999385003769881e+00,2.550000000000022471e+00,2.800000000000000355e+01,2.549999385003769881e+00,2.800000000000000000e+01,2.549999999969932762e+00
2.970680024933162808e-07,1.485340012466581404e-07,2.800000000000000000e+01,2.800000000000001066e+01,2.549998770927986769e+00,2.550000000000051337e+00,2.800000000000001066e+01,2.549998770927986769e+00,2.800000000000000000e+01,2.549999999939864370e+00
6.368557048809498738e-07,3.397877023876335930e-07,2.800000000000000000e+01,2.800000000000003553e+01,2.549997369288854454e+00,2.550000000000069100e+00,2.800000000000003553e+01,2.549997369288854454e+00,2.800000000000000000e+01,2.549999999871081613e+00
9.766434072685834668e-07,3.397877023876335930e-07,2.800000000000000000e+01,2.800000000000007461e+01,2.549995972346034812e+00,2.550000000000049560e+00,2.800000000000007461e+01,2.549995972346034812e+00,2.800000000000000000e+01,2.549999999802298856e+00
1.316431109656217060e-06,3.397877023876335930e-07,2.800000000000000000e+01,2.800000000000012790e+01,2.549994580225104279e+00,2.550000000000001599e+00,2.800000000000012790e+01,2.549994580225104279e+00,2.800000000000000000e+01,2.549999999733515654e+00
2.091636595009171134e-06,7.752054853529540743e-07,2.800000000000000000e+01,2.800000000000029843e+01,2.549991422281108200e+00,2.550000000000000711e+00,2.800000000000029843e+01,2.549991422281108200e+00,2.800000000000000000e+01,2.549999999576591403e+00
2.866842080362125208e-06,7.752054853529540743e-07,2.800000000000000000e+01,2.800000000000052580e+01,2.549988289298557032e+00,2.549999999999999822e+00,2.800000000000052580e+01,2.549988289298557032e+00,2.800000000000000000e+01,2.549999999419668040e+00
3.642047565715079283e-06,7.752054853529540743e-07,2.800000000000000000e+01,2.800000000000079936e+01,2.549985181002996981e+00,2.549999999999999822e+00,2.800000000000079936e+01,2.549985181002996981e+00,2.800000000000000000e+01,2.549999999262744232e+00
5.317075184166245532e-06,1.675027618451166249e-06,2.800000000000000000e+01,2.800000000000153122e+01,2.549978547699868869e+00,2.549999999999999822e+00,2.800000000000153122e+01,2.549978547699868869e+00,2.800000000000000000e+01,2.549999998923671463e+00
6.992102802617411781e-06,1.675027618451166249e-06,2.800000000000000000e+01,2.800000000000241585e+01,2.549972025427138966e+00,2.549999999999999822e+00,2.800000000000241585e+01,2.549972025427138966e+00,2.800000000000000000e+01,2.549999998584599137e+00
8.667130421068578030e-06,1.675027618451166249e-06,2.800000000000000000e+01,2.800000000000342126e+01,2.549965611319055636e+00,2.549999999999999822e+00,2.800000000000342126e+01,2.549965611319055636e+00,2.800000000000000000e+01,2.549999998245528143e+00
1.034215803951974428e-05,1.675027618451166249e-06,2.800000000000000000e+01,2.800000000000454392e+01,2.549959302611702672e+00,2.549999999999999822e+00,2.800000000000454392e+01,2.549959302611702672e+00,2.800000000000000000e+01,2.549999997906458038e+00
1.376376460635251307e-05,3.421606566832768788e-06,2.800000000000000000e+01,2.800000000000715517e+01,2.549946732323513210e+00,2.549999999999999822e+00,2.800000000000715517e+01,2.549946732323513210e+00,2.800000000000000000e+01,2.549999997213836966e+00
1.718537117318528186e-05,3.421606566832768788e-06,2.800000000000000000e+01,2.800000000001012879e+01,2.549934569118610828e+00,2.549999999999999822e+00,2.800000000001012879e+01,2.549934569118610828e+00,2.800000000000000000e+01,2.549999996521218559e+00
2.060697774001805064e-05,3.421606566832768788e-06,2.800000000000000000e+01,2.800000000001343636e+01,2.549922792444782260e+00,2.549999999999999822e+00,2.800000000001343636e+01,2.549922792444782260e+00,2.800000000000000000e+01,2.549999995828603705e+00
2.402858430685081943e-05,3.421606566832768788e-06,2.800000000000000000e+01,2.800000000001703526e+01,2.549911382962280371e+00,2.549999999999999822e+00,2.800000000001703526e+01,2.549911382962280371e+00,2.800000000000000000e+01,2.549999995135991515e+00
3.034700610310916047e-05,6.318421796258341037e-06,2.800000000000000000e+01,2.800000000002439648e+01,2.549891218094955114e+00,2.549999999999999822e+00,2.800000000002439648e+01,2.549891218094955114e+00,2.800000000000000711e+01,2.549999993857006153e+00
