time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.424210083139731780e-18,4.040286389256119829e-15,5.824794503449516603e-20,5.508518562991958610e-21
2.000000000000000000e+00,2.927826718437023960e-17,7.572426944964616851e-15,1.002902650286910840e-19,9.401133210300325732e-21
3.000000000000000000e+00,6.805503765578941280e-17,1.099027681608755891e-14,1.388507601760763535e-19,1.511030135968592854e-20
4.000000000000000000e+00,1.198853023131675335e-16,1.417931402726399818e-14,1.750930494159439053e-19,1.926242365014818540e-20
5.000000000000000000e+00,1.836804074846365734e-16,1.735235913339868688e-14,2.053561738086294756e-19,2.704765294476491663e-20
6.000000000000000000e+00,2.571936633213166401e-16,2.051925851321568097e-14,2.480232051350461013e-19,3.016174466261161153e-20
7.000000000000000000e+00,3.413619253070266244e-16,2.349557429410539082e-14,2.982650495307023354e-19,3.742795867092056630e-20
8.000000000000000000e+00,4.175554158175452801e-16,2.588196643157489792e-14,3.464355618947063754e-19,5.092235611492289884e-20
9.000000000000000000e+00,4.650483155815476096e-16,2.719662319893251892e-14,4.092499100173677591e-19,5.766955483692406811e-20
1.000000000000000000e+01,4.942365005078583557e-16,2.797944334903397544e-14,4.438845084070866892e-19,6.804986056307971778e-20
1.100000000000000000e+01,5.185978097172103120e-16,2.847004412519075751e-14,5.021708283675316136e-19,7.220198285354197765e-20
1.200000000000000000e+01,5.322136471907153066e-16,2.879319037995996956e-14,5.534724240351959584e-19,8.050622743446648535e-20
1.300000000000000000e+01,5.433884471351863675e-16,2.901139670577754650e-14,5.941283364704153151e-19,8.984850258800655200e-20
1.400000000000000000e+01,5.521651423714862203e-16,2.916550244527075744e-14,6.351214424921828121e-19,9.659570131000773331e-20
1.500000000000000000e+01,5.605554422200243047e-16,2.927599335283192826e-14,6.984174957384842242e-19,1.054189611772400325e-19
1.600000000000000000e+01,5.640514004902485641e-16,2.935939019813228972e-14,7.331002646405671330e-19,1.095710834677022924e-19
1.700000000000000000e+01,5.682465504145176557e-16,2.942177262441084510e-14,7.751049514219786655e-19,1.173563127623190206e-19
1.800000000000000000e+01,5.747110065843708637e-16,2.946882377643450016e-14,8.181693894753982122e-19,1.215084350527812805e-19
