time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
5.223711520826590154e-07,5.223711520826590154e-07,2.800000000000000000e+01,2.800000000000004974e+01,2.549997844168770733e+00,2.549999999999999822e+00,2.800000000000004974e+01,2.549997844168770733e+00,2.800000000000000000e+01,2.549999999894256852e+00
1.044742304165318031e-06,5.223711520826590154e-07,2.800000000000000000e+01,2.800000000000015277e+01,2.549995699613250899e+00,2.549999999999999822e+00,2.800000000000015277e+01,2.549995699613250899e+00,2.800000000000000000e+01,2.549999999788512994e+00
2.073040028436118030e-06,1.028297724270799999e-06,2.800000000000000000e+01,2.800000000000046896e+01,2.549991507112681077e+00,2.549999999999999822e+00,2.800000000000046896e+01,2.549991507112681077e+00,2.800000000000000000e+01,2.549999999580356391e+00
3.101337752706918028e-06,1.028297724270799999e-06,2.800000000000000000e+01,2.800000000000092726e+01,2.549987356332690247e+00,2.549999999999999822e+00,2.800000000000092726e+01,2.549987356332690247e+00,2.800000000000000000e+01,2.549999999372198900e+00
4.129635476977718027e-06,1.028297724270799999e-06,2.800000000000000000e+01,2.800000000000150635e+01,2.549983248188180340e+00,2.549999999999999822e+00,2.800000000000150635e+01,2.549983248188180340e+00,2.800000000000000000e+01,2.549999999164042297e+00
6.758985427001200851e-06,2.629349950023482824e-06,2.800000000000000000e+01,2.800000000000340350e+01,2.549972934352643161e+00,2.549999999999999822e+00,2.800000000000340350e+01,2.549972934352643161e+00,2.800000000000000000e+01,2.549999998631788500e+00
9.388335377024683675e-06,2.629349950023482824e-06,2.800000000000000000e+01,2.800000000000581579e+01,2.549962887729232186e+00,2.549999999999999822e+00,2.800000000000581579e+01,2.549962887729232186e+00,2.800000000000000000e+01,2.549999998099537368e+00
1.201768532704816650e-05,2.629349950023482824e-06,2.800000000000000000e+01,2.800000000000864375e+01,2.549953098282188524e+00,2.549999999999999822e+00,2.800000000000864375e+01,2.549953098282188524e+00,2.800000000000000000e+01,2.549999997567287569e+00
1.684583317334554083e-05,4.828147846297374329e-06,2.800000000000000000e+01,2.800000000001472955e+01,2.549935760341486723e+00,2.549999999999999822e+00,2.800000000001472955e+01,2.549935760341486723e+00,2.800000000000000000e+01,2.549999996589949358e+00
2.167398101964291516e-05,4.828147846297374329e-06,2.800000000000000000e+01,2.800000000002179590e+01,2.549919197939281013e+00,2.549999999999999822e+00,2.800000000002179590e+01,2.549919197939281013e+00,2.800000000000000000e+01,2.549999995612617365e+00
2.650212886594028949e-05,4.828147846297374329e-06,2.800000000000000000e+01,2.800000000002972556e+01,2.549903355644607572e+00,2.549999999999999822e+00,2.800000000002972556e+01,2.549903355644607572e+00,2.800000000000000711e+01,2.549999994635291589e+00
3.133027671223766381e-05,4.828147846297374329e-06,2.800000000000000000e+01,2.800000000003842970e+01,2.549888183090245342e+00,2.549999999999999822e+00,2.800000000003842970e+01,2.549888183090245342e+00,2.800000000000001066e+01,2.549999993657971586e+00
3.939514554076891490e-05,8.064868828531251087e-06,2.800000000000000000e+01,2.800000000005455547e+01,2.549864208518143993e+00,2.549999999999999822e+00,2.800000000005455547e+01,2.549864208518143993e+00,2.800000000000001066e+01,2.549999992025483664e+00
4.746001436930016599e-05,8.064868828531251087e-06,2.800000000000000000e+01,2.800000000007246825e+01,2.549841783933329609e+00,2.549999999999999822e+00,2.800000000007246825e+01,2.549841783933329609e+00,2.800000000000001776e+01,2.549999990393010396e+00
5.552488319783141708e-05,8.064868828531251087e-06,2.800000000000000000e+01,2.800000000009200463e+01,2.549820741992951501e+00,2.549999999999999822e+00,2.800000000009200463e+01,2.549820741992951501e+00,2.800000000000001776e+01,2.549999988760550451e+00
6.358975202636266816e-05,8.064868828531251087e-06,2.800000000000000000e+01,2.800000000011303669e+01,2.549800935332946938e+00,2.549999999999999822e+00,2.800000000011303669e+01,2.549800935332946938e+00,2.800000000000002842e+01,2.549999987128104717e+00
7.165462085489391925e-05,8.064868828531251087e-06,2.800000000000000000e+01,2.800000000013546853e+01,2.549782234377511170e+00,2.549999999999999822e+00,2.800000000013546853e+01,2.549782234377511170e+00,2.800000000000002842e+01,2.549999985495671417e+00
8.299836744894073450e-05,1.134374659404681525e-05,2.800000000000000000e+01,2.800000000016920865e+01,2.549757585531256865e+00,2.549999999999999822e+00,2.800000000016920865e+01,2.549757585531256865e+00,2.800000000000004619e+01,2.549999983199570330e+00
9.434211404298754975e-05,1.134374659404681525e-05,2.800000000000000000e+01,2.800000000020536461e+01,2.549734630602472851e+00,2.549999999999999822e+00,2.800000000020536461e+01,2.549734630602472851e+00,2.800000000000006040e+01,2.549999980903490560e+00
1.056858606370343650e-04,1.134374659404681525e-05,2.800000000000000000e+01,2.800000000024379787e+01,2.549713143609065202e+00,2.549999999999999822e+00,2.800000000024379787e+01,2.549713143609065202e+00,2.800000000000007461e+01,2.549999978607431217e+00
1.170296072310811802e-04,1.134374659404681525e-05,2.800000000000000000e+01,2.800000000028435565e+01,2.549692934371963204e+00,2.549999999999999822e+00,2.800000000028435565e+01,2.549692934371963204e+00,2.800000000000008527e+01,2.549999976311390526e+00
1.283733538251279819e-04,1.134374659404680170e-05,2.800000000000000000e+01,2.800000000032694913e+01,2.549673842409641455e+00,2.549999999999999822e+00,2.800000000032694913e+01,2.549673842409641455e+00,2.800000000000010658e+01,2.549999974015368487e+00
1.416197185609583754e-04,1.324636473583039342e-05,2.800000000000000000e+01,2.800000000037912073e+01,2.549652782874137102e+00,2.549999999999999822e+00,2.800000000037912073e+01,2.549652782874137102e+00,2.800000000000012790e+01,2.549999971334268700e+00
