time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
1.485340012466545670e-07,1.485340012466545670e-07,2.800000000000000000e+01,2.800000000000000355e+01,2.549999385003769881e+00,2.550000000000022471e+00,2.800000000000000355e+01,2.549999385003769881e+00,2.800000000000000000e+01,2.549999999969932762e+00
2.970680024933091340e-07,1.485340012466545670e-07,2.800000000000000000e+01,2.800000000000001066e+01,2.549998770927986769e+00,2.550000000000051337e+00,2.800000000000001066e+01,2.549998770927986769e+00,2.800000000000000000e+01,2.549999999939864370e+00
6.368557048808446300e-07,3.397877023875354960e-07,2.800000000000000000e+01,2.800000000000004974e+01,2.549997369288854454e+00,2.550000000000069100e+00,2.800000000000004974e+01,2.549997369288854454e+00,2.800000000000000000e+01,2.549999999871081613e+00
9.766434072683801789e-07,3.397877023875355490e-07,2.800000000000000000e+01,2.800000000000010658e+01,2.549995972346034812e+00,2.550000000000049560e+00,2.800000000000010658e+01,2.549995972346034812e+00,2.800000000000000000e+01,2.549999999802298856e+00
1.316431109655915728e-06,3.397877023875355490e-07,2.800000000000000000e+01,2.800000000000018829e+01,2.549994580225104279e+00,2.550000000000001599e+00,2.800000000000018829e+01,2.549994580225104279e+00,2.800000000000000000e+01,2.549999999733515654e+00
2.091636595007639699e-06,7.752054853517239707e-07,2.800000000000000000e+01,2.800000000000044409e+01,2.549991422281108200e+00,2.550000000000000711e+00,2.800000000000044409e+01,2.549991422281108200e+00,2.800000000000000000e+01,2.549999999576591403e+00
2.866842080359363457e-06,7.752054853517237589e-07,2.800000000000000000e+01,2.800000000000078515e+01,2.549988289298557032e+00,2.549999999999999822e+00,2.800000000000078515e+01,2.549988289298557032e+00,2.800000000000000000e+01,2.549999999419668040e+00
3.642047565711087216e-06,7.752054853517237589e-07,2.800000000000000000e+01,2.800000000000119726e+01,2.549985181002996981e+00,2.549999999999999822e+00,2.800000000000119726e+01,2.549985181002996981e+00,2.800000000000000000e+01,2.549999999262744232e+00
5.317075184132399789e-06,1.675027618421312573e-06,2.800000000000000000e+01,2.800000000000229150e+01,2.549978547699868869e+00,2.549999999999999822e+00,2.800000000000229150e+01,2.549978547699868869e+00,2.800000000000000000e+01,2.549999998923671463e+00
6.992102802553712362e-06,1.675027618421312573e-06,2.800000000000000000e+01,2.800000000000361311e+01,2.549972025427138966e+00,2.549999999999999822e+00,2.800000000000361311e+01,2.549972025427138966e+00,2.800000000000000000e+01,2.549999998584599137e+00
8.667130420975024935e-06,1.675027618421312573e-06,2.800000000000000000e+01,2.800000000000513012e+01,2.549965611319055636e+00,2.549999999999999822e+00,2.800000000000513012e+01,2.549965611319055636e+00,2.800000000000000000e+01,2.549999998245528143e+00
1.034215803939633836e-05,1.675027618421313420e-06,2.800000000000000000e+01,2.800000000000681055e+01,2.549959302611702672e+00,2.549999999999999822e+00,2.800000000000681055e+01,2.549959302611702672e+00,2.800000000000000000e+01,2.549999997906458038e+00
1.376376460814738605e-05,3.421606568751047692e-06,2.800000000000000000e+01,2.800000000001072564e+01,2.549946732323506104e+00,2.549999999999999822e+00,2.800000000001072564e+01,2.549946732323506104e+00,2.800000000000000000e+01,2.549999997213836966e+00
1.718537117689843374e-05,3.421606568751047692e-06,2.800000000000000000e+01,2.800000000001519496e+01,2.549934569118596617e+00,2.549999999999999822e+00,2.800000000001519496e+01,2.549934569118596617e+00,2.800000000000000000e+01,2.549999996521218559e+00
2.060697774564948143e-05,3.421606568751047692e-06,2.800000000000000000e+01,2.800000000002014744e+01,2.549922792444763164e+00,2.549999999999999822e+00,2.800000000002014744e+01,2.549922792444763164e+00,2.800000000000000000e+01,2.549999995828603705e+00
2.402858431440052912e-05,3.421606568751047692e-06,2.800000000000000000e+01,2.800000000002555112e+01,2.549911382962255058e+00,2.549999999999999822e+00,2.800000000002555112e+01,2.549911382962255058e+00,2.800000000000000000e+01,2.549999995135991515e+00
3.034700835484322443e-05,6.318424040442695310e-06,2.800000000000000000e+01,2.800000000003658940e+01,2.549891218087967371e+00,2.549999999999999822e+00,2.800000000003658940e+01,2.549891218087967371e+00,2.800000000000001066e+01,2.549999993857005709e+00
3.666543239528591974e-05,6.318424040442695310e-06,2.800000000000000000e+01,2.800000000004888889e+01,2.549872137781189707e+00,2.549999999999999822e+00,2.800000000004888889e+01,2.549872137781189707e+00,2.800000000000001066e+01,2.549999992578029229e+00
4.298385643572861506e-05,6.318424040442695310e-06,2.800000000000000000e+01,2.800000000006231815e+01,2.549854046875907887e+00,2.549999999999999822e+00,2.800000000006231815e+01,2.549854046875907887e+00,2.800000000000001776e+01,2.549999991299062518e+00
