time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.101749126179461738e-18,4.038369979974258077e-15,7.526756407024448672e-20,6.539979873217503209e-21
2.000000000000000000e+00,5.566355223437838237e-17,7.569254957187740432e-15,1.647314954940353287e-19,1.147062509314143379e-20
3.000000000000000000e+00,1.340669330330376893e-16,1.098832736526635543e-14,2.609460726270880005e-19,1.666077795621925562e-20
4.000000000000000000e+00,2.406614606592299399e-16,1.417706720258871051e-14,3.576604188259171326e-19,2.314846903506653215e-20
5.000000000000000000e+00,3.773488290799050050e-16,1.734964972717260720e-14,4.254724576063438406e-19,2.522453018029765907e-20
6.000000000000000000e+00,5.424929911571991125e-16,2.051641694083223125e-14,5.387213321741174698e-19,3.041468304337548692e-20
7.000000000000000000e+00,7.234180315314879436e-16,2.349273272172193795e-14,6.276681832542509098e-19,3.352877476122218182e-20
8.000000000000000000e+00,8.881451319204044025e-16,2.587853011148328298e-14,6.677942200534663076e-19,3.768089705168443567e-20
9.000000000000000000e+00,9.955139836371508358e-16,2.719212954958194675e-14,7.756961677488354535e-19,4.235203462845447501e-20
1.000000000000000000e+01,1.068788042329025951e-15,2.797415670273918299e-14,8.698695194204635262e-19,5.325135564091789814e-20
1.100000000000000000e+01,1.116621338029865982e-15,2.846515397736807204e-14,9.344180059882287712e-19,6.363166136707354781e-20
1.200000000000000000e+01,1.150918528638802603e-15,2.878882889676676429e-14,1.017801162890320016e-18,6.674575308492023669e-20
1.300000000000000000e+01,1.179695785136858877e-15,2.900822471800067166e-14,1.139335365584702085e-18,7.089787537538249656e-20
1.400000000000000000e+01,1.202266182390236520e-15,2.916299128828073284e-14,1.233845910842878105e-18,7.868310466999922479e-20
1.500000000000000000e+01,1.218126793068832730e-15,2.927348219584190366e-14,1.329801571471974259e-18,8.283522696046148466e-20
1.600000000000000000e+01,1.228626934399751761e-15,2.935568954572593469e-14,1.458802203582777177e-18,9.165848682769378387e-20
1.700000000000000000e+01,1.237863624145291594e-15,2.941701464274552969e-14,1.519015344037782215e-18,9.788667026338717367e-20
1.800000000000000000e+01,1.246474721358264904e-15,2.946433012708392484e-14,1.646185496678752976e-18,1.025578078401572010e-19
1.900000000000000000e+01,1.250841602565983615e-15,2.950027932188852110e-14,1.714972988334550664e-18,1.087859912758506028e-19
2.000000000000000000e+01,1.259845228426841771e-15,2.952829854725092079e-14,1.785976323559092722e-18,1.134571288526206301e-19
2.100000000000000000e+01,1.262126801192672339e-15,2.955261712020697176e-14,1.871141789418652240e-18,1.196853122883140079e-19
2.200000000000000000e+01,1.266616347602855163e-15,2.957323504075666139e-14,1.934437842664953267e-18,1.290275874418541106e-19
2.300000000000000000e+01,1.268284594356365560e-15,2.958962364427052210e-14,2.021530129019072706e-18,1.300656180144696696e-19
2.400000000000000000e+01,1.271204026175009002e-15,2.960151859843380118e-14,2.086174956611565909e-18,1.331797097323163705e-19
2.500000000000000000e+01,1.274638651844001205e-15,2.961262055565286628e-14,2.157659996959748525e-18,1.368128167364708148e-19
2.600000000000000000e+01,1.275619973463713319e-15,2.962028619278031645e-14,2.242151075646211378e-18,1.456360766037031260e-19
2.700000000000000000e+01,1.274589585763015599e-15,2.962742316527828642e-14,2.277411890696662321e-18,1.508262294667809449e-19
2.800000000000000000e+01,1.280820978048187328e-15,2.963270981157308203e-14,2.335987233731290925e-18,1.549783517572432047e-19
2.900000000000000000e+01,1.282930819530568176e-15,2.964090411333001238e-14,2.404582043337632890e-18,1.601685046203210235e-19
3.000000000000000000e+01,1.282489224801697725e-15,2.964301877184792684e-14,2.495142606581960726e-18,1.643206269107832834e-19
3.100000000000000000e+01,1.284697198446049982e-15,2.964883408277220264e-14,2.548130170182365098e-18,1.700297950601688937e-19
3.200000000000000000e+01,1.284697198446049982e-15,2.965227040286381758e-14,2.596493364595825197e-18,1.726248714917078032e-19
3.300000000000000000e+01,1.284746264527035588e-15,2.965597105527017261e-14,2.687246609889608948e-18,1.747009326369389451e-19
3.400000000000000000e+01,1.283176149935496205e-15,2.965914304304704745e-14,2.788790049952929720e-18,1.798910855000167639e-19
3.500000000000000000e+01,1.282194828315784090e-15,2.966125770156496191e-14,2.874148197861944768e-18,1.819671466452478818e-19
3.600000000000000000e+01,1.283372414259438628e-15,2.966231503082392230e-14,2.941586915171550472e-18,1.866382842220179091e-19
3.700000000000000000e+01,1.247946703787833075e-15,2.958512999491994678e-14,2.998428119761075071e-18,1.913094217987879605e-19
3.800000000000000000e+01,1.204866684682473426e-15,2.950107231883274139e-14,3.071839980603817608e-18,1.985756358070968972e-19
3.900000000000000000e+01,1.164926894760192345e-15,2.942547327681720014e-14,3.163749318194336849e-18,2.006516969523280392e-19
4.000000000000000000e+01,1.129010523478730735e-15,2.935674687498489507e-14,3.250263558400088158e-18,2.068798803880214170e-19
4.100000000000000000e+01,1.092309094901499632e-15,2.929436444870633969e-14,3.314619362918397295e-18,2.105129873921759094e-19
4.200000000000000000e+01,1.062084389014367891e-15,2.923726866872257361e-14,3.375314208497042891e-18,2.141460943963304018e-19
4.300000000000000000e+01,1.032350343937092405e-15,2.918228754725672830e-14,3.451038253933257179e-18,2.203742778320237555e-19
4.400000000000000000e+01,1.002223770211932072e-15,2.913312173671515247e-14,3.557206063183521453e-18,2.250454154087938310e-19
4.500000000000000000e+01,9.761206151275910146e-16,2.908765657857993168e-14,3.639673980350697005e-18,2.312735988444871847e-19
4.600000000000000000e+01,9.501155922052213654e-16,2.904694940211003262e-14,3.739097917870001555e-18,2.385398128527961214e-19
4.700000000000000000e+01,9.255825517124196906e-16,2.900624222564012725e-14,3.795553758360614324e-18,2.432109504295661968e-19
4.800000000000000000e+01,9.006569825717333672e-16,2.897082169546501118e-14,3.829658481114328621e-18,2.463250421474128978e-19
4.900000000000000000e+01,8.767127350507588623e-16,2.893804448843729607e-14,3.922145864853217148e-18,2.515151950104907166e-19
5.000000000000000000e+01,8.559087167128631232e-16,2.890526728140958096e-14,3.989584582162822082e-18,2.556673173009529524e-19
5.100000000000000000e+01,8.358897556707369770e-16,2.887619072678822088e-14,4.055481843076779695e-18,2.593004243051073967e-19
5.200000000000000000e+01,8.170483805722653680e-16,2.885028615994373565e-14,4.126388837276594181e-18,2.650095924544930551e-19
5.300000000000000000e+01,7.982070054737936604e-16,2.882385292846977022e-14,4.213481123630713235e-18,2.696807300312630824e-19
5.400000000000000000e+01,7.774029871358979213e-16,2.879847702625476517e-14,4.305390461221233632e-18,2.759089134669564361e-19
5.500000000000000000e+01,7.640570131078138567e-16,2.877838777033454943e-14,4.388821788635688374e-18,2.790230051848031852e-19
5.600000000000000000e+01,7.448231093614573034e-16,2.875618385589641923e-14,4.449131270115421755e-18,2.831751274752654210e-19
5.700000000000000000e+01,7.326547212770277760e-16,2.873503727071724941e-14,4.548169843535813705e-18,2.868082344794199134e-19
