time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.912958339874196615e-17,2.413025270256494879e-14,7.090799184320634752e-20,6.085694986119875099e-21
2.000000000000000000e+00,3.907971518862949893e-16,4.580165317188238156e-14,1.376843646078069826e-19,8.940279060812676502e-21
3.000000000000000000e+00,8.566715409406861535e-16,6.599389957022578603e-14,2.173945199421427523e-19,1.451969338862133594e-20
4.000000000000000000e+00,1.496684134714287143e-15,8.567803317656089286e-14,3.243089721340497557e-19,2.386196854216141463e-20
5.000000000000000000e+00,2.350713007199389309e-15,1.060847522067761736e-13,3.985939235133895164e-19,2.801409083262366848e-20
6.000000000000000000e+00,3.353320106169021463e-15,1.255611536552652640e-13,4.792313612107323829e-19,3.372325898200927881e-20
7.000000000000000000e+00,4.511552547504740709e-15,1.445188029360778247e-13,5.249933479565362811e-19,3.579932012724040272e-20
8.000000000000000000e+00,5.832773309984448900e-15,1.633218178127676816e-13,6.121819753353835814e-19,4.202750356293379252e-20
9.000000000000000000e+00,7.243067409233396853e-15,1.809460427318760871e-13,7.019718103818871793e-19,4.669864113970383187e-20
1.000000000000000000e+01,8.691706650772593799e-15,1.972778147980650018e-13,8.050446642127649265e-19,5.085076343016608572e-20
1.100000000000000000e+01,1.041812124329153666e-14,2.149320414348963704e-13,8.730132571583745896e-19,5.500288572062834559e-20
1.200000000000000000e+01,1.165643259542582109e-14,2.264574590221743481e-13,9.534820980624433378e-19,5.500288572062834559e-20
1.300000000000000000e+01,1.257586962049479470e-14,2.342169341213565894e-13,1.012900425063442485e-18,5.707894686585947552e-20
1.400000000000000000e+01,1.326599631607755134e-14,2.396444695399057170e-13,1.087492463459102743e-18,6.149057679947561911e-20
1.500000000000000000e+01,1.380350296675458741e-14,2.435292294034768869e-13,1.137469370036756853e-18,6.590220673309177473e-20
1.600000000000000000e+01,1.422490700329944070e-14,2.463688192945675345e-13,1.188361516349327234e-18,7.628251245924741236e-20
1.700000000000000000e+01,1.455812702579292068e-14,2.484895574557237152e-13,1.294240302525408213e-18,8.458675704017193210e-20
1.800000000000000000e+01,1.481925670879829971e-14,2.501017202433207590e-13,1.367748504392878515e-18,8.458675704017193210e-20
1.900000000000000000e+01,1.504167325390603997e-14,2.513446107872265701e-13,1.533166043850868444e-18,9.289100162109645184e-20
2.000000000000000000e+01,1.521988126004575047e-14,2.523184110347274178e-13,1.665442270802423651e-18,9.743238537628954330e-20
2.100000000000000000e+01,1.537090665731943737e-14,2.530913187230261460e-13,1.797068195837064422e-18,9.950844652152067324e-20
2.200000000000000000e+01,1.549396438843133098e-14,2.537111780010906362e-13,1.879102578392963684e-18,1.079424449240221288e-19
2.300000000000000000e+01,1.560267029085493424e-14,2.542134093990959604e-13,1.960173550701582600e-18,1.162466895049466486e-19
2.400000000000000000e+01,1.569157802960084785e-14,2.546249748131455579e-13,2.074915711152639908e-18,1.162466895049466486e-19
2.500000000000000000e+01,1.577121227904048139e-14,2.549635845083270404e-13,2.188694461356417640e-18,1.224748729406400263e-19
2.600000000000000000e+01,1.583480191999782324e-14,2.552450984235247630e-13,2.229013180205089146e-18,1.287030563763334282e-19
2.700000000000000000e+01,1.588985406286366931e-14,2.554827331744757307e-13,2.365576582757040870e-18,1.328551786667956880e-19
2.800000000000000000e+01,1.594838989747949515e-14,2.556815110751599295e-13,2.406521518266444196e-18,1.370073009572579238e-19
2.900000000000000000e+01,1.599485547617286002e-14,2.558506837565932881e-13,2.459846275453396708e-18,1.412891770692971316e-19
3.000000000000000000e+01,1.603867148649300652e-14,2.559952735327558934e-13,2.567025665463305787e-18,1.495934216502216513e-19
3.100000000000000000e+01,1.607782621911951712e-14,2.561213600468866920e-13,2.674783101621582996e-18,1.599737273763773130e-19
3.200000000000000000e+01,1.610491069582356989e-14,2.562294719636152146e-13,2.768041213558294798e-18,1.724300942477640685e-19
3.300000000000000000e+01,1.613822656481279480e-14,2.563198736152561760e-13,2.827531796327839674e-18,1.787880315050343942e-19
3.400000000000000000e+01,1.616344653043939258e-14,2.564023452974549345e-13,2.904652786622610213e-18,1.872220299075358377e-19
3.500000000000000000e+01,1.618896089255190913e-14,2.564731863578051793e-13,2.984664007659221018e-18,1.955262744884603815e-19
3.600000000000000000e+01,1.620701721035460888e-14,2.565329254609363400e-13,3.070503860691876046e-18,1.956560283100373294e-19
3.700000000000000000e+01,1.623184464733332656e-14,2.565879065824021790e-13,3.152008367611771638e-18,2.020139655673076551e-19
3.800000000000000000e+01,1.624803645405857447e-14,2.566386583868321765e-13,3.258754223010404042e-18,2.082421490030010328e-19
3.900000000000000000e+01,1.625765340593175240e-14,2.566783082340431404e-13,3.328890489012393712e-18,2.103182101482321507e-19
4.000000000000000000e+01,1.627610225238233858e-14,2.567158434227361835e-13,3.449942986583135993e-18,2.165463935839255526e-19
4.100000000000000000e+01,1.629317724856533015e-14,2.567496779590228149e-13,3.507025043734480967e-18,2.227745770196189544e-19
4.200000000000000000e+01,1.630554190097370043e-14,2.567808691721620957e-13,3.601920953091569395e-18,2.312085754221203979e-19
4.300000000000000000e+01,1.631103730204408827e-14,2.568067737390065746e-13,3.714495440486246792e-18,2.334143903889284396e-19
4.400000000000000000e+01,1.631731776041024580e-14,2.568305636473331833e-13,3.833428435512972853e-18,2.417186349698530075e-19
4.500000000000000000e+01,1.633105626308621382e-14,2.568538248910302612e-13,3.884103814519905088e-18,2.479468184055463612e-19
4.600000000000000000e+01,1.633174318822001270e-14,2.568717994884325373e-13,3.978325336703897236e-18,2.522286945175855690e-19
4.700000000000000000e+01,1.634351904765655807e-14,2.568892454212053836e-13,4.005011800553554759e-18,2.626090002437412066e-19
4.800000000000000000e+01,1.635293973520579437e-14,2.569098633417550606e-13,4.059829843623792057e-18,2.709132448246657263e-19
4.900000000000000000e+01,1.636020151519166322e-14,2.569246659513804555e-13,4.166286675948240781e-18,2.750653671151279621e-19
5.000000000000000000e+01,1.636589318058599270e-14,2.569362965732290197e-13,4.228041272798894102e-18,2.793472432271671699e-19
5.100000000000000000e+01,1.636942593841695789e-14,2.569468698658186236e-13,4.370433307346890434e-18,2.834993655176294538e-19
5.200000000000000000e+01,1.637609892543099869e-14,2.569590291522966175e-13,4.432765950345911886e-18,2.876514878080916896e-19
5.300000000000000000e+01,1.637668771840282674e-14,2.569669591217388204e-13,4.523904559738607082e-18,2.919333639201309455e-19
5.400000000000000000e+01,1.638532334865629335e-14,2.569754177558105035e-13,4.581420151501227961e-18,2.981615473558242992e-19
