time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
1.149654110213665074e-06,1.149654110213665074e-06,2.800000000000000000e+01,2.800000000000009948e+01,2.549998098249613321e+00,2.550000000000009592e+00,2.800000000000009948e+01,2.549998098249613321e+00,2.800000000000000000e+01,2.549999999813821194e+00
2.299308220427330149e-06,1.149654110213665074e-06,2.800000000000000000e+01,2.800000000000030553e+01,2.549996201994843670e+00,2.550000000000008260e+00,2.800000000000030553e+01,2.549996201994843670e+00,2.800000000000000000e+01,2.549999999627642122e+00
4.630514724586019335e-06,2.331206504158689186e-06,2.800000000000000000e+01,2.800000000000104450e+01,2.549992371885153375e+00,2.549999999999999822e+00,2.800000000000104450e+01,2.549992371885153375e+00,2.800000000000000000e+01,2.549999999250118776e+00
6.961721228744708944e-06,2.331206504158689610e-06,2.800000000000000000e+01,2.800000000000217781e+01,2.549988563574648648e+00,2.549999999999999822e+00,2.800000000000217781e+01,2.549988563574648648e+00,2.800000000000000000e+01,2.549999998872596318e+00
9.292927732903398554e-06,2.331206504158689610e-06,2.800000000000000000e+01,2.800000000000364508e+01,2.549984777657456014e+00,2.549999999999999822e+00,2.800000000000364508e+01,2.549984777657456014e+00,2.800000000000000000e+01,2.549999998495073861e+00
1.538900808299841367e-05,6.096080350095015116e-06,2.800000000000000000e+01,2.800000000000876810e+01,2.549974982934069878e+00,2.549999999999999822e+00,2.800000000000876810e+01,2.549974982934069878e+00,2.800000000000000711e+01,2.549999997507859995e+00
2.148508843309343048e-05,6.096080350095016811e-06,2.800000000000000000e+01,2.800000000001547917e+01,2.549965338414634353e+00,2.549999999999999822e+00,2.800000000001547917e+01,2.549965338414634353e+00,2.800000000000000711e+01,2.549999996520649681e+00
2.758116878318844729e-05,6.096080350095016811e-06,2.800000000000000000e+01,2.800000000002347278e+01,2.549955840829000397e+00,2.549999999999999822e+00,2.800000000002347278e+01,2.549955840829000397e+00,2.800000000000000711e+01,2.549999995533443364e+00
4.008789410945969245e-05,1.250672532627124516e-05,2.800000000000000000e+01,2.800000000004321166e+01,2.549936801788130314e+00,2.549999999999999822e+00,2.800000000004321166e+01,2.549936801788130314e+00,2.800000000000001066e+01,2.549999993508101248e+00
5.259461943573093761e-05,1.250672532627124516e-05,2.800000000000000000e+01,2.800000000006655654e+01,2.549918339166960202e+00,2.549999999999999822e+00,2.800000000006655654e+01,2.549918339166960202e+00,2.800000000000001776e+01,2.549999991482774675e+00
