time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.389366171260263874e-17,1.768778858041846121e-14,5.994629547672466014e-20,4.924943147686662250e-21
2.000000000000000000e+00,3.205991148105835854e-16,3.446439063039002447e-14,1.347709071273924108e-19,1.115312658338004829e-20
3.000000000000000000e+00,6.961081575179073609e-16,4.959191423293414376e-14,1.873053668458729840e-19,1.537012578463077909e-20
4.000000000000000000e+00,1.254609724254174947e-15,6.556872104196706099e-14,2.810210986500428732e-19,2.056027864770860091e-20
5.000000000000000000e+00,1.900060986442023708e-15,7.987580670186833536e-14,3.211471354492582710e-19,2.678846208340198771e-20
6.000000000000000000e+00,2.722969697062007272e-15,9.475163637847130017e-14,3.888507905768660028e-19,3.094058437386424457e-20
7.000000000000000000e+00,3.653549322459804480e-15,1.089962404874759885e-13,4.179216947885424006e-19,3.223812258963369927e-20
8.000000000000000000e+00,4.710763902936351053e-15,1.229913148913664426e-13,5.241858450635354500e-19,3.639024488009595914e-20
9.000000000000000000e+00,5.942534133149243168e-15,1.373805748596124150e-13,5.531363229943018046e-19,4.475936637180894680e-20
1.000000000000000000e+01,7.391989098284826081e-15,1.524502262059982081e-13,5.942739405531613342e-19,5.358262623904123999e-20
1.100000000000000000e+01,8.534419194913119289e-15,1.631665225778581403e-13,6.855088909705850654e-19,5.773474852950350588e-20
1.200000000000000000e+01,9.397822755496532355e-15,1.705458878084447797e-13,7.594987979616953479e-19,6.292490139258132469e-20
1.300000000000000000e+01,1.003760765198805950e-14,1.755442797140140809e-13,8.113302692653636515e-19,6.707702368304358456e-20
1.400000000000000000e+01,1.051931390206421965e-14,1.790140378434440320e-13,8.908116146659703055e-19,6.915308482827470246e-20
1.500000000000000000e+01,1.088770203810412923e-14,1.814896421371381732e-13,9.304077758291816480e-19,7.797634469550701371e-20
1.600000000000000000e+01,1.117638232558292557e-14,1.833013758223636866e-13,1.028675621051750130e-18,8.679960456273930088e-20
