time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
1.660681665121402820e-07,1.660681665121402820e-07,2.800000000000000000e+01,2.800000000000000355e+01,2.549999450007668145e+00,2.550000000000022027e+00,2.800000000000000355e+01,2.549999450007668145e+00,2.800000000000000000e+01,2.549999999973106668e+00
3.321363330242805640e-07,1.660681665121402820e-07,2.800000000000000000e+01,2.800000000000001066e+01,2.549998900935358748e+00,2.550000000000049116e+00,2.800000000000001066e+01,2.549998900935358748e+00,2.800000000000000000e+01,2.549999999946212625e+00
7.123050056727932835e-07,3.801686726485127194e-07,2.800000000000000000e+01,2.800000000000005329e+01,2.549997647108408039e+00,2.550000000000064659e+00,2.800000000000005329e+01,2.549997647108408039e+00,2.800000000000000000e+01,2.549999999884646762e+00
1.092473678321306003e-06,3.801686726485127194e-07,2.800000000000000000e+01,2.800000000000011724e+01,2.549996397978723017e+00,2.550000000000038902e+00,2.800000000000011724e+01,2.549996397978723017e+00,2.800000000000000000e+01,2.549999999823080898e+00
1.472642350969818616e-06,3.801686726485126136e-07,2.800000000000000000e+01,2.800000000000019895e+01,2.549995153669052605e+00,2.550000000000001599e+00,2.800000000000019895e+01,2.549995153669052605e+00,2.800000000000000000e+01,2.549999999761515479e+00
2.347065202757015922e-06,8.744228517871973055e-07,2.800000000000000000e+01,2.800000000000045830e+01,2.549992309962596071e+00,2.549999999999999822e+00,2.800000000000045830e+01,2.549992309962596071e+00,2.800000000000000000e+01,2.549999999619907864e+00
3.221488054544213227e-06,8.744228517871973055e-07,2.800000000000000000e+01,2.800000000000079936e+01,2.549989491562672850e+00,2.549999999999999822e+00,2.800000000000079936e+01,2.549989491562672850e+00,2.800000000000000000e+01,2.549999999478301582e+00
4.095910906331410533e-06,8.744228517871973055e-07,2.800000000000000000e+01,2.800000000000121503e+01,2.549986698153955622e+00,2.549999999999999822e+00,2.800000000000121503e+01,2.549986698153955622e+00,2.800000000000000000e+01,2.549999999336694856e+00
5.959278245374322093e-06,1.863367339042911560e-06,2.800000000000000000e+01,2.800000000000230571e+01,2.549980827375206260e+00,2.549999999999999822e+00,2.800000000000230571e+01,2.549980827375206260e+00,2.800000000000000000e+01,2.549999999034935794e+00
7.822645584417234501e-06,1.863367339042912407e-06,2.800000000000000000e+01,2.800000000000361311e+01,2.549975065444362698e+00,2.549999999999999822e+00,2.800000000000361311e+01,2.549975065444362698e+00,2.800000000000000000e+01,2.549999998733178508e+00
9.686012923460146908e-06,1.863367339042912407e-06,2.800000000000000000e+01,2.800000000000510525e+01,2.549969409243699747e+00,2.549999999999999822e+00,2.800000000000510525e+01,2.549969409243699747e+00,2.800000000000000000e+01,2.549999998431420778e+00
1.154938026250305932e-05,1.863367339042912407e-06,2.800000000000000000e+01,2.800000000000676792e+01,2.549963855776987476e+00,2.549999999999999822e+00,2.800000000000676792e+01,2.549963855776987476e+00,2.800000000000000000e+01,2.549999998129664380e+00
1.519112937001533356e-05,3.641749107512274249e-06,2.800000000000000000e+01,2.800000000001043432e+01,2.549953287984044081e+00,2.549999999999999822e+00,2.800000000001043432e+01,2.549953287984044081e+00,2.800000000000000000e+01,2.549999997539915686e+00
1.883287847752760781e-05,3.641749107512274249e-06,2.800000000000000000e+01,2.800000000001459455e+01,2.549943081229999908e+00,2.549999999999999822e+00,2.800000000001459455e+01,2.549943081229999908e+00,2.800000000000000000e+01,2.549999996950169656e+00
2.247462758503988037e-05,3.641749107512272555e-06,2.800000000000000000e+01,2.800000000001920242e+01,2.549933216201128783e+00,2.549999999999999822e+00,2.800000000001920242e+01,2.549933216201128783e+00,2.800000000000000000e+01,2.549999996360425847e+00
2.611637669255215293e-05,3.641749107512272555e-06,2.800000000000000000e+01,2.800000000002421174e+01,2.549923674791445105e+00,2.549999999999999822e+00,2.800000000002421174e+01,2.549923674791445105e+00,2.800000000000000000e+01,2.549999995770684258e+00
3.267212927607462871e-05,6.555752583522475786e-06,2.800000000000000000e+01,2.800000000003414513e+01,2.549907260454892466e+00,2.549999999999999822e+00,2.800000000003414513e+01,2.549907260454892466e+00,2.800000000000001066e+01,2.549999994709057027e+00
3.922788185959710111e-05,6.555752583522472397e-06,2.800000000000000000e+01,2.800000000004516565e+01,2.549891748974387973e+00,2.549999999999999822e+00,2.800000000004516565e+01,2.549891748974387973e+00,2.800000000000001066e+01,2.549999993647436458e+00
4.578363444311957351e-05,6.555752583522472397e-06,2.800000000000000000e+01,2.800000000005717382e+01,2.549877058718341694e+00,2.549999999999999822e+00,2.800000000005717382e+01,2.549877058718341694e+00,2.800000000000001066e+01,2.549999992585822106e+00
5.233938702664204590e-05,6.555752583522472397e-06,2.800000000000000000e+01,2.800000000007008794e+01,2.549863116371546834e+00,2.549999999999999822e+00,2.800000000007008794e+01,2.549863116371546834e+00,2.800000000000001776e+01,2.549999991524213971e+00
5.889513961016451830e-05,6.555752583522472397e-06,2.800000000000000000e+01,2.800000000008384760e+01,2.549849856052986752e+00,2.549999999999999822e+00,2.800000000008384760e+01,2.549849856052986752e+00,2.800000000000001776e+01,2.549999990462612054e+00
6.628102628700532580e-05,7.385886676840807503e-06,2.800000000000000000e+01,2.800000000010031087e+01,2.549835660069941667e+00,2.549999999999999822e+00,2.800000000010031087e+01,2.549835660069941667e+00,2.800000000000002842e+01,2.549999989266588329e+00
7.366691296384613331e-05,7.385886676840807503e-06,2.800000000000000000e+01,2.800000000011771917e+01,2.549822179315716308e+00,2.549999999999999822e+00,2.800000000011771917e+01,2.549822179315716308e+00,2.800000000000002842e+01,2.549999988070571266e+00
8.105279964068694081e-05,7.385886676840807503e-06,2.799999999999999645e+01,2.800000000013603341e+01,2.549809346662021525e+00,2.549999999999999822e+00,2.800000000013603341e+01,2.549809346662021525e+00,2.800000000000003908e+01,2.549999986874561309e+00
8.843868631752774831e-05,7.385886676840807503e-06,2.800000000000000000e+01,2.800000000015522517e+01,2.549797102428988271e+00,2.549999999999999822e+00,2.800000000015522517e+01,2.549797102428988271e+00,2.800000000000003908e+01,2.549999985678556236e+00
9.582457299436855582e-05,7.385886676840807503e-06,2.799999999999999645e+01,2.800000000017522694e+01,2.549785393514912180e+00,2.549999999999999822e+00,2.800000000017522694e+01,2.549785393514912180e+00,2.800000000000004974e+01,2.549999984482557380e+00
1.032104596712093633e-04,7.385886676840807503e-06,2.800000000000000000e+01,2.800000000019602808e+01,2.549774172607130129e+00,2.549999999999999822e+00,2.800000000019602808e+01,2.549774172607130129e+00,2.800000000000006040e+01,2.549999983286564298e+00
1.136742470339312575e-04,1.046378736272189419e-05,2.800000000000000000e+01,2.800000000022679458e+01,2.549759029709149249e+00,2.549999999999999822e+00,2.800000000022679458e+01,2.549759029709149249e+00,2.800000000000007461e+01,2.549999981592176557e+00
1.241380343966531517e-04,1.046378736272189419e-05,2.800000000000000000e+01,2.800000000025901770e+01,2.549744677328343645e+00,2.549999999999999822e+00,2.800000000025901770e+01,2.549744677328343645e+00,2.800000000000007816e+01,2.549999979897798141e+00
1.346018217593750459e-04,1.046378736272189419e-05,2.800000000000000000e+01,2.800000000029264413e+01,2.549731025638172888e+00,2.549999999999999822e+00,2.800000000029264413e+01,2.549731025638172888e+00,2.800000000000009592e+01,2.549999978203429496e+00
