time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.006223614134152846e-17,3.085237215332114115e-15,6.162970738049391778e-20,5.162834393379965139e-21
2.000000000000000000e+00,5.399358050145822486e-17,5.809446051038888480e-15,1.342313251519884504e-19,1.025567189027507982e-20
3.000000000000000000e+00,1.197039878107754262e-16,8.346094588668213329e-15,1.875621036529864718e-19,1.414828653758344393e-20
4.000000000000000000e+00,2.098663615806407053e-16,1.085735070331286030e-14,2.388450708803224993e-19,1.830040882804570079e-20
5.000000000000000000e+00,3.248481224253095016e-16,1.323915006681376769e-14,3.310343995739580472e-19,2.251740802929643159e-20
6.000000000000000000e+00,4.669051600838465582e-16,1.568191107040150561e-14,3.905731528558670454e-19,2.978362203760538335e-20
7.000000000000000000e+00,6.127770855390141633e-16,1.789992352338186182e-14,4.318311966956365701e-19,3.393574432806764322e-20
8.000000000000000000e+00,7.330165836242965442e-16,1.942763213641963420e-14,5.006668588637983324e-19,3.938540483429935177e-20
9.000000000000000000e+00,8.105839244024120614e-16,2.027032355580962151e-14,5.767762683989248359e-19,4.042343540691491674e-20
1.000000000000000000e+01,8.593985417229641079e-16,2.077176195687072542e-14,6.490561222011128612e-19,4.781940323680081337e-20
1.100000000000000000e+01,8.949591839172801252e-16,2.108737474066986052e-14,7.256954073722433237e-19,5.197152552726307324e-20
1.200000000000000000e+01,9.162047969840462171e-16,2.129447910926837236e-14,7.870887253801665636e-19,5.430709431564809291e-20
1.300000000000000000e+01,9.331019286234633229e-16,2.143470740223775349e-14,8.385107473287409996e-19,5.858897042768728862e-20
1.400000000000000000e+01,9.446201911348337224e-16,2.153264252484879184e-14,9.186905651586257790e-19,6.377912329076511947e-20
1.500000000000000000e+01,9.565064492535962635e-16,2.160520174524482514e-14,9.784942562585367567e-19,6.896927615384293829e-20
1.600000000000000000e+01,9.666140619366304494e-16,2.165753954356327265e-14,1.036395212120069658e-18,7.623549016215188704e-20
1.700000000000000000e+01,9.761942142490695218e-16,2.169718939077422079e-14,1.086805653308999866e-18,8.038761245261414691e-20
1.800000000000000000e+01,9.834069281539531677e-16,2.172705894233980116e-14,1.163541279504858383e-18,8.895136467669255036e-20
1.900000000000000000e+01,9.849525097049996491e-16,2.174939502293530141e-14,1.242781772343645143e-18,9.102742582192368030e-20
2.000000000000000000e+01,9.862527608511181020e-16,2.176723745418022634e-14,1.303380276897562204e-18,9.530930193396288804e-20
2.100000000000000000e+01,9.924350870553042250e-16,2.178151139917616628e-14,1.339989866294205322e-18,1.025755159422718368e-19
2.200000000000000000e+01,9.956243823193683994e-16,2.179314202102471157e-14,1.395048761926262032e-18,1.067276382327340846e-19
2.300000000000000000e+01,1.001046184268277535e-15,2.180027899352268154e-14,1.447843643477210489e-18,1.130855754900044103e-19
2.400000000000000000e+01,1.003941083046428075e-15,2.180768029833539161e-14,1.509694581352591768e-18,1.163294210294280591e-19
2.500000000000000000e+01,1.004824272504168978e-15,2.181375994157440435e-14,1.575061966630545326e-18,1.194435127472747600e-19
2.600000000000000000e+01,1.008994889387945267e-15,2.181983958481341710e-14,1.656229279963892200e-18,1.204815433198903189e-19
2.700000000000000000e+01,1.009681814521743747e-15,2.182433323416398926e-14,1.721500324217117800e-18,1.258014500045450856e-19
2.800000000000000000e+01,1.008455162497103604e-15,2.182618356036716678e-14,1.791058544070739725e-18,1.289155417223917865e-19
2.900000000000000000e+01,1.009240219792873295e-15,2.182856255119982449e-14,1.842504651275496006e-18,1.321593872618154113e-19
3.000000000000000000e+01,1.010466871817513438e-15,2.183226320360617952e-14,1.892891007208243792e-18,1.373495401248932542e-19
3.100000000000000000e+01,1.011644457761167778e-15,2.183411352980935704e-14,1.926610365863046644e-18,1.416314162369324378e-19
3.200000000000000000e+01,1.007915435606261941e-15,2.183754984990097198e-14,1.977044892308159274e-18,1.447455079547791388e-19
3.300000000000000000e+01,1.009534616278786930e-15,2.183860717915992921e-14,2.038365954547536305e-18,1.479893534942027635e-19
3.400000000000000000e+01,1.005658395880924275e-15,2.183173453897669933e-14,2.118955221732515241e-18,1.542175369298961653e-19
3.500000000000000000e+01,9.709686766241028088e-16,2.176010048168225637e-14,2.191933547963981488e-18,1.562935980751272832e-19
3.600000000000000000e+01,9.372602789869932594e-16,2.169639639383000050e-14,2.260335675520867153e-18,1.596671974361278799e-19
3.700000000000000000e+01,9.037972117548119358e-16,2.163586429375462264e-14,2.314382990393279635e-18,1.627812891539745808e-19
3.800000000000000000e+01,8.754370169451332122e-16,2.158088317228877733e-14,2.377293679540668832e-18,1.658953808718212577e-19
3.900000000000000000e+01,8.495301261847346759e-16,2.153277469100616189e-14,2.445984830171738947e-18,1.721235643075146595e-19
4.000000000000000000e+01,8.250952178539043111e-16,2.148968852370359881e-14,2.507065039849295988e-18,1.752376560253613363e-19
4.100000000000000000e+01,8.020341597906707091e-16,2.144792401797473621e-14,2.571998890515973255e-18,1.783517477432080373e-19
4.200000000000000000e+01,7.801506876710916442e-16,2.140933150002274845e-14,2.624986454116378012e-18,1.825038700336702971e-19
4.300000000000000000e+01,7.589541406853110595e-16,2.137761162225399057e-14,2.696567835489288009e-18,1.849691926436322587e-19
4.400000000000000000e+01,7.374631972136168404e-16,2.134430575059679526e-14,2.746857850397308029e-18,1.902890993282870254e-19
4.500000000000000000e+01,7.190143507630300771e-16,2.131575786060491538e-14,2.812369747212353812e-18,1.924949142950950911e-19
4.600000000000000000e+01,7.016449580941264424e-16,2.128773863524251253e-14,2.882602354239071633e-18,1.966470365855573510e-19
4.700000000000000000e+01,6.845699619111365406e-16,2.126183406839802729e-14,2.954087394587253479e-18,1.997611283034040519e-19
4.800000000000000000e+01,6.716165165309373217e-16,2.124068748321885432e-14,3.020948065748491438e-18,2.059893117390974297e-19
4.900000000000000000e+01,6.567985600732850856e-16,2.121848356878072412e-14,3.127597580122396462e-18,2.080653728843285476e-19
5.000000000000000000e+01,6.413918106438056795e-16,2.119892297748999172e-14,3.220470327960195663e-18,2.155910945357914041e-19
5.100000000000000000e+01,6.292234225593760535e-16,2.118306303860561120e-14,3.270856683892944219e-18,2.176671556810225220e-19
