time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.618205229526238891e-17,3.062162656332310220e-14,6.866987525913334749e-20,5.510245023752686775e-21
2.000000000000000000e+00,2.445687306864662964e-16,5.774203945176224497e-14,1.430880482117298047e-19,1.225744374575385455e-20
3.000000000000000000e+00,5.148822040688240456e-16,8.247399510652298785e-14,2.013201763457652169e-19,1.744759660883167637e-20
4.000000000000000000e+00,9.053650263738050784e-16,1.075783619512125367e-13,2.785977208057187592e-19,3.094199405283401493e-20
5.000000000000000000e+00,1.402831454994043798e-15,1.325347026996478715e-13,3.547312155970271558e-19,3.717017748852740473e-20
6.000000000000000000e+00,2.010303270526489466e-15,1.569378619964118359e-13,4.386863973334408289e-19,3.976525392006631414e-20
7.000000000000000000e+00,2.708570335607763380e-15,1.806998171806961042e-13,4.955276019229656202e-19,4.495540678314413295e-20
8.000000000000000000e+00,3.492284447410434713e-15,2.036852301073539995e-13,5.797296575352446965e-19,4.703146792837526289e-20
9.000000000000000000e+00,4.352602978151878781e-15,2.260846182922340611e-13,6.703745191762093749e-19,5.118359021883751674e-20
1.000000000000000000e+01,5.269206437043933217e-15,2.473446020344289203e-13,7.477724899170728640e-19,5.974734244291592621e-20
1.100000000000000000e+01,6.404215288923154202e-15,2.713121416765019638e-13,8.111648841881021373e-19,7.012764816907156385e-20
1.200000000000000000e+01,7.242981543591671599e-15,2.874423603527018708e-13,8.549037094146178682e-19,7.220370931430269378e-20
1.300000000000000000e+01,7.872125233769446857e-15,2.984901294472453280e-13,9.134790524492467616e-19,7.843189274999608358e-20
1.400000000000000000e+01,8.351010184188933405e-15,3.062221139856946750e-13,1.003268887495750360e-18,8.466007618568947339e-20
1.500000000000000000e+01,8.718834060297509204e-15,3.117635766318965569e-13,1.082846573921085067e-18,9.296432076661398108e-20
1.600000000000000000e+01,9.006766090041275700e-15,3.158181700076879481e-13,1.158377937307843440e-18,1.033446264927696308e-19
1.700000000000000000e+01,9.240884895464081641e-15,3.188445106791421328e-13,1.217916690589752583e-18,1.116488710736941264e-19
1.800000000000000000e+01,9.426452813751631811e-15,3.211484311344128719e-13,1.298843151361279467e-18,1.199531156546186702e-19
1.900000000000000000e+01,9.577331012782362486e-15,3.229255372864075337e-13,1.400193909375143938e-18,1.261812990903120480e-19
2.000000000000000000e+01,9.702866580984028696e-15,3.243209475759181025e-13,1.479193549652110515e-18,1.282573602355431659e-19
2.100000000000000000e+01,9.803452047004515287e-15,3.254282356423624716e-13,1.601353969007224790e-18,1.324094825260054498e-19
2.200000000000000000e+01,9.895843477500405526e-15,3.263142775613697589e-13,1.640468425046796152e-18,1.490179716878544652e-19
2.300000000000000000e+01,9.973784947146036164e-15,3.270335257897763233e-13,1.710990055147698038e-18,1.552461551235478430e-19
2.400000000000000000e+01,1.003526474662099756e-14,3.276214008577572872e-13,1.738736270269364442e-18,1.614743385592412208e-19
2.500000000000000000e+01,1.008918836962417608e-14,3.281067149876192957e-13,1.834691930898460595e-18,1.614743385592412208e-19
2.600000000000000000e+01,1.013543315095310660e-14,3.285119364261151814e-13,1.898662371317858288e-18,1.718546442853968584e-19
2.700000000000000000e+01,1.017762998060072515e-14,3.288484314627787431e-13,1.964944996330727731e-18,1.780828277210902843e-19
2.800000000000000000e+01,1.021462580566386989e-14,3.291365536858449429e-13,2.031998349541421220e-18,1.884631334472459219e-19
2.900000000000000000e+01,1.024754914600520995e-14,3.293781534215169868e-13,2.090573692576050210e-18,1.884631334472459219e-19
3.000000000000000000e+01,1.027904956999796684e-14,3.295848612916433885e-13,2.183446440413850182e-18,1.926152557377081818e-19
3.100000000000000000e+01,1.030127650468444525e-14,3.297624926071484301e-13,2.285953290724450914e-18,1.946913168829392997e-19
3.200000000000000000e+01,1.032576047909626191e-14,3.299147480204384730e-13,2.353777372132968448e-18,2.009195003186326775e-19
3.300000000000000000e+01,1.034479811851867614e-14,3.300485001716967091e-13,2.421216089442574537e-18,2.029955614638638194e-19
3.400000000000000000e+01,1.036334509713123313e-14,3.301626917316642287e-13,2.506766919401045500e-18,2.050716226090949373e-19
3.500000000000000000e+01,1.037708359980720273e-14,3.302626093466358335e-13,2.568039811128058841e-18,2.092237448995571972e-19
3.600000000000000000e+01,1.039504178544793324e-14,3.303519536690178345e-13,2.689429502285348878e-18,2.216801117709439527e-19
3.700000000000000000e+01,1.040564005894082407e-14,3.304280813756628307e-13,2.735287830055880541e-18,2.258322340614062367e-19
3.800000000000000000e+01,1.041859350432102240e-14,3.304973364421246349e-13,2.859375069905555314e-18,2.299843563518684725e-19
3.900000000000000000e+01,1.043301893213079088e-14,3.305576042098852758e-13,2.907160218170647283e-18,2.341364786423307564e-19
4.000000000000000000e+01,1.044420599859550819e-14,3.306104706728331941e-13,3.052827847559395712e-18,2.403646620780241101e-19
4.100000000000000000e+01,1.045568746154613953e-14,3.306559358309683896e-13,3.127588482748329654e-18,2.445167843684863941e-19
4.200000000000000000e+01,1.046756145314465572e-14,3.307003436598446753e-13,3.207744215322033070e-18,2.486689066589486780e-19
4.300000000000000000e+01,1.047276245772912953e-14,3.307405221716851194e-13,3.279421937719671216e-18,2.528210289494108656e-19
4.400000000000000000e+01,1.048277193825019231e-14,3.307732993787128408e-13,3.374992234249855155e-18,2.611252735303354335e-19
4.500000000000000000e+01,1.048718788553889643e-14,3.308081912442584325e-13,3.459386971911590628e-18,2.715055792564910712e-19
4.600000000000000000e+01,1.049395900471490963e-14,3.308367391342503124e-13,3.531835422507052049e-18,2.798098238374155909e-19
4.700000000000000000e+01,1.049798242335572890e-14,3.308621150364653616e-13,3.582703483563440585e-18,2.860380072731089446e-19
4.800000000000000000e+01,1.050269276713034705e-14,3.308869622740508801e-13,3.618156980663347443e-18,2.943422518540334643e-19
4.900000000000000000e+01,1.050651992144722469e-14,3.309091661884889977e-13,3.704478538819642836e-18,2.984943741444957483e-19
5.000000000000000000e+01,1.051064147225001478e-14,3.309260834566323134e-13,3.752263687084734420e-18,3.026464964349579841e-19
5.100000000000000000e+01,1.051564621251054696e-14,3.309445867186641201e-13,3.860165634780103855e-18,3.109507410158825038e-19
5.200000000000000000e+01,1.052212293520064612e-14,3.309620326514369160e-13,3.934926269969038183e-18,3.109507410158825038e-19
5.300000000000000000e+01,1.052526316438372489e-14,3.309757779318034009e-13,4.005833264168851899e-18,3.192549855968070235e-19
5.400000000000000000e+01,1.052781460059497560e-14,3.309884658829108751e-13,4.065179335401305319e-18,3.317113524681937791e-19
5.500000000000000000e+01,1.052801086491891881e-14,3.310000965047594393e-13,4.159208175535841937e-18,3.358634747586560149e-19
5.600000000000000000e+01,1.052977724383439983e-14,3.310127844558669134e-13,4.188495847053155661e-18,3.441677193395805346e-19
5.700000000000000000e+01,1.053507638058084446e-14,3.310244150777154776e-13,4.291773425561580824e-18,3.503959027752739846e-19
5.800000000000000000e+01,1.053703902382026868e-14,3.310318163825282003e-13,4.321061097078895319e-18,3.545480250657362204e-19
5.900000000000000000e+01,1.053959046003152097e-14,3.310413323458587933e-13,4.398133916861301397e-18,3.545480250657362204e-19
6.000000000000000000e+01,1.054155310327094520e-14,3.310487336506715160e-13,4.453626347104634205e-18,3.628522696466607401e-19
6.100000000000000000e+01,6.781106478665706174e-12,1.035127459178964960e-12,4.510317583341213027e-18,3.666840621901048926e-19
6.200000000000000000e+01,6.689746613456456167e-12,1.035052388801578874e-12,4.596639141497508421e-18,3.749883067710294123e-19
6.300000000000000000e+01,6.576397685921346810e-12,1.034800744437946707e-12,4.685658248346188166e-18,3.832925513519539321e-19
6.400000000000000000e+01,6.427926668823770487e-12,1.034025722091130058e-12,4.733443396611280520e-18,3.915967959328784518e-19
6.500000000000000000e+01,6.331481006188201341e-12,1.032959934198099808e-12,4.803579662613269806e-18,3.999010405138029716e-19
6.600000000000000000e+01,6.165052392242865855e-12,1.030727912132438173e-12,4.822077139361047665e-18,4.082052850947274431e-19
6.700000000000000000e+01,6.065563847528893701e-12,1.028268564276100560e-12,4.908398697517343059e-18,4.144334685304208450e-19
6.800000000000000000e+01,5.870336388009868536e-12,1.022917420896511245e-12,5.052524870510443012e-18,4.185855908208830808e-19
6.900000000000000000e+01,5.748086873383970407e-12,1.018180585816376802e-12,5.116109946830928104e-18,4.274088506881154402e-19
7.000000000000000000e+01,5.591600813825233601e-12,1.010169202021247602e-12,5.165436551491668549e-18,4.274088506881154402e-19
7.100000000000000000e+01,5.384396716466270128e-12,9.986295104889737602e-13,5.232489904702362423e-18,4.274088506881154402e-19
7.200000000000000000e+01,5.243900311379122691e-12,9.885002961881506474e-13,5.309562724484769272e-18,4.398652175595021476e-19
7.300000000000000000e+01,5.174453946731015225e-12,9.814119608360923488e-13,5.327289473034722701e-18,4.523215844308889512e-19
