time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
4.768513636938784909e-07,4.768513636938784909e-07,2.800000000000000000e+01,2.800000000000003553e+01,2.549997637504059611e+00,2.549999999999999822e+00,2.800000000000003553e+01,2.549997637504059611e+00,2.800000000000000000e+01,2.549999999884165369e+00
9.537027273877569818e-07,4.768513636938784909e-07,2.800000000000000000e+01,2.800000000000011013e+01,2.549995286297241037e+00,2.549999999999999822e+00,2.800000000000011013e+01,2.549995286297241037e+00,2.800000000000000000e+01,2.549999999768330916e+00
1.890670809939873527e-06,9.369680825521165453e-07,2.800000000000000000e+01,2.800000000000033040e+01,2.549990695462616141e+00,2.549999999999999822e+00,2.800000000000033040e+01,2.549990695462616141e+00,2.800000000000000000e+01,2.549999999540727647e+00
2.827638892491990072e-06,9.369680825521165453e-07,2.800000000000000000e+01,2.800000000000065725e+01,2.549986146315790236e+00,2.549999999999999822e+00,2.800000000000065725e+01,2.549986146315790236e+00,2.800000000000000000e+01,2.549999999313124821e+00
3.764606975044106618e-06,9.369680825521165453e-07,2.800000000000000000e+01,2.800000000000106937e+01,2.549981639828063695e+00,2.549999999999999822e+00,2.800000000000106937e+01,2.549981639828063695e+00,2.800000000000000000e+01,2.549999999085521996e+00
6.109977180213569792e-06,2.345370205169463175e-06,2.800000000000000000e+01,2.800000000000240519e+01,2.549970543930624167e+00,2.549999999999999822e+00,2.800000000000240519e+01,2.549970543930624167e+00,2.800000000000000000e+01,2.549999998515800392e+00
8.455347385383032120e-06,2.345370205169462328e-06,2.800000000000000000e+01,2.800000000000409628e+01,2.549959705719027969e+00,2.549999999999999822e+00,2.800000000000409628e+01,2.549959705719027969e+00,2.800000000000000000e+01,2.549999997946081454e+00
1.080071759055249530e-05,2.345370205169463175e-06,2.800000000000000000e+01,2.800000000000607514e+01,2.549949116542792105e+00,2.549999999999999822e+00,2.800000000000607514e+01,2.549949116542792105e+00,2.800000000000000000e+01,2.549999997376365179e+00
1.520361985165066585e-05,4.402902261098170551e-06,2.800000000000000000e+01,2.800000000001045564e+01,2.549929881396932885e+00,2.549999999999999822e+00,2.800000000001045564e+01,2.549929881396932885e+00,2.800000000000000000e+01,2.549999996306857142e+00
1.960652211274883640e-05,4.402902261098170551e-06,2.800000000000000000e+01,2.800000000001554668e+01,2.549911439339348274e+00,2.549999999999999822e+00,2.800000000001554668e+01,2.549911439339348274e+00,2.800000000000000000e+01,2.549999995237357542e+00
2.400942437384700695e-05,4.402902261098170551e-06,2.800000000000000000e+01,2.800000000002127365e+01,2.549893738398278931e+00,2.549999999999999822e+00,2.800000000002127365e+01,2.549893738398278931e+00,2.800000000000000000e+01,2.549999994167865491e+00
2.841232663494517750e-05,4.402902261098170551e-06,2.800000000000000000e+01,2.800000000002756906e+01,2.549876730965117133e+00,2.549999999999999822e+00,2.800000000002756906e+01,2.549876730965117133e+00,2.800000000000000711e+01,2.549999993098380546e+00
3.581958668935703239e-05,7.407260054411854888e-06,2.800000000000000000e+01,2.800000000003931078e+01,2.549849562989735752e+00,2.549999999999999822e+00,2.800000000003931078e+01,2.549849562989735752e+00,2.800000000000001066e+01,2.549999991299139346e+00
4.322684674376888728e-05,7.407260054411854888e-06,2.800000000000000000e+01,2.800000000005237766e+01,2.549824046914568321e+00,2.549999999999999822e+00,2.800000000005237766e+01,2.549824046914568321e+00,2.800000000000001066e+01,2.549999989499917241e+00
5.063410679818074216e-05,7.407260054411854888e-06,2.800000000000000000e+01,2.800000000006664536e+01,2.549800016704735217e+00,2.549999999999999822e+00,2.800000000006664536e+01,2.549800016704735217e+00,2.800000000000001776e+01,2.549999987700712456e+00
5.804136685259259705e-05,7.407260054411854888e-06,2.800000000000000000e+01,2.800000000008201440e+01,2.549777324745975182e+00,2.549999999999999822e+00,2.800000000008201440e+01,2.549777324745975182e+00,2.800000000000001776e+01,2.549999985901524990e+00
6.544862690700445872e-05,7.407260054411861664e-06,2.800000000000000000e+01,2.800000000009841017e+01,2.549755839984472860e+00,2.549999999999999822e+00,2.800000000009841017e+01,2.549755839984472860e+00,2.800000000000002842e+01,2.549999984102352180e+00
7.620248052710538393e-05,1.075385362010092521e-05,2.800000000000000000e+01,2.800000000012391510e+01,2.549726561775165656e+00,2.549999999999999822e+00,2.800000000012391510e+01,2.549726561775165656e+00,2.800000000000002842e+01,2.549999981490341572e+00
8.695633414720630914e-05,1.075385362010092521e-05,2.800000000000000000e+01,2.800000000015130297e+01,2.549699278655650048e+00,2.549999999999999822e+00,2.800000000015130297e+01,2.549699278655650048e+00,2.800000000000003908e+01,2.549999978878360274e+00
9.771018776730723435e-05,1.075385362010092521e-05,2.800000000000000000e+01,2.800000000018046364e+01,2.549673732456390063e+00,2.549999999999999822e+00,2.800000000018046364e+01,2.549673732456390063e+00,2.800000000000004974e+01,2.549999976266406065e+00
1.084640413874081596e-04,1.075385362010092521e-05,2.800000000000000000e+01,2.800000000021129409e+01,2.549649704414535645e+00,2.549999999999999822e+00,2.800000000021129409e+01,2.549649704414535645e+00,2.800000000000006040e+01,2.549999973654477614e+00
1.192178950075090848e-04,1.075385362010092521e-05,2.800000000000000000e+01,2.800000000024369484e+01,2.549627008698209796e+00,2.549999999999999822e+00,2.800000000024369484e+01,2.549627008698209796e+00,2.800000000000007816e+01,2.549999971042573144e+00
