time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.300756997015434578e-18,5.007329641961437286e-15,7.351008717719110464e-20,8.392309918811210965e-21
2.000000000000000000e+00,3.193626879026221676e-17,9.481534046632355287e-15,1.286096266790548830e-19,1.565852392712016273e-20
3.000000000000000000e+00,7.303141158825113680e-17,1.361427066296866594e-14,1.729114447688248745e-19,2.084867679019798455e-20
4.000000000000000000e+00,1.398398641240000598e-16,1.771178499836592032e-14,2.198280184828534513e-19,3.226701308896919317e-20
5.000000000000000000e+00,2.198896419369809738e-16,2.167366381476239326e-14,2.827146223740608032e-19,4.368534938774040179e-20
6.000000000000000000e+00,3.170956816295841929e-16,2.560924156584227083e-14,3.664590581188818405e-19,4.472337996035596676e-20
7.000000000000000000e+00,4.232225481713824445e-16,2.928035483602513353e-14,4.211085043958444425e-19,5.510368568651160439e-20
8.000000000000000000e+00,5.363658642941219685e-16,3.260076520762717650e-14,4.804064051159335470e-19,6.185088440851277367e-20
9.000000000000000000e+00,6.090572632742931888e-16,3.448016796542604713e-14,5.568048377252439231e-19,6.963611370312951393e-20
1.000000000000000000e+01,6.602515855226469153e-16,3.560133347839424599e-14,6.151874987104168051e-19,7.586429713882289170e-20
1.100000000000000000e+01,6.933773234480523722e-16,3.630458960175907245e-14,6.939944569379275638e-19,8.520657229236298242e-20
1.200000000000000000e+01,7.214063222110782079e-16,3.676809631565503569e-14,7.737166549003542078e-19,8.935869458282523025e-20
1.300000000000000000e+01,7.380397236651976582e-16,3.708212310556573336e-14,8.632656373850378156e-19,9.766293916374974999e-20
1.400000000000000000e+01,7.560715084274068715e-16,3.730389791763229529e-14,9.079678728588335070e-19,9.973900030898086788e-20
1.500000000000000000e+01,7.670255110074428054e-16,3.746117564490238738e-14,9.681810133138387375e-19,1.059671837446742697e-19
1.600000000000000000e+01,7.738947623454273098e-16,3.757880352496152817e-14,1.007199128328681950e-18,1.215376423339077382e-19
1.700000000000000000e+01,7.819906657080517600e-16,3.766603318882560840e-14,1.060572056027998537e-18,1.303609022011400254e-19
1.800000000000000000e+01,7.885164544791370244e-16,3.773264493213999901e-14,1.130804663054716357e-18,1.386651467820645451e-19
1.900000000000000000e+01,7.915585515002444803e-16,3.778577572740266996e-14,1.181094677962736570e-18,1.454123455040657144e-19
2.000000000000000000e+01,7.955819701410639518e-16,3.782674723618731543e-14,1.231192010821300868e-18,1.615018193796069383e-19
2.100000000000000000e+01,7.985014019597072947e-16,3.786005310784451073e-14,1.318091615125964200e-18,1.698060639605314821e-19
2.200000000000000000e+01,8.020832258716563148e-16,3.788516467774477568e-14,1.363660919822312183e-18,1.729201556783781830e-19
2.300000000000000000e+01,8.026965518839763862e-16,3.790631126292394550e-14,1.417322870595812450e-18,1.833004614045338207e-19
2.400000000000000000e+01,8.020096267501779062e-16,3.792428586032624048e-14,1.484665246880690389e-18,1.895286448402271984e-19
2.500000000000000000e+01,8.074314286990871406e-16,3.793644514680426596e-14,1.565013661503849142e-18,1.947187977033050172e-19
2.600000000000000000e+01,8.082164859948567335e-16,3.794992609485598562e-14,1.659813229836208842e-18,2.009469811389983950e-19
2.700000000000000000e+01,8.087562128856983964e-16,3.796023505513083674e-14,1.710392267818413313e-18,2.050991034294606549e-19
2.800000000000000000e+01,8.100809970723096521e-16,3.796975101846146127e-14,1.778987077424755085e-18,2.113272868651540567e-19
2.900000000000000000e+01,8.116020455828633307e-16,3.797503766475625688e-14,1.859431833072641796e-18,2.185935008734629934e-19
3.000000000000000000e+01,8.141044157131291236e-16,3.798085297568052637e-14,1.918585222255638916e-18,2.217075925913096943e-19
3.100000000000000000e+01,8.159198607095964365e-16,3.798772561586375624e-14,1.979087385784827826e-18,2.310498677448497490e-19
3.200000000000000000e+01,8.159689267905820422e-16,3.799195493289959147e-14,2.027835944297200141e-18,2.377970664668509423e-19
3.300000000000000000e+01,8.165577197624093108e-16,3.799565558530594650e-14,2.118781871640439807e-18,2.486963874793143714e-19
3.400000000000000000e+01,8.195016846215454566e-16,3.799777024382386096e-14,2.174466983933228530e-18,2.507724486245454893e-19
3.500000000000000000e+01,8.166067858433949166e-16,3.799935623771230154e-14,2.235161829511873741e-18,2.590766932054700091e-19
3.600000000000000000e+01,8.196979489454878795e-16,3.800147089623021599e-14,2.286993300815541852e-18,2.694569989316256467e-19
3.700000000000000000e+01,8.204830062412575709e-16,3.800411421937761695e-14,2.354046654026235726e-18,2.720520753631645561e-19
3.800000000000000000e+01,8.038005387061524162e-16,3.792798651273259551e-14,2.452121817199348101e-18,2.741281365083957222e-19
3.900000000000000000e+01,7.764216655161858070e-16,3.781908159905986527e-14,2.503567924404104382e-18,2.824323810893201938e-19
4.000000000000000000e+01,7.490427923262191978e-16,3.771969264871775955e-14,2.589504118461487560e-18,2.876225339523980126e-19
4.100000000000000000e+01,7.260798664249569058e-16,3.762664767392940351e-14,2.655208697325988873e-18,2.917746562428602484e-19
4.200000000000000000e+01,7.053739802490323782e-16,3.754311866247167831e-14,2.719179137745386181e-18,2.959267785333225323e-19
4.300000000000000000e+01,6.855512835308486549e-16,3.746646229119717668e-14,2.813207977879922028e-18,3.031929925416315172e-19
4.400000000000000000e+01,6.656304546506937201e-16,3.739509256621747696e-14,2.884693018228104645e-18,3.099401912636326624e-19
4.500000000000000000e+01,6.444339076649131353e-16,3.733006681679152062e-14,2.978529176313184192e-18,3.208395122760960915e-19
4.600000000000000000e+01,6.247093431087006234e-16,3.727191370754880047e-14,3.032480150160868909e-18,3.291437568570206113e-19
4.700000000000000000e+01,6.086156685454227373e-16,3.721270326904711993e-14,3.097414000827546562e-18,3.369289861516373395e-19
4.800000000000000000e+01,5.893817647990662826e-16,3.716142279998762965e-14,3.179303871846353599e-18,3.400430778694840404e-19
4.900000000000000000e+01,5.766245837428093880e-16,3.711384298333449440e-14,3.236145076435878197e-18,3.462712613051773941e-19
5.000000000000000000e+01,5.630823453907829005e-16,3.706626316668135916e-14,3.301849655300379511e-18,3.530184600271785393e-19
5.100000000000000000e+01,5.503251643345261045e-16,3.702502732558197359e-14,3.356764039395344188e-18,3.550945211724097535e-19
5.200000000000000000e+01,5.381567762500964785e-16,3.698484881374154841e-14,3.410522331193572991e-18,3.633987657533342251e-19
5.300000000000000000e+01,5.242220092501851453e-16,3.694731362504851788e-14,3.470061084475482326e-18,3.665128574711809260e-19
5.400000000000000000e+01,5.140162644051796494e-16,3.691347908876184239e-14,3.546170494010608444e-18,3.768931631973365636e-19
5.500000000000000000e+01,4.987076471376714547e-16,3.687858722321621282e-14,3.587789816693107665e-18,3.862354383508766664e-19
5.600000000000000000e+01,4.894832239123780731e-16,3.684686734544745178e-14,3.647521252024472916e-18,3.924636217865700201e-19
5.700000000000000000e+01,4.765297785321787556e-16,3.681937678471453228e-14,3.714189241136254960e-18,3.945396829318011380e-19
5.800000000000000000e+01,4.690717342223670811e-16,3.679294355324056685e-14,3.761589025302434713e-18,3.986918052222634219e-19
5.900000000000000000e+01,4.622024828843825767e-16,3.676756765102556181e-14,3.819779004238151103e-18,4.049199886579567756e-19
6.000000000000000000e+01,4.547444385745709022e-16,3.674747839510534606e-14,3.862169055118474754e-18,4.069960498031879417e-19
6.100000000000000000e+01,6.519616258097243044e-13,1.060120608202227734e-13,3.931773846072917797e-18,4.187895824551713759e-19
6.200000000000000000e+01,6.331608774263087509e-13,1.059909142350436036e-13,4.025031958009629214e-18,4.353980716170204153e-19
6.300000000000000000e+01,6.103296448864118476e-13,1.059348757843187916e-13,4.096902362456722890e-18,4.426642856253293039e-19
6.400000000000000000e+01,6.025120443351375819e-13,1.058788373335939922e-13,4.162028895172856844e-18,4.488924690610227057e-19
6.500000000000000000e+01,6.083552257875511840e-13,1.058862386384067022e-13,4.232165161174846899e-18,4.530445913514849415e-19
6.600000000000000000e+01,6.248908876083473149e-13,1.059137291991396217e-13,4.303072155374660615e-18,4.613488359324095094e-19
6.700000000000000000e+01,6.335139569450811768e-13,1.059348757843187916e-13,4.324652544913735426e-18,4.675770193681029113e-19
6.800000000000000000e+01,6.495536588192748674e-13,1.059972582105973532e-13,4.397100995509196462e-18,4.717291416585651471e-19
6.900000000000000000e+01,6.575590843285619206e-13,1.060490673442863237e-13,4.437949589993872794e-18,4.769192945216429659e-19
7.000000000000000000e+01,6.704772021304516161e-13,1.061463416361105150e-13,4.519646778963223145e-18,4.810714168121052017e-19
7.100000000000000000e+01,6.839201307345632352e-13,1.062901384153288748e-13,4.568973383623962819e-18,4.893756613930297696e-19
7.200000000000000000e+01,6.916282157930775391e-13,1.064053873045553673e-13,4.622924357471647537e-18,4.976799059739542411e-19
