time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture
8.278737804112383858e-06,8.278737804112383858e-06,2.800000000000000000e+01,2.800000000000396838e+01,2.549960506155081408e+00,2.549999999999999822e+00,2.800000000000396838e+01,2.549960506155081408e+00,2.800000000000000000e+01,2.549999997988981804e+00
1.655747560822476772e-05,8.278737804112383858e-06,2.800000000000000000e+01,2.800000000001194067e+01,2.549924125102948747e+00,2.549999999999999822e+00,2.800000000001194067e+01,2.549924125102948747e+00,2.800000000000000000e+01,2.549999995977994427e+00
2.483621341233714988e-05,8.278737804112382164e-06,2.800000000000000000e+01,2.800000000002240697e+01,2.549890488913593156e+00,2.549999999999999822e+00,2.800000000002240697e+01,2.549890488913593156e+00,2.800000000000000000e+01,2.549999993967034140e+00
3.311495121644952866e-05,8.278737804112378776e-06,2.800000000000000000e+01,2.800000000003486278e+01,2.549859277975915273e+00,2.549999999999999822e+00,2.800000000003486278e+01,2.549859277975915273e+00,2.800000000000001066e+01,2.549999991956099610e+00
4.139368902056190743e-05,8.278737804112378776e-06,2.800000000000000000e+01,2.800000000004903455e+01,2.549830214334966261e+00,2.549999999999999822e+00,2.800000000004903455e+01,2.549830214334966261e+00,2.800000000000001066e+01,2.549999989945189505e+00
4.967242682467428621e-05,8.278737804112378776e-06,2.800000000000000000e+01,2.800000000006473400e+01,2.549803055974186439e+00,2.549999999999999822e+00,2.800000000006473400e+01,2.549803055974186439e+00,2.800000000000001776e+01,2.549999987934301160e+00
5.795116462878666498e-05,8.278737804112378776e-06,2.800000000000000000e+01,2.800000000008182255e+01,2.549777591906123408e+00,2.549999999999999822e+00,2.800000000008182255e+01,2.549777591906123408e+00,2.800000000000001776e+01,2.549999985923434576e+00
6.622990243289904376e-05,8.278737804112378776e-06,2.800000000000000000e+01,2.800000000010019363e+01,2.549753637955089580e+00,2.549999999999999822e+00,2.800000000010019363e+01,2.549753637955089580e+00,2.800000000000002842e+01,2.549999983912586643e+00
7.632102490310981036e-05,1.009112247021076659e-05,2.800000000000000000e+01,2.800000000012420287e+01,2.549726250221723500e+00,2.549999999999999822e+00,2.800000000012420287e+01,2.549726250221723500e+00,2.800000000000002842e+01,2.549999981461548604e+00
8.641214737332057695e-05,1.009112247021076659e-05,2.800000000000000000e+01,2.800000000014987478e+01,2.549700616354387606e+00,2.549999999999999822e+00,2.800000000014987478e+01,2.549700616354387606e+00,2.800000000000003908e+01,2.549999979010535878e+00
