time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.329010386164930581e-17,6.816469566348576241e-17,5.659654302022804676e-20,5.937757889741863722e-21
2.000000000000000000e+00,1.633325503684038166e-17,1.605488396649914343e-16,1.234060330120789473e-19,1.268495661174303225e-20
3.000000000000000000e+00,2.790978351938115104e-17,8.015877444479712234e-17,1.856001857880536831e-19,1.579904832958972414e-20
4.000000000000000000e+00,2.151547651218702502e-17,1.705604260857554635e-16,2.541483302105428659e-19,2.325989307026409471e-20
5.000000000000000000e+00,4.091651159690070847e-17,1.693709306694270774e-16,3.329552884380535283e-19,3.052610707857304647e-20
6.000000000000000000e+00,2.274826179695030701e-17,2.134483441522627565e-16,3.821253389336106332e-19,3.312118351011195588e-20
7.000000000000000000e+00,5.795317490412064281e-17,2.162238334570290072e-16,4.558262228505368986e-19,4.038739751842090463e-20
8.000000000000000000e+00,7.387511818394889350e-18,4.407741348283568402e-16,5.143774806289838507e-19,4.376099687942148926e-20
9.000000000000000000e+00,4.563145531661102358e-17,4.097150878464486306e-17,5.802747415429413678e-19,4.998918031511487305e-20
1.000000000000000000e+01,6.771119176013248353e-18,4.173807249738983257e-16,6.579015222175339246e-19,5.621736375080826285e-20
1.100000000000000000e+01,1.264678237403923860e-17,3.293580641655967690e-16,7.204750177783752700e-19,6.296456247280943213e-20
1.200000000000000000e+01,2.209200296376786445e-17,2.669756378870406975e-16,7.830966838515804979e-19,7.126880705373395186e-20
1.300000000000000000e+01,3.070310017674123627e-17,2.201888181781236685e-16,8.833876905934369549e-19,7.801600577573512114e-20
1.400000000000000000e+01,3.686089334043443936e-17,1.852969526324906237e-16,9.285716311908727227e-19,8.424418921142849891e-20
1.500000000000000000e+01,4.003792208425225542e-17,1.575420595848279940e-16,9.703354654104643614e-19,8.839631150189075878e-20
1.600000000000000000e+01,4.184110056047317305e-17,1.374528036646150101e-16,1.007137736856563588e-18,9.773858665543083746e-20
1.700000000000000000e+01,4.530025926995820349e-17,1.200068708917985001e-16,1.043795496765570589e-18,1.024097242322008768e-19
1.800000000000000000e+01,5.267243793804509259e-17,1.059972582105973467e-16,1.122554284480717176e-18,1.086379076678942786e-19
1.900000000000000000e+01,5.662225745738614938e-17,9.621696256523051943e-17,1.193075914581619254e-18,1.107139688131253965e-19
2.000000000000000000e+01,6.049847785524880376e-17,8.934432238199976892e-17,1.268270084381829680e-18,1.133090452446643059e-19
2.100000000000000000e+01,6.265738541861535667e-17,8.167868525455007381e-17,1.347558747732980130e-18,1.195372286803576837e-19
2.200000000000000000e+01,6.324617839044258829e-17,7.692070358923648015e-17,1.399727412623196574e-18,1.262844274023588771e-19
2.300000000000000000e+01,6.204405940629530987e-17,7.348438349762111106e-17,1.461385668449121937e-18,1.304365496928211129e-19
2.400000000000000000e+01,6.511068946789551923e-17,6.978373109126608966e-17,1.510904955159318105e-18,1.325126108380522308e-19
2.500000000000000000e+01,6.464456169853227725e-17,6.687607562913000054e-17,1.574201008405619324e-18,1.366647331285144906e-19
2.600000000000000000e+01,6.604294500662197853e-17,6.343975553751461912e-17,1.640001928294848980e-18,1.470450388546701283e-19
2.700000000000000000e+01,6.638640757352119390e-17,6.291109090803533915e-17,1.696746791859645814e-18,1.491210999999012943e-19
2.800000000000000000e+01,6.604294500662197853e-17,6.026776776063889001e-17,1.761584301501595317e-18,1.595014057260569319e-19
2.900000000000000000e+01,6.530695379183792977e-17,5.868177387220102546e-17,1.801276803689534232e-18,1.636535280165191918e-19
3.000000000000000000e+01,6.977196716152782809e-17,5.709577998376316091e-17,1.871413069691524287e-18,1.678056503069814276e-19
3.100000000000000000e+01,7.026262797138386060e-17,5.603845072480458865e-17,1.943861520286986864e-18,1.724767878837514549e-19
3.200000000000000000e+01,7.026262797138386060e-17,5.550978609532529635e-17,2.026425778478889411e-18,1.787049713194448808e-19
3.300000000000000000e+01,7.237246945376479547e-17,5.656711535428386861e-17,2.084808439464062870e-18,1.807810324646759987e-19
3.400000000000000000e+01,7.090048702419669794e-17,5.445245683636671793e-17,2.160628825925004924e-18,1.870092159003693765e-19
3.500000000000000000e+01,6.883971162280135646e-17,5.339512757740813951e-17,2.241266263622347935e-18,2.015416439169872740e-19
3.600000000000000000e+01,6.879064554181576307e-17,5.286646294792885338e-17,2.304851339942833027e-18,2.036177050622183919e-19
3.700000000000000000e+01,6.771119176013248661e-17,5.075180443001170269e-17,2.337992652449267748e-18,2.119219496431429116e-19
3.800000000000000000e+01,6.771119176013248661e-17,5.339512757740813951e-17,2.368629098312774419e-18,2.160740719336051715e-19
3.900000000000000000e+01,6.643547365450679961e-17,5.128046905949098882e-17,2.457840887210910079e-18,2.223022553692985733e-19
4.000000000000000000e+01,6.319711230945698257e-17,5.022313980053241040e-17,2.525279604520515783e-18,2.290494540912997185e-19
4.100000000000000000e+01,6.417843392916904760e-17,5.075180443001170269e-17,2.596282939745057649e-18,2.352776375269931204e-19
4.200000000000000000e+01,6.623920933056438907e-17,5.233779831844956725e-17,2.660735085288095322e-18,2.441008973942253835e-19
4.300000000000000000e+01,6.162699771791768593e-17,5.128046905949098882e-17,2.715842151432515529e-18,2.544812031203810693e-19
4.400000000000000000e+01,6.084194042214803145e-17,5.339512757740813951e-17,2.799466160896426957e-18,2.596713559834588881e-19
4.500000000000000000e+01,6.094007258411924288e-17,5.233779831844956725e-17,2.839447686158550322e-18,2.700516617096145257e-19
4.600000000000000000e+01,6.241205501368734041e-17,5.445245683636671793e-17,2.892627931808410609e-18,2.767988604316156709e-19
4.700000000000000000e+01,6.260831933762975095e-17,5.180913368897027495e-17,2.943399651840070995e-18,2.814699980083856982e-19
4.800000000000000000e+01,6.152886555594647450e-17,5.339512757740813951e-17,2.997543307737211627e-18,2.897742425893102179e-19
4.900000000000000000e+01,6.044941177426321037e-17,5.392379220688743180e-17,3.065752753244641377e-18,2.939263648797725500e-19
5.000000000000000000e+01,6.241205501368734041e-17,5.550978609532529635e-17,3.107757440026053198e-18,2.991165177428503207e-19
5.100000000000000000e+01,6.133260123200406396e-17,5.498112146584601022e-17,3.175966885533482948e-18,3.069017470374670489e-19
5.200000000000000000e+01,5.848676853483908032e-17,5.656711535428386861e-17,3.230688587578991325e-18,3.152059916183915687e-19
5.300000000000000000e+01,6.201952636580250701e-17,5.709577998376316091e-17,3.318936966229846640e-18,3.224722056267005535e-19
5.400000000000000000e+01,6.241205501368734041e-17,5.815310924272174549e-17,3.375778170819371238e-18,3.312954654939328166e-19
5.500000000000000000e+01,6.260831933762975095e-17,6.343975553751461912e-17,3.429536462617600426e-18,3.312954654939328166e-19
5.600000000000000000e+01,5.946809015455114534e-17,6.238242627855604686e-17,3.480019159575076361e-18,3.375236489296262185e-19
5.700000000000000000e+01,5.868303285878149086e-17,6.132509701959747460e-17,3.568460220275387976e-18,3.395997100748573364e-19
5.800000000000000000e+01,6.005688312637837696e-17,6.343975553751461912e-17,3.637247711931185471e-18,3.468659240831663212e-19
5.900000000000000000e+01,6.103820474609044199e-17,6.555441405543177597e-17,3.697364511361462551e-18,3.530941075188596749e-19
6.000000000000000000e+01,6.339337663339940544e-17,5.921043850168031775e-17,3.773473920896588670e-18,3.577652450956297022e-19
6.100000000000000000e+01,8.539460734734389932e-16,7.084106035022466192e-17,3.823306315937151325e-18,3.607495829918994793e-19
6.200000000000000000e+01,1.700434102637066312e-15,1.226501940391949492e-16,3.887951143529645298e-18,3.654207205686695066e-19
6.300000000000000000e+01,1.878053315804950130e-15,3.912118258146735236e-17,3.951150855751217789e-18,3.737249651495939782e-19
6.400000000000000000e+01,1.490823804666569144e-15,5.180913368897027495e-17,3.996623819422837622e-18,3.737249651495939782e-19
6.500000000000000000e+01,1.855286654227630261e-15,1.300514988519049920e-16,4.163871838350660477e-18,3.747629957222096094e-19
6.600000000000000000e+01,2.492949442716529808e-15,2.516443636321413566e-16,4.213198443011400152e-18,3.851433014483652470e-19
6.700000000000000000e+01,1.574039878018152297e-15,3.288293995361174644e-16,4.263488457919420558e-18,3.851433014483652470e-19
6.800000000000000000e+01,7.428408396896389902e-15,1.448541084773250677e-15,4.335936908514882364e-18,3.955236071745208847e-19
6.900000000000000000e+01,1.851361367748781804e-15,4.631102154238567455e-16,4.434782799885819555e-18,4.038278517554453563e-19
7.000000000000000000e+01,2.218964446492921293e-15,4.144730695117621996e-16,4.484109404546559229e-18,4.038278517554453563e-19
7.100000000000000000e+01,4.058353690481215696e-15,9.103604919633349440e-16,4.592782080439752324e-18,4.204363409172943957e-19
7.200000000000000000e+01,1.951652437283354761e-15,4.345623254319751835e-16,4.742303350817620980e-18,4.308166466434500334e-19
7.300000000000000000e+01,2.250366738323707373e-15,7.253278716455838493e-16,4.844039472930397281e-18,4.432730135148368370e-19
7.400000000000000000e+01,3.738442842455082992e-15,1.211699330766529308e-15,4.980843728044169381e-18,4.474251358052990728e-19
7.500000000000000000e+01,4.084260581241614726e-15,1.183151440774647844e-15,5.030170332704909055e-18,4.474251358052990728e-19
7.600000000000000000e+01,3.742760657581816295e-15,1.318489585921345685e-15,5.045584896661390733e-18,4.474251358052990728e-19
7.700000000000000000e+01,2.904711994347712469e-15,8.945005530789561999e-16,5.101077326904722771e-18,4.557293803862235444e-19
7.800000000000000000e+01,2.240160993478702173e-15,8.807552727124946742e-16,5.106472424289491474e-18,4.681857472576103481e-19
7.900000000000000000e+01,1.983839786409910533e-15,6.269962505624362470e-16,5.161964854532824282e-18,4.681857472576103481e-19
8.000000000000000000e+01,1.044518732021522031e-15,4.821421420851111201e-16,5.224393838556573114e-18,4.681857472576103481e-19
8.100000000000000000e+01,1.263942246189139750e-15,3.901544965557149267e-16,5.239808402513054792e-18,4.681857472576103481e-19
8.200000000000000000e+01,1.028425057458244169e-16,1.321661573698221365e-16,5.283739909789027304e-18,4.681857472576103481e-19
8.300000000000000000e+01,7.198975402207708814e-16,1.913765958715024543e-16,5.311486124910693708e-18,4.681857472576103481e-19
8.400000000000000000e+01,6.374665241649574194e-16,1.638860351385794522e-16,5.362739550065993304e-18,4.681857472576103481e-19
