time_s,step_s,temperature_min_C,temperature_max_C,moisture_min,moisture_max,surface_temperature_C,surface_moisture,mean_temperature_C,mean_moisture,surface_heat_flux,surface_moisture_flux,cumulative_moisture_flux
4.896377041998768181e-07,4.896377041998768181e-07,2.800000000000000000e+01,2.800000000000002132e+01,2.549997979908435131e+00,2.549999999999999822e+00,2.800000000000002132e+01,2.549997979908435131e+00,2.800000000000000000e+01,2.549999999900882663e+00,-1.077197886445446784e-07,2.024294383924201772e-06,9.911712504151719872e-13
9.792754083997536361e-07,4.896377041998768181e-07,2.800000000000000000e+01,2.800000000000007461e+01,2.549995971125128769e+00,2.549999999999999822e+00,2.800000000000007461e+01,2.549995971125128769e+00,2.800000000000000000e+01,2.549999999801765949e+00,-2.154386891106696567e-07,2.024292776895010470e-06,1.982341711384350238e-12
1.943335981926299630e-06,9.640605735265459934e-07,2.800000000000000000e+01,2.800000000000022737e+01,2.549992045150382136e+00,2.549999999999999822e+00,2.800000000000022737e+01,2.549992045150382136e+00,2.800000000000000000e+01,2.549999999606611834e+00,-4.275282350363340811e-07,2.024289636110200607e-06,3.933881050341850963e-12
2.907396555452845623e-06,9.640605735265459934e-07,2.800000000000000000e+01,2.800000000000046185e+01,2.549988160974344442e+00,2.549999999999999822e+00,2.800000000000046185e+01,2.549988160974344442e+00,2.800000000000000000e+01,2.549999999411458163e+00,-6.396157381516331952e-07,2.024286528764357114e-06,5.885417377392853654e-12
3.871457128979391616e-06,9.640605735265459934e-07,2.800000000000000000e+01,2.800000000000074962e+01,2.549984319469726923e+00,2.549999999999999822e+00,2.800000000000074962e+01,2.549984319469726923e+00,2.800000000000000000e+01,2.549999999216304936e+00,-8.517018201814607892e-07,2.024283455555649859e-06,7.836950725173283492e-12
6.378304638669046419e-06,2.506847509689654803e-06,2.800000000000000000e+01,2.800000000000173372e+01,2.549974526307800193e+00,2.549999999999999822e+00,2.800000000000173372e+01,2.549974526307800193e+00,2.800000000000000000e+01,2.549999998708848636e+00,-1.403183702564092528e-06,2.024275621013072910e-06,1.291151079705899188e-11
8.885152148358701221e-06,2.506847509689654803e-06,2.800000000000000000e+01,2.800000000000300560e+01,2.549965008434845970e+00,2.549999999999999822e+00,2.800000000000300560e+01,2.549965008434845970e+00,2.800000000000000000e+01,2.549999998201394558e+00,-1.954658301883682725e-06,2.024268006701673650e-06,1.798605150655514397e-11
1.139199965804835602e-05,2.506847509689654803e-06,2.800000000000000000e+01,2.800000000000449418e+01,2.549955754610709668e+00,2.549999999999999822e+00,2.800000000000449418e+01,2.549955754610709668e+00,2.800000000000000000e+01,2.549999997693942255e+00,-2.506127572132754722e-06,2.024260603629329134e-06,2.306057339572351228e-11
1.591638538599416555e-05,4.524385727945809524e-06,2.800000000000000000e+01,2.800000000000767031e+01,2.549939687479694239e+00,2.549999999999999822e+00,2.800000000000767031e+01,2.549939687479694239e+00,2.800000000000000000e+01,2.549999996778091749e+00,-3.501413026185673516e-06,2.024247749900990135e-06,3.221907986347952522e-11
2.044077111393997507e-05,4.524385727945809524e-06,2.800000000000000000e+01,2.800000000001135447e+01,2.549924383161970454e+00,2.549999999999999822e+00,2.800000000001135447e+01,2.549924383161970454e+00,2.800000000000000000e+01,2.549999995862246571e+00,-4.496685779287190599e-06,2.024235506423284257e-06,4.137752957522148069e-11
2.496515684188578459e-05,4.524385727945809524e-06,2.800000000000000000e+01,2.800000000001548273e+01,2.549909783534964003e+00,2.549999999999999822e+00,2.800000000001548273e+01,2.549909783534964003e+00,2.800000000000000000e+01,2.549999994946407611e+00,-5.491947430158461430e-06,2.024223826698152360e-06,5.053592518490608718e-11
2.948954256983159412e-05,4.524385727945809524e-06,2.800000000000000000e+01,2.800000000002002665e+01,2.549895836128797555e+00,2.549999999999999822e+00,2.800000000002002665e+01,2.549895836128797555e+00,2.800000000000000000e+01,2.549999994030572648e+00,-6.487198689342221769e-06,2.024212668749692168e-06,5.969426914580231059e-11
3.701508633660677912e-05,7.525543766775185002e-06,2.800000000000000000e+01,2.800000000002840039e+01,2.549873954154032063e+00,2.549999999999999822e+00,2.800000000002840039e+01,2.549873954154032063e+00,2.800000000000000711e+01,2.549999992507249402e+00,-8.142608987071753290e-06,2.024195163130747116e-06,7.492750351905660307e-11
4.454063010338196412e-05,7.525543766775185002e-06,2.800000000000000000e+01,2.800000000003769784e+01,2.549853551696588116e+00,2.549999999999999822e+00,2.800000000003769784e+01,2.549853551696588116e+00,2.800000000000000711e+01,2.549999990983939036e+00,-9.797996192162372608e-06,2.024178841125659285e-06,9.016061069690543561e-11
5.206617387015714912e-05,7.525543766775185002e-06,2.800000000000000000e+01,2.800000000004784084e+01,2.549834460329581276e+00,2.549999999999999822e+00,2.800000000004784084e+01,2.549834460329581276e+00,2.800000000000000711e+01,2.549999989460639771e+00,-1.145336225860660306e-05,2.024163567992920936e-06,1.053935990686215471e-10
5.959171763693233413e-05,7.525543766775185002e-06,2.800000000000000000e+01,2.800000000005875833e+01,2.549816532857796414e+00,2.549999999999999822e+00,2.800000000005875833e+01,2.549816532857796414e+00,2.800000000000001066e+01,2.549999987937352053e+00,-1.310870896276128406e-05,2.024149225976360450e-06,1.206264760745488087e-10
6.711726140370751913e-05,7.525543766775185002e-06,2.800000000000000000e+01,2.800000000007039347e+01,2.549799640845984428e+00,2.549999999999999822e+00,2.800000000007039347e+01,2.549799640845984428e+00,2.800000000000001776e+01,2.549999986414074549e+00,-1.476403763689404514e-05,2.024135712327777373e-06,1.358592483260855208e-10
7.745806914081835822e-05,1.034080773711083909e-05,2.800000000000000000e+01,2.800000000008748913e+01,2.549777915594422684e+00,2.549999999999999822e+00,2.800000000008748913e+01,2.549777915594422684e+00,2.800000000000001776e+01,2.549999984320963975e+00,-1.703858796275881105e-05,2.024118332072756140e-06,1.567903555841762359e-10
8.779887687792919731e-05,1.034080773711083909e-05,2.800000000000000000e+01,2.800000000010577850e+01,2.549757689753989531e+00,2.549999999999999822e+00,2.800000000010577850e+01,2.549757689753989531e+00,2.800000000000002487e+01,2.549999982227870721e+00,-1.931310844582867503e-05,2.024102151346637322e-06,1.777212894721571192e-10
9.813968461504003640e-05,1.034080773711083909e-05,2.800000000000000000e+01,2.800000000012519052e+01,2.549738758877178491e+00,2.549999999999999822e+00,2.800000000012519052e+01,2.549738758877178491e+00,2.800000000000003553e+01,2.549999980134793454e+00,-2.158760086246047649e-05,2.024087006591416516e-06,1.986520615236269388e-10
1.084804923521508755e-04,1.034080773711083909e-05,2.800000000000000000e+01,2.800000000014566837e+01,2.549720951808954528e+00,2.549999999999999822e+00,2.800000000014566837e+01,2.549720951808954528e+00,2.800000000000003908e+01,2.549999978041731730e+00,-2.386206663373968695e-05,2.024072760883064986e-06,2.195826817228962686e-10
1.188213000892617146e-04,1.034080773711083909e-05,2.800000000000000000e+01,2.800000000016714807e+01,2.549704124851139841e+00,2.549999999999999822e+00,2.800000000016714807e+01,2.549704124851139841e+00,2.800000000000004619e+01,2.549999975948683772e+00,-2.613650735838746186e-05,2.024059299263041084e-06,2.405131587558663790e-10
1.309074517715285108e-04,1.208615168226679617e-05,2.800000000000000000e+01,2.800000000019347368e+01,2.549685539896201281e+00,2.549999999999999822e+00,2.800000000019347368e+01,2.549685539896201281e+00,2.800000000000005684e+01,2.549999973502384165e+00,-2.879480254236455039e-05,2.024044431236242509e-06,2.649761557344687967e-10
1.429936034537952934e-04,1.208615168226678262e-05,2.800000000000000000e+01,2.800000000022106050e+01,2.549667969738211859e+00,2.549999999999999822e+00,2.800000000022106050e+01,2.549667969738211859e+00,2.800000000000006750e+01,2.549999971056101877e+00,-3.145306628482558153e-05,2.024030375047002477e-06,2.894389780390746703e-10
1.550797551360620760e-04,1.208615168226678262e-05,2.800000000000000000e+01,2.800000000024983393e+01,2.549651282068015501e+00,2.549999999999999822e+00,2.800000000024983393e+01,2.549651282068015501e+00,2.800000000000007816e+01,2.549999968609836021e+00,-3.411130027330955272e-05,2.024017024847997657e-06,3.139016348215299054e-10
1.671659068183288586e-04,1.208615168226678262e-05,2.800000000000000000e+01,2.800000000027976554e+01,2.549635367319652790e+00,2.549999999999999822e+00,2.800000000027976554e+01,2.549635367319652790e+00,2.800000000000009592e+01,2.549999966163586596e+00,-3.676950539599488366e-05,2.024004292986459570e-06,3.383641340682489957e-10
1.792520585005956413e-04,1.208615168226678262e-05,2.800000000000000000e+01,2.800000000031079495e+01,2.549620134384113168e+00,2.549999999999999822e+00,2.800000000031079495e+01,2.549620134384113168e+00,2.800000000000010658e+01,2.549999963717351381e+00,-3.942768298514920389e-05,2.023992106575179811e-06,3.628264827988416639e-10
1.913382101828624239e-04,1.208615168226678262e-05,2.800000000000000000e+01,2.800000000034290082e+01,2.549605506973719571e+00,2.549999999999999822e+00,2.800000000034290082e+01,2.549605506973719571e+00,2.800000000000012434e+01,2.549999961271131266e+00,-4.208583375131524917e-05,2.023980404584017020e-06,3.872886872263135000e-10
2.093028087973139223e-04,1.796459861445149839e-05,2.800000000000000000e+01,2.800000000039253223e+01,2.549584748728156658e+00,2.549999999999999822e+00,2.800000000039253223e+01,2.549584748728156658e+00,2.800000000000014566e+01,2.549999957635146419e+00,-4.603680459069892095e-05,2.023963797894150302e-06,4.236485323109190827e-10
2.272674074117654206e-04,1.796459861445149839e-05,2.800000000000000000e+01,2.800000000044433790e+01,2.549565015030291093e+00,2.549999999999999822e+00,2.800000000044433790e+01,2.549565015030291093e+00,2.800000000000017408e+01,2.549999953999190883e+00,-4.998772116238114904e-05,2.023948010842442130e-06,4.600080866100422282e-10
2.452320060262169190e-04,1.796459861445149839e-05,2.800000000000000000e+01,2.800000000049825033e+01,2.549546167824457310e+00,2.549999999999999822e+00,2.800000000049825033e+01,2.549546167824457310e+00,2.800000000000019895e+01,2.549999950363263324e+00,-5.393858506508308892e-05,2.023932932984359686e-06,4.963673638182471367e-10
2.631966046406684174e-04,1.796459861445149839e-05,2.800000000000000000e+01,2.800000000055417715e+01,2.549528096480834449e+00,2.549999999999999822e+00,2.800000000055417715e+01,2.549528096480834449e+00,2.800000000000022737e+01,2.549999946727362410e+00,-5.788939860806863180e-05,2.023918475816045101e-06,5.327263758520821221e-10
2.811612032551199158e-04,1.796459861445149839e-05,2.800000000000000000e+01,2.800000000061205085e+01,2.549510711405055918e+00,2.549999999999999822e+00,2.800000000061205085e+01,2.549510711405055918e+00,2.800000000000025935e+01,2.549999943091486365e+00,-6.184016347887677512e-05,2.023904567662006601e-06,5.690851331967808889e-10
2.991258018695714142e-04,1.796459861445149839e-05,2.800000000000000000e+01,2.800000000067181460e+01,2.549493938823283568e+00,2.549999999999999822e+00,2.800000000067181460e+01,2.549493938823283568e+00,2.800000000000029488e+01,2.549999939455635189e+00,-6.579088100977514841e-05,2.023891149503172496e-06,6.054436451689002864e-10
3.236334495284451580e-04,2.450764765887374378e-05,2.800000000000000000e+01,2.800000000075628392e+01,2.549471935579596504e+00,2.549999999999999822e+00,2.800000000075628392e+01,2.549471935579596504e+00,2.800000000000034461e+01,2.549999934495576159e+00,-7.118045175502629718e-05,2.023873546780782876e-06,6.550442390982408987e-10
3.481410971873189018e-04,2.450764765887374378e-05,2.800000000000000000e+01,2.800000000084401464e+01,2.549450830119766032e+00,2.549999999999999822e+00,2.800000000084401464e+01,2.549450830119766032e+00,2.800000000000039790e+01,2.549999929535558874e+00,-7.656994105431635944e-05,2.023856662285478830e-06,7.046444106158865877e-10
3.726487448461926455e-04,2.450764765887374378e-05,2.800000000000000000e+01,2.800000000093490371e+01,2.549430518297260306e+00,2.549999999999999822e+00,2.800000000093490371e+01,2.549430518297260306e+00,2.800000000000045830e+01,2.549999924575582444e+00,-8.195935130572706839e-05,2.023840412700034675e-06,7.542441762662059577e-10
3.971563925050663893e-04,2.450764765887374378e-05,2.800000000000000000e+01,2.800000000102884101e+01,2.549410915349139106e+00,2.549999999999999822e+00,2.800000000102884101e+01,2.549410915349139106e+00,2.800000000000051870e+01,2.549999919615644650e+00,-8.734868535142936707e-05,2.023824730214097879e-06,8.038435507510695342e-10
4.216640401639401331e-04,2.450764765887374378e-05,2.800000000000000000e+01,2.800000000112572351e+01,2.549391951162799153e+00,2.549999999999999822e+00,2.800000000112572351e+01,2.549391951162799153e+00,2.800000000000058620e+01,2.549999914655745048e+00,-9.273794576714067261e-05,2.023809558737586285e-06,8.534425472616715092e-10
