time_s,q2_center_T,q1_center_T,q2_surface_T,q1_surface_T,q2_center_C,q1_center_C,q2_surface_C,q1_surface_C
0.0,28.0,28.0,28.0,28.0,2.55,2.55,2.55,2.55
1.0,28.0,28.0,28.000129668591658,28.000186639820782,2.55,2.55,2.5198055433625433,2.5177261488308487
2.0,28.0,28.0,28.00036590087609,28.00052529196311,2.55,2.55,2.507423882841934,2.504492535440185
3.0,28.0,28.0,28.00067100033422,28.00096138419359,2.55,2.55,2.4979725856543697,2.494391141492553
4.0,28.0,28.0,28.00103151815863,28.00147545965179,2.55,2.55,2.4900380082102123,2.4859108926146707
5.0,28.0,28.0,28.001439683285167,28.002056281813072,2.55,2.55,2.4830726164599164,2.4784665184320986
6.0,28.0,28.0,28.001890253464225,28.00269627465065,2.55,2.55,2.4767956143661887,2.4717578706300807
7.0,28.0,28.0,28.002379380994885,28.00338988036326,2.55,2.55,2.471040203381366,2.465606655172613
8.0,28.0,28.0,28.00290408525094,28.00413279575569,2.55,2.55,2.4656977094866774,2.459896708585306
9.0,28.0,28.0,28.003461968677527,28.00492156113814,2.55,2.55,2.460692650516873,2.454547346830794
10.0,28.0,28.0,28.00405104824728,28.00575331638628,2.55,2.55,2.455970070483505,2.4494998267990207
11.0,28.0,28.0,28.00466964818869,28.006625645698026,2.55,2.55,2.4514884837191375,2.444709804005378
12.0,28.0,28.0,28.00531632799398,28.007536473419893,2.55,2.55,2.4472156612991505,2.44014282860557
13.0,28.0,28.0,28.005989832045497,28.008483991170284,2.55,2.55,2.4431259740467026,2.43577150556397
14.0,28.0,28.000000000000004,28.0066890531754,28.009466605113634,2.55,2.55,2.4391986428873067,2.4315736239941375
15.0,28.0,28.0,28.007413005545757,28.010482896739543,2.55,2.55,2.4354165433944224,2.427530879683565
16.0,28.0,28.0,28.0081608040051,28.011531592999535,2.55,2.55,2.4317653648242414,2.4236279759258696
17.0,28.0,28.0,28.008931648046712,28.012611543112417,2.55,2.55,2.4282330024476124,2.419851974129342
18.0,28.0,28.0,28.0097248091375,28.013721700237305,2.55,2.55,2.4248091090873,2.416191814296847
19.0,28.0,27.999999999999996,28.010539620547288,28.01486110677496,2.55,2.55,2.4214847572052447,2.4126379540317235
20.0,28.0,28.000000000000004,28.011375469092396,28.01602888242261,2.55,2.55,2.4182521805692185,2.409182092116007
21.0,28.0,27.999999999999996,28.01223178833479,28.017224214353067,2.55,2.55,2.4151045729537324,2.405816953636457
22.0,28.0,27.999999999999996,28.0131080529411,28.018446349055413,2.55,2.55,2.4120359299484466,2.4025361206944456
23.0,28.0,28.000000000000007,28.014003773948602,28.0196945854926,2.55,2.55,2.4090409226660072,2.399333897409963
24.0,28.0,28.000000000000014,28.01491849475541,28.02096826931487,2.55,2.55,2.406114795761003,2.3962052010928474
25.0,28.0,28.000000000000025,28.01585178771275,28.02226678792799,2.55,2.55,2.4032532847297237,2.3931454736367708
26.0,28.0,28.000000000000068,28.01680325119473,28.023589566260885,2.55,2.55,2.4004525477727223,2.3901506087244764
27.0,28.0,28.000000000000174,28.017772507062418,28.024936063109916,2.55,2.55,2.3977091092328418,2.387216891526875
28.0,28.000000000000004,28.000000000000412,28.01875919846969,28.026305767962633,2.55,2.55,2.3950198126629583,2.384340948371031
29.0,28.000000000000025,28.00000000000095,28.019762987942517,28.02769819822315,2.55,2.55,2.3923817812506685,2.3815197044339493
30.0,28.000000000000036,28.00000000000206,28.020783555689114,28.02911289677596,2.55,2.55,2.3897923842558453,2.378750347951301
31.0,28.000000000000103,28.000000000004256,28.021820598109688,28.03054942983716,2.55,2.55,2.387249208471331,2.376030299755343
32.0,28.000000000000227,28.00000000000846,28.022873826484254,28.032007385050665,2.55,2.55,2.3847500339948495,2.3733571872031707
33.0,28.000000000000473,28.000000000016158,28.02394296579505,28.033486369794886,2.55,2.55,2.3822928131283456,2.3707288217458746
34.0,28.000000000000945,28.000000000029782,28.02502775368025,28.03498600967065,2.55,2.55,2.3798756522641207,2.3681431795358168
