time_s,location,rho,cp,k,D
0.0,center,976.4,3415.295774647887,0.48295774647887324,5.641680373025668e-09
60.0,center,976.4,3415.295774647887,0.48295774647887324,5.6416803803177825e-09
120.0,center,976.4,3415.295774647887,0.48295774647887324,5.641694894028692e-09
180.0,center,976.4,3415.295774647887,0.48295774647887324,5.64195841689691e-09
240.0,center,976.4,3415.295774647887,0.48295774647887324,5.643180264417302e-09
300.0,center,976.3999999999999,3415.295774647887,0.48295774647887324,5.646249164596272e-09
360.0,center,976.4,3415.295774647887,0.48295774647887324,5.6517875736301554e-09
420.0,center,976.4,3415.295774647887,0.48295774647887324,5.6602186767908135e-09
480.0,center,976.3999999999999,3415.295774647887,0.48295774647887324,5.67197558409804e-09
540.0,center,976.3999999999999,3415.295774647887,0.48295774647887313,5.687284693643606e-09
600.0,center,976.3999999999951,3415.2957746478787,0.48295774647887213,5.706128114689446e-09
660.0,center,976.3999999999188,3415.2957746477496,0.48295774647885414,5.728370259841807e-09
720.0,center,976.3999999991509,3415.295774646447,0.4829577464786732,5.753987607914604e-09
780.0,center,976.39999999374,3415.2957746372695,0.48295774647739853,5.783045560838195e-09
840.0,center,976.3999999649799,3415.29577458849,0.4829577464706236,5.815621588700375e-09
900.0,center,976.3999998429548,3415.295774381524,0.4829577464418784,5.85165445837635e-09
960.0,center,976.3999994117673,3415.2957736501903,0.4829577463403043,5.890994540943451e-09
1020.0,center,976.3999981009381,3415.2957714269032,0.4829577460315144,5.933387719569153e-09
1080.0,center,976.3999945849141,3415.2957654634033,0.4829577452032504,5.978648475840709e-09
1140.0,center,976.3999860962988,3415.29575106593,0.4829577432036013,6.026684710920639e-09
1200.0,center,976.3999673541518,3415.29571927752,0.4829577387885444,6.077444061831711e-09
1260.0,center,976.3999290183192,3415.2956542564043,0.4829577297578339,6.1310199865933645e-09
1320.0,center,976.3998556040797,3415.2955297390376,0.4829577124637552,6.187395455759496e-09
1380.0,center,976.3997228283622,3415.2953045389904,0.48295768118597093,6.246419814002359e-09
1440.0,center,976.3994944021786,3415.29491710649,0.4829576273759014,6.307948127942259e-09
1500.0,center,976.3991183161502,3415.294279228022,0.4829575387816697,6.372005330366809e-09
1560.0,center,976.3985227053402,3415.2932690120206,0.48295739847389174,6.43851165805855e-09
1620.0,center,976.3976114427228,3415.2917234135944,0.4829571838074437,6.507171102817076e-09
1680.0,center,976.3962596480301,3415.2894306144444,0.4829568653631173,6.57764124559654e-09
1740.0,center,976.3943092565778,3415.286122502357,0.4829564059031052,6.649733832068461e-09
1800.0,center,976.3915648224183,3415.2814675447034,0.4829557593812088,6.723292242617895e-09
1860.0,center,976.3877896758441,3415.275064257701,0.48295487003579185,6.798383968379273e-09
1920.0,center,976.38270239635,3415.2664352030733,0.48295367155598234,6.875248245830653e-09
1980.0,center,976.3759737990184,3415.2550218447386,0.4829520863673248,6.9540099534874005e-09
2040.0,center,976.3672247418576,3415.240180783361,0.48295002510880014,7.034524376517442e-09
2100.0,center,976.3560251651506,3415.2211820615667,0.4829473863974397,7.116392588456315e-09
2160.0,center,976.3418940964921,3415.1972090832032,0.4829440568171115,7.199373258482558e-09
2220.0,center,976.3243002261145,3415.167359470529,0.4829399110375734,7.283336123680175e-09
2280.0,center,976.3026636262965,3415.130647827157,0.4829348121982163,7.368097695990062e-09
2340.0,center,976.2763583432401,3415.08600994069,0.48292861249176255,7.453607442995208e-09
2400.0,center,976.2447150887995,3415.0323071088706,0.4829211537651209,7.53992431362333e-09
2460.0,center,976.2070248472032,3414.96833196754,0.48291226832882506,7.62707144475812e-09
2520.0,center,976.1625428766217,3414.892814934018,0.48290177985194693,7.715102610107414e-09
2580.0,center,976.1104934899147,3414.8044319156925,0.48288950443273504,7.804000054836349e-09
2640.0,center,976.0500751273582,3414.7018124558863,0.48287525172998425,7.893758247144678e-09
2700.0,center,975.980466761291,3414.5835500844487,0.48285882640061784,7.984139594400797e-09
2760.0,center,975.9008361990526,3414.4482158424125,0.4828400299781128,8.074905239877228e-09
2820.0,center,975.8103450548113,3414.2943661019854,0.482818661958609,8.166100287209568e-09
2880.0,center,975.7081541220264,3414.1205510231794,0.4827945209754416,8.257588979226719e-09
2940.0,center,975.5934338014442,3413.925331579425,0.48276740716380906,8.348994243447517e-09
3000.0,center,975.465372414635,3413.707292984258,0.48273712402559144,8.440157887699653e-09
3060.0,center,975.3231793833538,3413.4650493796044,0.4827034790805006,8.531049673558793e-09
3120.0,center,975.1660932035622,3413.197256696152,0.48266628565224334,8.621424678843504e-09
3180.0,center,974.993389654211,3412.9026259581215,0.4826253647164057,8.711114873924446e-09
3240.0,center,974.8043837246137,3412.579925928921,0.4825805452679057,8.800269478668977e-09
3300.0,center,974.5984237944585,3412.2279725502485,0.48253166285420124,8.88931465999645e-09
3360.0,center,974.3748929701262,3411.845630599294,0.4824785598054575,8.978364928163654e-09
3420.0,center,974.1332183305042,3411.4318289349803,0.48242108735208056,9.067329496256146e-09
3480.0,center,973.872877928466,3410.9855720363903,0.4823591072272765,9.155979797335403e-09
3540.0,center,973.5934093902492,3410.5059544317573,0.4822924936710774,9.243988532514871e-09
3600.0,center,973.2944144980906,3409.9921684174055,0.48222113450241744,9.331056082911849e-09
3660.0,center,972.9755644366528,3409.4435130926195,0.48214493237397493,9.41685375056969e-09
3720.0,center,972.6365965513114,3408.859388961935,0.48206380402249105,9.501453435020434e-09
3780.0,center,972.2772968646082,3408.239268027536,0.4819776761149356,9.585200582796654e-09
3840.0,center,971.8974983054417,3407.582690903876,0.48188648484776053,9.668186164213982e-09
3900.0,center,971.4970857593437,3406.889275826144,0.4817901771980756,9.750463738088435e-09
3960.0,center,971.0759935826507,3406.158714773192,0.4816887103851656,9.83205643553983e-09
4020.0,center,970.6342103593336,3405.3907822600045,0.48158205309166724,9.912790933664036e-09
4080.0,center,970.1717850027778,3404.585346692833,0.48147018704067124,9.992453279303842e-09
4140.0,center,969.6888266251001,3403.7423711017286,0.4813531070974624,1.007081473651277e-08
4200.0,center,969.1855089196388,3402.861921921236,0.4812308224890606,1.0147534194075702e-08
4260.0,center,968.6620688212073,3401.9441679831034,0.4811033566643199,1.0222505886801471e-08
4320.0,center,968.1187837568926,3400.9893419622476,0.4809707419392011,1.0295938206302198e-08
4380.0,center,967.5559622338194,3399.9977249003405,0.48083301734726946,1.036797335073549e-08
4440.0,center,966.973936131034,3398.9696335812523,0.48069022688628504,1.043893895753445e-08
4500.0,center,966.3730502359033,3397.9054028724604,0.4805424170656195,1.0508956272444405e-08
4560.0,center,965.7536924405811,3396.805440121733,0.4803896444613519,1.0577534997643908e-08
4620.0,center,965.1163100951958,3395.670255818921,0.4802319799748501,1.0644373999025657e-08
4680.0,center,964.4613812961329,3394.5004142641524,0.4800695019811323,1.0709617596778403e-08
4740.0,center,963.7893898784923,3393.2964900847446,0.4799022902895479,1.0773596326832564e-08
4800.0,center,963.1008124081816,3392.0590455772544,0.479730422996841,1.0836630354965185e-08
4860.0,center,962.3961248249559,3390.7886430899066,0.47955397820693146,1.0898822664764257e-08
4920.0,center,961.6758101530243,3389.485859551577,0.4793730360488302,1.0960165545918185e-08
4980.0,center,960.9403713527446,3388.151310619448,0.4791876820304789,1.1020382570836654e-08
5040.0,center,960.1903418073139,3386.7856710041374,0.4789980098616857,1.1079277012370428e-08
5100.0,center,959.4262702772235,3385.3896485045307,0.4788041178478515,1.1136711011893791e-08
5160.0,center,958.6487398563838,3383.9640199690366,0.4786061138845884,1.1192161740054647e-08
5220.0,center,957.8583745275248,3382.5096451808936,0.47840411738623523,1.124539887348604e-08
5280.0,center,957.0557934736071,3381.0273844100743,0.4781982478347325,1.1296884489469155e-08
5340.0,center,956.2415636350254,3379.5180108775917,0.47798861262188774,1.134723841096143e-08
5400.0,center,955.4162255646355,3377.9822578313388,0.4777753135876859,1.1396381802672742e-08
5460.0,center,954.5803347205537,3376.4208955170516,0.4775584577107016,1.1444109417820633e-08
5520.0,center,953.7344474628962,3374.834706014286,0.4773381536130953,1.1490434434046493e-08
5580.0,center,952.8791121916038,3373.224467162685,0.4771145093281507,1.1535458521285231e-08
5640.0,center,952.0148497264213,3371.590915702551,0.4768876271809098,1.15794587322549e-08
5700.0,center,951.1421638056968,3369.9347667581687,0.4766576064941901,1.1622337800555688e-08
5760.0,center,950.2615657922202,3368.25676088358,0.47642455012271945,1.1663888519666107e-08
5820.0,center,949.3735671336083,3366.5576504208184,0.476188562558447,1.1704156081644856e-08
5880.0,center,948.4786565359238,3364.8381560649077,0.4759497438979039,1.1743275014181546e-08
5940.0,center,947.5773184439234,3363.0990021731022,0.47570819474626425,1.1780962439902161e-08
6000.0,center,946.6700578348566,3361.340965206012,0.47546402294527945,1.1816940492642267e-08
6060.0,center,945.7573635028609,3359.564803440553,0.4752173338111879,1.1851700117238523e-08
6120.0,center,944.8396399887765,3357.771123423302,0.47496821158656966,1.18861246923116e-08
6180.0,center,943.9172310318806,3355.9604229400675,0.47471672540834275,1.1920299145359254e-08
6240.0,center,942.9904967425451,3354.1332412257084,0.4744629501702372,1.1953611846196362e-08
6300.0,center,942.0598359599276,3352.290204347438,0.4742069728260331,1.1985786056128231e-08
6360.0,center,941.1256250507461,3350.4319052131486,0.4739488757240484,1.2017174702552015e-08
6420.0,center,940.1882095528254,3348.5588861663928,0.47368873418977675,1.2047764153151869e-08
6480.0,center,939.2479419076478,3346.6717138043696,0.47342662691727355,1.2077205246240735e-08
6540.0,center,938.305202576983,3344.771022240012,0.47316264197777946,1.2105036041423764e-08
6600.0,center,937.3603977405855,3342.8575099961186,0.47289687638834976,1.2130966547602953e-08
6660.0,center,936.41392184234,3340.9318651190647,0.4726294257109812,1.2155394995293242e-08
6720.0,center,935.4660972503477,3338.994641328587,0.47236036685119265,1.2178980673028472e-08
6780.0,center,934.5172142839136,3337.046337283344,0.4720897690671312,1.220151170004209e-08
6840.0,center,933.5675851117767,3335.0875067216775,0.4718177092668997,1.2222677539842715e-08
6900.0,center,932.6175160124783,3333.1187020931725,0.47154426417960726,1.2242688629403401e-08
6960.0,center,931.6672776624315,3331.140412487195,0.4712695017343327,1.2261747248726796e-08
7020.0,center,930.7171192609974,3329.1530917197397,0.47099348496107496,1.2280051127328955e-08
7080.0,center,929.7672423483599,3327.157102313742,0.47071626421024193,1.2298119813830414e-08
7140.0,center,928.8178108316906,3325.1527345274253,0.4704378797954758,1.2315995945803788e-08
7200.0,center,927.8689975053317,3323.1403035153,0.47015837548823614,1.2333302149090536e-08
7260.0,center,926.9210035990933,3321.1201916244972,0.4698778043922913,1.2349716541549992e-08
7320.0,center,925.974033310076,3319.092795270846,0.46959622156539527,1.2365274103051525e-08
7380.0,center,925.0282762493196,3317.058487361924,0.4693136788002672,1.2380030487036338e-08
7440.0,center,924.083920989393,3315.0176460221137,0.4690302286141824,1.2393710310781694e-08
7500.0,center,923.1411828116627,3312.9707150351996,0.46874593264377773,1.240598314461627e-08
7560.0,center,922.2002787583278,3310.9181507655,0.4684608542729861,1.2416889525569234e-08
7620.0,center,921.2614099922714,3308.860383609878,0.46817505327914977,1.2426627616612084e-08
7680.0,center,920.324738013441,3306.797764792146,0.46788857844335363,1.2435614217473457e-08
7740.0,center,919.3903982844779,3304.730594619706,0.4676014714749591,1.2443820827752809e-08
7800.0,center,918.4585342621424,3302.6591970285626,0.4673137773650782,1.2451058980745688e-08
7860.0,center,917.5292824362813,3300.5838865762926,0.4670255398022629,1.24575998486778e-08
7920.0,center,916.6027383838932,3298.504891795007,0.4667367905270843,1.2463795361011243e-08
7980.0,center,915.6789718955727,3296.422387272195,0.4664475537878049,1.2469908692750145e-08
8040.0,center,914.7580135350285,3294.33646181285,0.46615784191845144,1.2476301080122453e-08
8100.0,center,913.8398915672353,3292.247200612273,0.46586766675170466,1.248257293066896e-08
8160.0,center,912.9246719955572,3290.1547768978367,0.4655770523469217,1.2488329688371837e-08
8220.0,center,912.0124403919172,3288.059412135465,0.46528602946325903,1.2493316402791521e-08
8280.0,center,911.1032917487878,3285.9613536394836,0.46499463244992834,1.249766215358956e-08
8340.0,center,910.1972760208089,3283.8607485611838,0.46470288174460883,1.2501934310556579e-08
8400.0,center,909.2944174213527,3281.7576865380042,0.46441078979694494,1.2506111680815204e-08
8460.0,center,908.3947531021657,3279.6522890428528,0.464118373478174,1.2509797831830971e-08
8520.0,center,907.4983613942604,3277.544776653844,0.463825663424145,1.2512545566245047e-08
8580.0,center,906.6053225350092,3275.435378346534,0.4635326914370186,1.2514635183824787e-08
8640.0,center,905.7156759751869,3273.3242300826764,0.46323947640037166,1.2516617714308932e-08
8700.0,center,904.8294181352626,3271.2113672302394,0.4629460232264221,1.2518750922068629e-08
8760.0,center,903.9465536243265,3269.0968451558374,0.4626523396049774,1.252060475636964e-08
8820.0,center,903.0671266214647,3266.9808153620106,0.462358446578057,1.2521687471042821e-08
8880.0,center,902.1912097735061,3264.8635007931093,0.4620643751101541,1.252179209464561e-08
8940.0,center,901.3188701531394,3262.7451145823215,0.46177015480310024,1.2521175737572841e-08
9000.0,center,900.4501449141344,3260.625800237287,0.4614758055885121,1.252012824663126e-08
9060.0,center,899.5850646626084,3258.5056873927765,0.46118134547121903,1.2518460133705072e-08
9120.0,center,898.7236662323417,3256.384922979562,0.46088679485827244,1.251642589679917e-08
9180.0,center,897.8659262963573,3254.2635070148044,0.4605921537520562,1.2514955641026511e-08
9240.0,center,897.011784509346,3252.1413468427354,0.4602974092837132,1.2513823702707531e-08
9300.0,center,896.1612326908798,3250.018478126699,0.46000256640648596,1.2512292944189842e-08
9360.0,center,895.3142974614952,3247.895024162257,0.4597076422447579,1.2510131813562471e-08
9420.0,center,894.4710135291048,3245.771130424798,0.45941265700344414,1.2507408590381576e-08
9480.0,center,893.6313930566797,3243.646887364578,0.4591176232450803,1.2504421124704824e-08
9540.0,center,892.7954352732676,3241.522353607442,0.45882254911214465,1.25012640738624e-08
9600.0,center,891.9631199678353,3239.3975385696626,0.45852743591245315,1.2498286719863564e-08
9660.0,center,891.1344048137454,3237.272394463733,0.4582322770088517,1.2495609420518706e-08
9720.0,center,890.3092616558612,3235.1469086997186,0.45793707065273864,1.2492711781360003e-08
9780.0,center,889.4877036590228,3233.021175095034,0.4576418298743103,1.2489328919917724e-08
9840.0,center,888.6697365026785,3230.8952691315394,0.45734656515715827,1.2485594336013179e-08
9900.0,center,887.8553855925047,3228.7693187218324,0.45705129426692115,1.2480920583262615e-08
