time_h,r0_cm,r0.5_cm,r1_cm,r1.5_cm,r2_cm
6,1.0169683555321687,0.98813847071847383,0.9015272105524007,0.75500803061728128,0.53277927464042962
12,0.45614938224659679,0.4431646360485253,0.40307668947714353,0.32973880650048049,0.16417574420792003
18,0.29884259722976642,0.29155187646149966,0.26871177327401213,0.22530158933195046,0.084465219517151829
24,0.23779952479653388,0.23273962171939008,0.21672599283546129,0.1855496458410108,0.066461631033183491
30,0.20582402784847395,0.20184529679239444,0.18916748151003288,0.16409169137571206,0.059828386506893365
36,0.18587795410670613,0.18252999716517976,0.1718113046422523,0.15037480745235873,0.056635865134583303
42,0.17206629009997393,0.16913269112726159,0.15970740651384721,0.14070186134618745,0.054840541772868935
48,0.16182769919667692,0.15918850991452618,0.15068579139027008,0.13343004009327536,0.053722303510845788
54,0.15386734605481972,0.15144916359679628,0.14364115727091301,0.12771271756234612,0.052973694820174042
57.474009775860864,0.1500000000000222,0.14768661054813534,0.14020870751669909,0.12491410613658367,0.052646946269276032
